operation_profile,state_of_charge,net_revenue,total_revenue,charging_cost,degradation_penalty
0.0,0.5,1225.8503,1225.8503,0.0,-0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-100.0,0.725,-4552.1632,-0.0,-2052.1632,-2500.0
-0.0,0.725,-0.0,-0.0,-0.0,-0.0
-0.0,0.725,-0.0,-0.0,-0.0,-0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,-0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
-0.0,0.725,-0.0,-0.0,-0.0,0.0
