interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,region,market,non_spinning_reserves,regulation_down,regulation_up,spinning_reserves
2022-05-31T17:00:00-07:00,2022-06-01T00:00:00+00:00,2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-05-31T17:00:00-07:00,2022-06-01T00:00:00+00:00,2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,AS_CAISO_EXP,DAM,0.15,6.25,3.55,1.0
2022-05-31T17:00:00-07:00,2022-06-01T00:00:00+00:00,2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T17:00:00-07:00,2022-06-01T00:00:00+00:00,2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,AS_NP26_EXP,DAM,0.0,1.69304,0.0,0.0
2022-05-31T17:00:00-07:00,2022-06-01T00:00:00+00:00,2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T17:00:00-07:00,2022-06-01T00:00:00+00:00,2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,0.93,0.0
2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,AS_CAISO_EXP,DAM,0.15,6.25,12.11095,12.11095
2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T18:00:00-07:00,2022-06-01T01:00:00+00:00,2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,AS_CAISO_EXP,DAM,1.0,7.99,12.28,9.88791
2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T19:00:00-07:00,2022-06-01T02:00:00+00:00,2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,8.39209,8.39209
2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,AS_CAISO_EXP,DAM,1.0,6.26,32.59754,29.11754
2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,AS_NP26_EXP,DAM,0.0,1.73,2.38,0.0
2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T20:00:00-07:00,2022-06-01T03:00:00+00:00,2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,AS_CAISO_EXP,DAM,1.0,6.25331,14.53961,14.53961
2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,AS_NP26_EXP,DAM,0.0,1.64504,0.0,0.0
2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,5.46039,5.46039
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_CAISO_EXP,DAM,0.27,3.07,10.68,10.68
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_NP26_EXP,DAM,0.0,3.04,0.0,0.0
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_CAISO_EXP,DAM,0.15,3.06,10.0,10.0
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_NP26_EXP,DAM,0.0,8.55141,2.19001,0.0
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,AS_CAISO_EXP,DAM,0.15,4.3,1.53642,1.53642
