interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,region,market
2022-06-30T17:00:00-07:00,2022-07-01T00:00:00+00:00,2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,AS_CAISO,DAM
2022-06-30T17:00:00-07:00,2022-07-01T00:00:00+00:00,2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,AS_CAISO_EXP,DAM
2022-06-30T17:00:00-07:00,2022-07-01T00:00:00+00:00,2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,AS_NP26,DAM
2022-06-30T17:00:00-07:00,2022-07-01T00:00:00+00:00,2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,AS_NP26_EXP,DAM
2022-06-30T17:00:00-07:00,2022-07-01T00:00:00+00:00,2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,AS_SP26,DAM
2022-06-30T17:00:00-07:00,2022-07-01T00:00:00+00:00,2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,AS_SP26_EXP,DAM
2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,AS_CAISO,DAM
2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,AS_CAISO_EXP,DAM
2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,AS_NP26,DAM
2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,AS_NP26_EXP,DAM
2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,AS_SP26,DAM
2022-06-30T18:00:00-07:00,2022-07-01T01:00:00+00:00,2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,AS_SP26_EXP,DAM
2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,AS_CAISO,DAM
2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,AS_CAISO_EXP,DAM
2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,AS_NP26,DAM
2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,AS_NP26_EXP,DAM
2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,AS_SP26,DAM
2022-06-30T19:00:00-07:00,2022-07-01T02:00:00+00:00,2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,AS_SP26_EXP,DAM
2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,2022-06-30T21:00:00-07:00,2022-07-01T04:00:00+00:00,AS_CAISO,DAM
2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,2022-06-30T21:00:00-07:00,2022-07-01T04:00:00+00:00,AS_CAISO_EXP,DAM
2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,2022-06-30T21:00:00-07:00,2022-07-01T04:00:00+00:00,AS_NP26,DAM
2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,2022-06-30T21:00:00-07:00,2022-07-01T04:00:00+00:00,AS_NP26_EXP,DAM
2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,2022-06-30T21:00:00-07:00,2022-07-01T04:00:00+00:00,AS_SP26,DAM
2022-06-30T20:00:00-07:00,2022-07-01T03:00:00+00:00,2022-06-30T21:00:00-07:00,2022-07-01T04:00:00+00:00,AS_SP26_EXP,DAM
2022-06-30T21:00:00-07:00,2022-07-01T04:00:00+00:00,2022-06-30T22:00:00-07:00,2022-07-01T05:00:00+00:00,AS_CAISO,DAM
