interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,0096WD_7_N001,65.13824
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,0096WD_7_N002,65.13824
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,10TH_STW_1_1LNODE,65.06221
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,10TH_STW_1_2LNODE,65.06221
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,119TH_BP_LNODEXF1,65.00691
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,12STREET_LNODEEET1,66.35474
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,12STREET_LNODEEET2,66.35474
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,12TH_S_LNODENMZ,67.55742
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,12TH_S_LNODEXWQ,67.55742
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,1501WDC2_7_ND001,64.00468
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,22ND_ST_LNODEDIST,66.5621
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,22ND_ST_LNODEIST2,66.54828
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,22ND_ST_LNODEIST3,66.54828
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,26FTDROP_GNODEIT,65.8087
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,2C559_1_B1,64.68205
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,2C559EQ2_7_N001,63.07848
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,2C577C1_7_N001,65.08294
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,2NDST_BP_LNODELD1,65.00691
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,2NDST_BP_LNODELD2,65.00691
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,2PBLSM34_7_N001,66.8524
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,3EMIDIO_6_N001,66.60357
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,3EMIDIO_6_N002,66.60357
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,3EMIDIO_6_N003,66.60357
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,3RD_HTCH_1_1LNODE,65.04838
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,3RD_HTCH_1_2LNODE,65.04838
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,3RD_HTCH_1_3LNODE,65.04838
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,4C687_1_B1,68.91908
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,4C687C2_7_N001,68.67716
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,4C744C12_7_N001,64.13601
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,4C744C12_7_N002,64.13601
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,4C744C22_7_N001,63.90791
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,4C744C32_7_N001,63.9563
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,4C744C32_7_N002,63.9563
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,4C744C42_7_N001,64.30189
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,4LAKES_1_IPLNODE,65.04838
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,6972_TAP_LNODENPT,67.55051
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,72ND_ST_LNODEOAD,65.15206
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,7AVEN_BP_LNODEFMR,65.01382
2023-06-30T17:00:00-07:00,2023-07-01T00:00:00+00:00,2023-06-30T18:00:00-07:00,2023-07-01T01:00:00+00:00,8TH_ST_LNODEBXG,67.5436
