interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,0096WD_7_N001,Node,120.41563
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,0096WD_7_N002,Node,120.41563
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,10TH_STW_1_1LNODE,Node,119.00313
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,10TH_STW_1_2LNODE,Node,119.00313
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,119TH_BP_LNODEXF1,Node,119.07619
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,12STREET_LNODEEET1,Node,116.93308
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,12STREET_LNODEEET2,Node,116.93308
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,12TH_S_LNODENMZ,Node,120.72004
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,12TH_S_LNODEXWQ,Node,120.72004
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,1501WDC2_7_ND001,Node,119.47802
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,22ND_ST_LNODEDIST,Node,116.62866
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,22ND_ST_LNODEIST2,Node,116.65302
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,22ND_ST_LNODEIST3,Node,116.65302
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,26FTDROP_GNODEIT,Node,119.68502
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,2C559_1_B1,Node,120.78093
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,2C559EQ2_7_N001,Node,120.75657
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,2C577C1_7_N001,Node,120.20862
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,2NDST_BP_LNODELD1,Node,119.07619
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,2NDST_BP_LNODELD2,Node,119.07619
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,2PBLSM34_7_N001,Node,119.66067
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,3EMIDIO_6_N001,Node,121.86466
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,3EMIDIO_6_N002,Node,121.86466
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,3EMIDIO_6_N003,Node,121.86466
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,3RD_HTCH_1_1LNODE,Node,119.0153
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,3RD_HTCH_1_2LNODE,Node,119.0153
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,3RD_HTCH_1_3LNODE,Node,119.0153
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,4C687_1_B1,Node,119.81897
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,4C687C2_7_N001,Node,119.80679
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,4C744C12_7_N001,Node,120.78093
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,4C744C12_7_N002,Node,120.78093
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,4C744C22_7_N001,Node,120.78093
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,4C744C32_7_N001,Node,120.78093
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,4C744C32_7_N002,Node,120.78093
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,4C744C42_7_N001,Node,120.78093
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,4LAKES_1_IPLNODE,Node,119.0153
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,6972_TAP_LNODENPT,Node,120.7444
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,72ND_ST_LNODEOAD,Node,118.84483
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,7AVEN_BP_LNODEFMR,Node,119.07619
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,8TH_ST_LNODEBXG,Node,120.72004
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,8TH_ST_LNODELZF,Node,120.72004
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,9TH_CENT_1_13_1LNODE,Node,119.0153
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,9TH_CENT_1_13_2LNODE,Node,119.0153
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,A100US_1_B1,Node,122.89968
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,AA_LNODE10A,Node,116.7139
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-01T01:00:00-08:00,2023-01-01T09:00:00+00:00,AA_LNODE12A,Node,116.7139
