interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2024-04-30T17:00:00-07:00,2024-05-01T00:00:00+00:00,2024-04-30T17:15:00-07:00,2024-05-01T00:15:00+00:00,TH_SP15_GEN-APND,-26.0527
2024-04-30T17:15:00-07:00,2024-05-01T00:15:00+00:00,2024-04-30T17:30:00-07:00,2024-05-01T00:30:00+00:00,TH_SP15_GEN-APND,-7.29478
2024-04-30T17:30:00-07:00,2024-05-01T00:30:00+00:00,2024-04-30T17:45:00-07:00,2024-05-01T00:45:00+00:00,TH_SP15_GEN-APND,-0.36056
2024-04-30T17:45:00-07:00,2024-05-01T00:45:00+00:00,2024-04-30T18:00:00-07:00,2024-05-01T01:00:00+00:00,TH_SP15_GEN-APND,15.26151
2024-04-30T18:00:00-07:00,2024-05-01T01:00:00+00:00,2024-04-30T18:15:00-07:00,2024-05-01T01:15:00+00:00,TH_SP15_GEN-APND,8.88617
2024-04-30T18:15:00-07:00,2024-05-01T01:15:00+00:00,2024-04-30T18:30:00-07:00,2024-05-01T01:30:00+00:00,TH_SP15_GEN-APND,26.19293
2024-04-30T18:30:00-07:00,2024-05-01T01:30:00+00:00,2024-04-30T18:45:00-07:00,2024-05-01T01:45:00+00:00,TH_SP15_GEN-APND,42.1035
2024-04-30T18:45:00-07:00,2024-05-01T01:45:00+00:00,2024-04-30T19:00:00-07:00,2024-05-01T02:00:00+00:00,TH_SP15_GEN-APND,60.40247
2024-04-30T19:00:00-07:00,2024-05-01T02:00:00+00:00,2024-04-30T19:15:00-07:00,2024-05-01T02:15:00+00:00,TH_SP15_GEN-APND,39.35361
2024-04-30T19:15:00-07:00,2024-05-01T02:15:00+00:00,2024-04-30T19:30:00-07:00,2024-05-01T02:30:00+00:00,TH_SP15_GEN-APND,53.40092
2024-04-30T19:30:00-07:00,2024-05-01T02:30:00+00:00,2024-04-30T19:45:00-07:00,2024-05-01T02:45:00+00:00,TH_SP15_GEN-APND,55.77624
2024-04-30T19:45:00-07:00,2024-05-01T02:45:00+00:00,2024-04-30T20:00:00-07:00,2024-05-01T03:00:00+00:00,TH_SP15_GEN-APND,53.25882
2024-04-30T20:00:00-07:00,2024-05-01T03:00:00+00:00,2024-04-30T20:15:00-07:00,2024-05-01T03:15:00+00:00,TH_SP15_GEN-APND,53.1678
2024-04-30T20:15:00-07:00,2024-05-01T03:15:00+00:00,2024-04-30T20:30:00-07:00,2024-05-01T03:30:00+00:00,TH_SP15_GEN-APND,49.79882
2024-04-30T20:30:00-07:00,2024-05-01T03:30:00+00:00,2024-04-30T20:45:00-07:00,2024-05-01T03:45:00+00:00,TH_SP15_GEN-APND,47.94954
2024-04-30T20:45:00-07:00,2024-05-01T03:45:00+00:00,2024-04-30T21:00:00-07:00,2024-05-01T04:00:00+00:00,TH_SP15_GEN-APND,46.91958
2024-04-30T21:00:00-07:00,2024-05-01T04:00:00+00:00,2024-04-30T21:15:00-07:00,2024-05-01T04:15:00+00:00,TH_SP15_GEN-APND,46.91455
2024-04-30T21:15:00-07:00,2024-05-01T04:15:00+00:00,2024-04-30T21:30:00-07:00,2024-05-01T04:30:00+00:00,TH_SP15_GEN-APND,46.11324
2024-04-30T21:30:00-07:00,2024-05-01T04:30:00+00:00,2024-04-30T21:45:00-07:00,2024-05-01T04:45:00+00:00,TH_SP15_GEN-APND,44.87746
2024-04-30T21:45:00-07:00,2024-05-01T04:45:00+00:00,2024-04-30T22:00:00-07:00,2024-05-01T05:00:00+00:00,TH_SP15_GEN-APND,37.87716
2024-04-30T22:00:00-07:00,2024-05-01T05:00:00+00:00,2024-04-30T22:15:00-07:00,2024-05-01T05:15:00+00:00,TH_SP15_GEN-APND,38.77207
2024-04-30T22:15:00-07:00,2024-05-01T05:15:00+00:00,2024-04-30T22:30:00-07:00,2024-05-01T05:30:00+00:00,TH_SP15_GEN-APND,37.35119
2024-04-30T22:30:00-07:00,2024-05-01T05:30:00+00:00,2024-04-30T22:45:00-07:00,2024-05-01T05:45:00+00:00,TH_SP15_GEN-APND,39.52311
2024-04-30T22:45:00-07:00,2024-05-01T05:45:00+00:00,2024-04-30T23:00:00-07:00,2024-05-01T06:00:00+00:00,TH_SP15_GEN-APND,47.27149
2024-04-30T23:00:00-07:00,2024-05-01T06:00:00+00:00,2024-04-30T23:15:00-07:00,2024-05-01T06:15:00+00:00,TH_SP15_GEN-APND,47.79033
2024-04-30T23:15:00-07:00,2024-05-01T06:15:00+00:00,2024-04-30T23:30:00-07:00,2024-05-01T06:30:00+00:00,TH_SP15_GEN-APND,46.74051
2024-04-30T23:30:00-07:00,2024-05-01T06:30:00+00:00,2024-04-30T23:45:00-07:00,2024-05-01T06:45:00+00:00,TH_SP15_GEN-APND,49.52012
2024-04-30T23:45:00-07:00,2024-05-01T06:45:00+00:00,2024-05-01T00:00:00-07:00,2024-05-01T07:00:00+00:00,TH_SP15_GEN-APND,46.71661
2024-05-01T00:00:00-07:00,2024-05-01T07:00:00+00:00,2024-05-01T00:15:00-07:00,2024-05-01T07:15:00+00:00,TH_SP15_GEN-APND,51.40245
2024-05-01T00:15:00-07:00,2024-05-01T07:15:00+00:00,2024-05-01T00:30:00-07:00,2024-05-01T07:30:00+00:00,TH_SP15_GEN-APND,45.78488
2024-05-01T00:30:00-07:00,2024-05-01T07:30:00+00:00,2024-05-01T00:45:00-07:00,2024-05-01T07:45:00+00:00,TH_SP15_GEN-APND,38.21087
2024-05-01T00:45:00-07:00,2024-05-01T07:45:00+00:00,2024-05-01T01:00:00-07:00,2024-05-01T08:00:00+00:00,TH_SP15_GEN-APND,32.70727
2024-05-01T01:00:00-07:00,2024-05-01T08:00:00+00:00,2024-05-01T01:15:00-07:00,2024-05-01T08:15:00+00:00,TH_SP15_GEN-APND,37.89152
2024-05-01T01:15:00-07:00,2024-05-01T08:15:00+00:00,2024-05-01T01:30:00-07:00,2024-05-01T08:30:00+00:00,TH_SP15_GEN-APND,33.29236
2024-05-01T01:30:00-07:00,2024-05-01T08:30:00+00:00,2024-05-01T01:45:00-07:00,2024-05-01T08:45:00+00:00,TH_SP15_GEN-APND,32.35507
2024-05-01T01:45:00-07:00,2024-05-01T08:45:00+00:00,2024-05-01T02:00:00-07:00,2024-05-01T09:00:00+00:00,TH_SP15_GEN-APND,29.9562
2024-05-01T02:00:00-07:00,2024-05-01T09:00:00+00:00,2024-05-01T02:15:00-07:00,2024-05-01T09:15:00+00:00,TH_SP15_GEN-APND,33.87391
2024-05-01T02:15:00-07:00,2024-05-01T09:15:00+00:00,2024-05-01T02:30:00-07:00,2024-05-01T09:30:00+00:00,TH_SP15_GEN-APND,31.98506
2024-05-01T02:30:00-07:00,2024-05-01T09:30:00+00:00,2024-05-01T02:45:00-07:00,2024-05-01T09:45:00+00:00,TH_SP15_GEN-APND,30.13447
2024-05-01T02:45:00-07:00,2024-05-01T09:45:00+00:00,2024-05-01T03:00:00-07:00,2024-05-01T10:00:00+00:00,TH_SP15_GEN-APND,27.41274
2024-05-01T03:00:00-07:00,2024-05-01T10:00:00+00:00,2024-05-01T03:15:00-07:00,2024-05-01T10:15:00+00:00,TH_SP15_GEN-APND,30.08745
2024-05-01T03:15:00-07:00,2024-05-01T10:15:00+00:00,2024-05-01T03:30:00-07:00,2024-05-01T10:30:00+00:00,TH_SP15_GEN-APND,29.69242
2024-05-01T03:30:00-07:00,2024-05-01T10:30:00+00:00,2024-05-01T03:45:00-07:00,2024-05-01T10:45:00+00:00,TH_SP15_GEN-APND,29.26018
2024-05-01T03:45:00-07:00,2024-05-01T10:45:00+00:00,2024-05-01T04:00:00-07:00,2024-05-01T11:00:00+00:00,TH_SP15_GEN-APND,28.73608
2024-05-01T04:00:00-07:00,2024-05-01T11:00:00+00:00,2024-05-01T04:15:00-07:00,2024-05-01T11:15:00+00:00,TH_SP15_GEN-APND,29.59823
2024-05-01T04:15:00-07:00,2024-05-01T11:15:00+00:00,2024-05-01T04:30:00-07:00,2024-05-01T11:30:00+00:00,TH_SP15_GEN-APND,30.49857
2024-05-01T04:30:00-07:00,2024-05-01T11:30:00+00:00,2024-05-01T04:45:00-07:00,2024-05-01T11:45:00+00:00,TH_SP15_GEN-APND,33.385
2024-05-01T04:45:00-07:00,2024-05-01T11:45:00+00:00,2024-05-01T05:00:00-07:00,2024-05-01T12:00:00+00:00,TH_SP15_GEN-APND,38.05583
2024-05-01T05:00:00-07:00,2024-05-01T12:00:00+00:00,2024-05-01T05:15:00-07:00,2024-05-01T12:15:00+00:00,TH_SP15_GEN-APND,34.22599
2024-05-01T05:15:00-07:00,2024-05-01T12:15:00+00:00,2024-05-01T05:30:00-07:00,2024-05-01T12:30:00+00:00,TH_SP15_GEN-APND,44.07285
2024-05-01T05:30:00-07:00,2024-05-01T12:30:00+00:00,2024-05-01T05:45:00-07:00,2024-05-01T12:45:00+00:00,TH_SP15_GEN-APND,52.44232
2024-05-01T05:45:00-07:00,2024-05-01T12:45:00+00:00,2024-05-01T06:00:00-07:00,2024-05-01T13:00:00+00:00,TH_SP15_GEN-APND,56.8083
2024-05-01T06:00:00-07:00,2024-05-01T13:00:00+00:00,2024-05-01T06:15:00-07:00,2024-05-01T13:15:00+00:00,TH_SP15_GEN-APND,49.58916
2024-05-01T06:15:00-07:00,2024-05-01T13:15:00+00:00,2024-05-01T06:30:00-07:00,2024-05-01T13:30:00+00:00,TH_SP15_GEN-APND,49.79681
2024-05-01T06:30:00-07:00,2024-05-01T13:30:00+00:00,2024-05-01T06:45:00-07:00,2024-05-01T13:45:00+00:00,TH_SP15_GEN-APND,39.25118
2024-05-01T06:45:00-07:00,2024-05-01T13:45:00+00:00,2024-05-01T07:00:00-07:00,2024-05-01T14:00:00+00:00,TH_SP15_GEN-APND,23.44984
2024-05-01T07:00:00-07:00,2024-05-01T14:00:00+00:00,2024-05-01T07:15:00-07:00,2024-05-01T14:15:00+00:00,TH_SP15_GEN-APND,23.62751
2024-05-01T07:15:00-07:00,2024-05-01T14:15:00+00:00,2024-05-01T07:30:00-07:00,2024-05-01T14:30:00+00:00,TH_SP15_GEN-APND,2.22294
2024-05-01T07:30:00-07:00,2024-05-01T14:30:00+00:00,2024-05-01T07:45:00-07:00,2024-05-01T14:45:00+00:00,TH_SP15_GEN-APND,-10.87366
2024-05-01T07:45:00-07:00,2024-05-01T14:45:00+00:00,2024-05-01T08:00:00-07:00,2024-05-01T15:00:00+00:00,TH_SP15_GEN-APND,-9.41845
2024-05-01T08:00:00-07:00,2024-05-01T15:00:00+00:00,2024-05-01T08:15:00-07:00,2024-05-01T15:15:00+00:00,TH_SP15_GEN-APND,0.82134
2024-05-01T08:15:00-07:00,2024-05-01T15:15:00+00:00,2024-05-01T08:30:00-07:00,2024-05-01T15:30:00+00:00,TH_SP15_GEN-APND,-0.64376
2024-05-01T08:30:00-07:00,2024-05-01T15:30:00+00:00,2024-05-01T08:45:00-07:00,2024-05-01T15:45:00+00:00,TH_SP15_GEN-APND,0.9519
2024-05-01T08:45:00-07:00,2024-05-01T15:45:00+00:00,2024-05-01T09:00:00-07:00,2024-05-01T16:00:00+00:00,TH_SP15_GEN-APND,-10.72121
2024-05-01T09:00:00-07:00,2024-05-01T16:00:00+00:00,2024-05-01T09:15:00-07:00,2024-05-01T16:15:00+00:00,TH_SP15_GEN-APND,-9.64666
2024-05-01T09:15:00-07:00,2024-05-01T16:15:00+00:00,2024-05-01T09:30:00-07:00,2024-05-01T16:30:00+00:00,TH_SP15_GEN-APND,-19.75558
2024-05-01T09:30:00-07:00,2024-05-01T16:30:00+00:00,2024-05-01T09:45:00-07:00,2024-05-01T16:45:00+00:00,TH_SP15_GEN-APND,-19.47507
2024-05-01T09:45:00-07:00,2024-05-01T16:45:00+00:00,2024-05-01T10:00:00-07:00,2024-05-01T17:00:00+00:00,TH_SP15_GEN-APND,-22.24464
2024-05-01T10:00:00-07:00,2024-05-01T17:00:00+00:00,2024-05-01T10:15:00-07:00,2024-05-01T17:15:00+00:00,TH_SP15_GEN-APND,-19.28299
2024-05-01T10:15:00-07:00,2024-05-01T17:15:00+00:00,2024-05-01T10:30:00-07:00,2024-05-01T17:30:00+00:00,TH_SP15_GEN-APND,-18.6577
2024-05-01T10:30:00-07:00,2024-05-01T17:30:00+00:00,2024-05-01T10:45:00-07:00,2024-05-01T17:45:00+00:00,TH_SP15_GEN-APND,-17.8232
2024-05-01T10:45:00-07:00,2024-05-01T17:45:00+00:00,2024-05-01T11:00:00-07:00,2024-05-01T18:00:00+00:00,TH_SP15_GEN-APND,-20.42065
2024-05-01T11:00:00-07:00,2024-05-01T18:00:00+00:00,2024-05-01T11:15:00-07:00,2024-05-01T18:15:00+00:00,TH_SP15_GEN-APND,-17.82507
2024-05-01T11:15:00-07:00,2024-05-01T18:15:00+00:00,2024-05-01T11:30:00-07:00,2024-05-01T18:30:00+00:00,TH_SP15_GEN-APND,-17.69353
2024-05-01T11:30:00-07:00,2024-05-01T18:30:00+00:00,2024-05-01T11:45:00-07:00,2024-05-01T18:45:00+00:00,TH_SP15_GEN-APND,-20.03792
2024-05-01T11:45:00-07:00,2024-05-01T18:45:00+00:00,2024-05-01T12:00:00-07:00,2024-05-01T19:00:00+00:00,TH_SP15_GEN-APND,-18.04636
2024-05-01T12:00:00-07:00,2024-05-01T19:00:00+00:00,2024-05-01T12:15:00-07:00,2024-05-01T19:15:00+00:00,TH_SP15_GEN-APND,-17.69227
