interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,tac_area_name,load
2021-12-31T16:00:00-08:00,2022-01-01T00:00:00+00:00,2021-12-31T17:00:00-08:00,2022-01-01T01:00:00+00:00,PGE,3343
2021-12-31T17:00:00-08:00,2022-01-01T01:00:00+00:00,2021-12-31T18:00:00-08:00,2022-01-01T02:00:00+00:00,PGE,3465
2021-12-31T18:00:00-08:00,2022-01-01T02:00:00+00:00,2021-12-31T19:00:00-08:00,2022-01-01T03:00:00+00:00,PGE,3410
2021-12-31T19:00:00-08:00,2022-01-01T03:00:00+00:00,2021-12-31T20:00:00-08:00,2022-01-01T04:00:00+00:00,PGE,3312
2021-12-31T20:00:00-08:00,2022-01-01T04:00:00+00:00,2021-12-31T21:00:00-08:00,2022-01-01T05:00:00+00:00,PGE,3206
2021-12-31T21:00:00-08:00,2022-01-01T05:00:00+00:00,2021-12-31T22:00:00-08:00,2022-01-01T06:00:00+00:00,PGE,3090
2021-12-31T22:00:00-08:00,2022-01-01T06:00:00+00:00,2021-12-31T23:00:00-08:00,2022-01-01T07:00:00+00:00,PGE,2973
2021-12-31T23:00:00-08:00,2022-01-01T07:00:00+00:00,2022-01-01T00:00:00-08:00,2022-01-01T08:00:00+00:00,PGE,2873
2022-01-01T00:00:00-08:00,2022-01-01T08:00:00+00:00,2022-01-01T01:00:00-08:00,2022-01-01T09:00:00+00:00,PGE,2803
2022-01-01T01:00:00-08:00,2022-01-01T09:00:00+00:00,2022-01-01T02:00:00-08:00,2022-01-01T10:00:00+00:00,PGE,2767
2022-01-01T02:00:00-08:00,2022-01-01T10:00:00+00:00,2022-01-01T03:00:00-08:00,2022-01-01T11:00:00+00:00,PGE,2751
2022-01-01T03:00:00-08:00,2022-01-01T11:00:00+00:00,2022-01-01T04:00:00-08:00,2022-01-01T12:00:00+00:00,PGE,2752
2022-01-01T04:00:00-08:00,2022-01-01T12:00:00+00:00,2022-01-01T05:00:00-08:00,2022-01-01T13:00:00+00:00,PGE,2783
2022-01-01T05:00:00-08:00,2022-01-01T13:00:00+00:00,2022-01-01T06:00:00-08:00,2022-01-01T14:00:00+00:00,PGE,2858
2022-01-01T06:00:00-08:00,2022-01-01T14:00:00+00:00,2022-01-01T07:00:00-08:00,2022-01-01T15:00:00+00:00,PGE,2959
2022-01-01T07:00:00-08:00,2022-01-01T15:00:00+00:00,2022-01-01T08:00:00-08:00,2022-01-01T16:00:00+00:00,PGE,3062
2022-01-01T08:00:00-08:00,2022-01-01T16:00:00+00:00,2022-01-01T09:00:00-08:00,2022-01-01T17:00:00+00:00,PGE,3165
2022-01-01T09:00:00-08:00,2022-01-01T17:00:00+00:00,2022-01-01T10:00:00-08:00,2022-01-01T18:00:00+00:00,PGE,3245
2022-01-01T10:00:00-08:00,2022-01-01T18:00:00+00:00,2022-01-01T11:00:00-08:00,2022-01-01T19:00:00+00:00,PGE,3292
2022-01-01T11:00:00-08:00,2022-01-01T19:00:00+00:00,2022-01-01T12:00:00-08:00,2022-01-01T20:00:00+00:00,PGE,3276
2022-01-01T12:00:00-08:00,2022-01-01T20:00:00+00:00,2022-01-01T13:00:00-08:00,2022-01-01T21:00:00+00:00,PGE,3228
2022-01-01T13:00:00-08:00,2022-01-01T21:00:00+00:00,2022-01-01T14:00:00-08:00,2022-01-01T22:00:00+00:00,PGE,3139
2022-01-01T14:00:00-08:00,2022-01-01T22:00:00+00:00,2022-01-01T15:00:00-08:00,2022-01-01T23:00:00+00:00,PGE,3087
2022-01-01T15:00:00-08:00,2022-01-01T23:00:00+00:00,2022-01-01T16:00:00-08:00,2022-01-02T00:00:00+00:00,PGE,3131
2022-01-01T16:00:00-08:00,2022-01-02T00:00:00+00:00,2022-01-01T17:00:00-08:00,2022-01-02T01:00:00+00:00,PGE,3302
2022-01-01T17:00:00-08:00,2022-01-02T01:00:00+00:00,2022-01-01T18:00:00-08:00,2022-01-02T02:00:00+00:00,PGE,3426
2022-01-01T18:00:00-08:00,2022-01-02T02:00:00+00:00,2022-01-01T19:00:00-08:00,2022-01-02T03:00:00+00:00,PGE,3403
2022-01-01T19:00:00-08:00,2022-01-02T03:00:00+00:00,2022-01-01T20:00:00-08:00,2022-01-02T04:00:00+00:00,PGE,3336
2022-01-01T20:00:00-08:00,2022-01-02T04:00:00+00:00,2022-01-01T21:00:00-08:00,2022-01-02T05:00:00+00:00,PGE,3244
2022-01-01T21:00:00-08:00,2022-01-02T05:00:00+00:00,2022-01-01T22:00:00-08:00,2022-01-02T06:00:00+00:00,PGE,3086
2022-01-01T22:00:00-08:00,2022-01-02T06:00:00+00:00,2022-01-01T23:00:00-08:00,2022-01-02T07:00:00+00:00,PGE,2849
2022-01-01T23:00:00-08:00,2022-01-02T07:00:00+00:00,2022-01-02T00:00:00-08:00,2022-01-02T08:00:00+00:00,PGE,2761
2022-01-02T00:00:00-08:00,2022-01-02T08:00:00+00:00,2022-01-02T01:00:00-08:00,2022-01-02T09:00:00+00:00,PGE,2678
2022-01-02T01:00:00-08:00,2022-01-02T09:00:00+00:00,2022-01-02T02:00:00-08:00,2022-01-02T10:00:00+00:00,PGE,2632
2022-01-02T02:00:00-08:00,2022-01-02T10:00:00+00:00,2022-01-02T03:00:00-08:00,2022-01-02T11:00:00+00:00,PGE,2604
2022-01-02T03:00:00-08:00,2022-01-02T11:00:00+00:00,2022-01-02T04:00:00-08:00,2022-01-02T12:00:00+00:00,PGE,2603
2022-01-02T04:00:00-08:00,2022-01-02T12:00:00+00:00,2022-01-02T05:00:00-08:00,2022-01-02T13:00:00+00:00,PGE,2639
2022-01-02T05:00:00-08:00,2022-01-02T13:00:00+00:00,2022-01-02T06:00:00-08:00,2022-01-02T14:00:00+00:00,PGE,2715
2022-01-02T06:00:00-08:00,2022-01-02T14:00:00+00:00,2022-01-02T07:00:00-08:00,2022-01-02T15:00:00+00:00,PGE,2826
2022-01-02T07:00:00-08:00,2022-01-02T15:00:00+00:00,2022-01-02T08:00:00-08:00,2022-01-02T16:00:00+00:00,PGE,2946
2022-01-02T08:00:00-08:00,2022-01-02T16:00:00+00:00,2022-01-02T09:00:00-08:00,2022-01-02T17:00:00+00:00,PGE,3067
2022-01-02T09:00:00-08:00,2022-01-02T17:00:00+00:00,2022-01-02T10:00:00-08:00,2022-01-02T18:00:00+00:00,PGE,3157
2022-01-02T10:00:00-08:00,2022-01-02T18:00:00+00:00,2022-01-02T11:00:00-08:00,2022-01-02T19:00:00+00:00,PGE,3181
2022-01-02T11:00:00-08:00,2022-01-02T19:00:00+00:00,2022-01-02T12:00:00-08:00,2022-01-02T20:00:00+00:00,PGE,3170
2022-01-02T12:00:00-08:00,2022-01-02T20:00:00+00:00,2022-01-02T13:00:00-08:00,2022-01-02T21:00:00+00:00,PGE,3144
2022-01-02T13:00:00-08:00,2022-01-02T21:00:00+00:00,2022-01-02T14:00:00-08:00,2022-01-02T22:00:00+00:00,PGE,3101
2022-01-02T14:00:00-08:00,2022-01-02T22:00:00+00:00,2022-01-02T15:00:00-08:00,2022-01-02T23:00:00+00:00,PGE,3080
2022-01-02T15:00:00-08:00,2022-01-02T23:00:00+00:00,2022-01-02T16:00:00-08:00,2022-01-03T00:00:00+00:00,PGE,3110
2022-01-02T16:00:00-08:00,2022-01-03T00:00:00+00:00,2022-01-02T17:00:00-08:00,2022-01-03T01:00:00+00:00,PGE,3197
2022-01-02T17:00:00-08:00,2022-01-03T01:00:00+00:00,2022-01-02T18:00:00-08:00,2022-01-03T02:00:00+00:00,PGE,3257
2022-01-02T18:00:00-08:00,2022-01-03T02:00:00+00:00,2022-01-02T19:00:00-08:00,2022-01-03T03:00:00+00:00,PGE,3189
2022-01-02T19:00:00-08:00,2022-01-03T03:00:00+00:00,2022-01-02T20:00:00-08:00,2022-01-03T04:00:00+00:00,PGE,3094
2022-01-02T20:00:00-08:00,2022-01-03T04:00:00+00:00,2022-01-02T21:00:00-08:00,2022-01-03T05:00:00+00:00,PGE,2962
2022-01-02T21:00:00-08:00,2022-01-03T05:00:00+00:00,2022-01-02T22:00:00-08:00,2022-01-03T06:00:00+00:00,PGE,2777
2022-01-02T22:00:00-08:00,2022-01-03T06:00:00+00:00,2022-01-02T23:00:00-08:00,2022-01-03T07:00:00+00:00,PGE,2559
2022-01-02T23:00:00-08:00,2022-01-03T07:00:00+00:00,2022-01-03T00:00:00-08:00,2022-01-03T08:00:00+00:00,PGE,2370
2022-01-03T00:00:00-08:00,2022-01-03T08:00:00+00:00,2022-01-03T01:00:00-08:00,2022-01-03T09:00:00+00:00,PGE,2287
2022-01-03T01:00:00-08:00,2022-01-03T09:00:00+00:00,2022-01-03T02:00:00-08:00,2022-01-03T10:00:00+00:00,PGE,2246
2022-01-03T02:00:00-08:00,2022-01-03T10:00:00+00:00,2022-01-03T03:00:00-08:00,2022-01-03T11:00:00+00:00,PGE,2239
2022-01-03T03:00:00-08:00,2022-01-03T11:00:00+00:00,2022-01-03T04:00:00-08:00,2022-01-03T12:00:00+00:00,PGE,2261
2022-01-03T04:00:00-08:00,2022-01-03T12:00:00+00:00,2022-01-03T05:00:00-08:00,2022-01-03T13:00:00+00:00,PGE,2360
2022-01-03T05:00:00-08:00,2022-01-03T13:00:00+00:00,2022-01-03T06:00:00-08:00,2022-01-03T14:00:00+00:00,PGE,2582
2022-01-03T06:00:00-08:00,2022-01-03T14:00:00+00:00,2022-01-03T07:00:00-08:00,2022-01-03T15:00:00+00:00,PGE,2860
2022-01-03T07:00:00-08:00,2022-01-03T15:00:00+00:00,2022-01-03T08:00:00-08:00,2022-01-03T16:00:00+00:00,PGE,3053
2022-01-03T08:00:00-08:00,2022-01-03T16:00:00+00:00,2022-01-03T09:00:00-08:00,2022-01-03T17:00:00+00:00,PGE,3120
2022-01-03T09:00:00-08:00,2022-01-03T17:00:00+00:00,2022-01-03T10:00:00-08:00,2022-01-03T18:00:00+00:00,PGE,3175
2022-01-03T10:00:00-08:00,2022-01-03T18:00:00+00:00,2022-01-03T11:00:00-08:00,2022-01-03T19:00:00+00:00,PGE,3221
2022-01-03T11:00:00-08:00,2022-01-03T19:00:00+00:00,2022-01-03T12:00:00-08:00,2022-01-03T20:00:00+00:00,PGE,3247
2022-01-03T12:00:00-08:00,2022-01-03T20:00:00+00:00,2022-01-03T13:00:00-08:00,2022-01-03T21:00:00+00:00,PGE,3267
2022-01-03T13:00:00-08:00,2022-01-03T21:00:00+00:00,2022-01-03T14:00:00-08:00,2022-01-03T22:00:00+00:00,PGE,3252
2022-01-03T14:00:00-08:00,2022-01-03T22:00:00+00:00,2022-01-03T15:00:00-08:00,2022-01-03T23:00:00+00:00,PGE,3219
2022-01-03T15:00:00-08:00,2022-01-03T23:00:00+00:00,2022-01-03T16:00:00-08:00,2022-01-04T00:00:00+00:00,PGE,3249
2022-01-03T16:00:00-08:00,2022-01-04T00:00:00+00:00,2022-01-03T17:00:00-08:00,2022-01-04T01:00:00+00:00,PGE,3365
2022-01-03T17:00:00-08:00,2022-01-04T01:00:00+00:00,2022-01-03T18:00:00-08:00,2022-01-04T02:00:00+00:00,PGE,3458
2022-01-03T18:00:00-08:00,2022-01-04T02:00:00+00:00,2022-01-03T19:00:00-08:00,2022-01-04T03:00:00+00:00,PGE,3418
2022-01-03T19:00:00-08:00,2022-01-04T03:00:00+00:00,2022-01-03T20:00:00-08:00,2022-01-04T04:00:00+00:00,PGE,3329
2022-01-03T20:00:00-08:00,2022-01-04T04:00:00+00:00,2022-01-03T21:00:00-08:00,2022-01-04T05:00:00+00:00,PGE,3189
2022-01-03T21:00:00-08:00,2022-01-04T05:00:00+00:00,2022-01-03T22:00:00-08:00,2022-01-04T06:00:00+00:00,PGE,2981
2022-01-03T22:00:00-08:00,2022-01-04T06:00:00+00:00,2022-01-03T23:00:00-08:00,2022-01-04T07:00:00+00:00,PGE,2763
2022-01-03T23:00:00-08:00,2022-01-04T07:00:00+00:00,2022-01-04T00:00:00-08:00,2022-01-04T08:00:00+00:00,PGE,2570
2022-01-04T00:00:00-08:00,2022-01-04T08:00:00+00:00,2022-01-04T01:00:00-08:00,2022-01-04T09:00:00+00:00,PGE,2452
2022-01-04T01:00:00-08:00,2022-01-04T09:00:00+00:00,2022-01-04T02:00:00-08:00,2022-01-04T10:00:00+00:00,PGE,2403
2022-01-04T02:00:00-08:00,2022-01-04T10:00:00+00:00,2022-01-04T03:00:00-08:00,2022-01-04T11:00:00+00:00,PGE,2385
2022-01-04T03:00:00-08:00,2022-01-04T11:00:00+00:00,2022-01-04T04:00:00-08:00,2022-01-04T12:00:00+00:00,PGE,2418
2022-01-04T04:00:00-08:00,2022-01-04T12:00:00+00:00,2022-01-04T05:00:00-08:00,2022-01-04T13:00:00+00:00,PGE,2530
2022-01-04T05:00:00-08:00,2022-01-04T13:00:00+00:00,2022-01-04T06:00:00-08:00,2022-01-04T14:00:00+00:00,PGE,2765
2022-01-04T06:00:00-08:00,2022-01-04T14:00:00+00:00,2022-01-04T07:00:00-08:00,2022-01-04T15:00:00+00:00,PGE,3049
2022-01-04T07:00:00-08:00,2022-01-04T15:00:00+00:00,2022-01-04T08:00:00-08:00,2022-01-04T16:00:00+00:00,PGE,3228
2022-01-04T08:00:00-08:00,2022-01-04T16:00:00+00:00,2022-01-04T09:00:00-08:00,2022-01-04T17:00:00+00:00,PGE,3256
2022-01-04T09:00:00-08:00,2022-01-04T17:00:00+00:00,2022-01-04T10:00:00-08:00,2022-01-04T18:00:00+00:00,PGE,3252
2022-01-04T10:00:00-08:00,2022-01-04T18:00:00+00:00,2022-01-04T11:00:00-08:00,2022-01-04T19:00:00+00:00,PGE,3245
2022-01-04T11:00:00-08:00,2022-01-04T19:00:00+00:00,2022-01-04T12:00:00-08:00,2022-01-04T20:00:00+00:00,PGE,3227
2022-01-04T12:00:00-08:00,2022-01-04T20:00:00+00:00,2022-01-04T13:00:00-08:00,2022-01-04T21:00:00+00:00,PGE,3229
2022-01-04T13:00:00-08:00,2022-01-04T21:00:00+00:00,2022-01-04T14:00:00-08:00,2022-01-04T22:00:00+00:00,PGE,3203
2022-01-04T14:00:00-08:00,2022-01-04T22:00:00+00:00,2022-01-04T15:00:00-08:00,2022-01-04T23:00:00+00:00,PGE,3179
2022-01-04T15:00:00-08:00,2022-01-04T23:00:00+00:00,2022-01-04T16:00:00-08:00,2022-01-05T00:00:00+00:00,PGE,3204
