interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,solar
2022-12-01T00:00:00-08:00,2022-12-01T08:00:00+00:00,2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,CAISO,-154.40763
2022-12-01T00:00:00-08:00,2022-12-01T08:00:00+00:00,2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,NP15,-2.89788
2022-12-01T00:00:00-08:00,2022-12-01T08:00:00+00:00,2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,SP15,-107.09726
2022-12-01T00:00:00-08:00,2022-12-01T08:00:00+00:00,2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,ZP26,-44.41249
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-02-01T00:00:00-08:00,2023-02-01T08:00:00+00:00,CAISO,1688556.90448
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-02-01T00:00:00-08:00,2023-02-01T08:00:00+00:00,NP15,197806.7779
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-02-01T00:00:00-08:00,2023-02-01T08:00:00+00:00,SP15,1286677.56292
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-02-01T00:00:00-08:00,2023-02-01T08:00:00+00:00,ZP26,204072.56366
2023-02-01T00:00:00-08:00,2023-02-01T08:00:00+00:00,2023-03-01T00:00:00-08:00,2023-03-01T08:00:00+00:00,CAISO,2067846.55296
2023-02-01T00:00:00-08:00,2023-02-01T08:00:00+00:00,2023-03-01T00:00:00-08:00,2023-03-01T08:00:00+00:00,NP15,261547.96355
2023-02-01T00:00:00-08:00,2023-02-01T08:00:00+00:00,2023-03-01T00:00:00-08:00,2023-03-01T08:00:00+00:00,SP15,1527452.22342
2023-02-01T00:00:00-08:00,2023-02-01T08:00:00+00:00,2023-03-01T00:00:00-08:00,2023-03-01T08:00:00+00:00,ZP26,278846.36599
2023-03-01T00:00:00-08:00,2023-03-01T08:00:00+00:00,2023-04-01T00:00:00-07:00,2023-04-01T07:00:00+00:00,CAISO,2253929.22997
2023-03-01T00:00:00-08:00,2023-03-01T08:00:00+00:00,2023-04-01T00:00:00-07:00,2023-04-01T07:00:00+00:00,NP15,280646.21747
2023-03-01T00:00:00-08:00,2023-03-01T08:00:00+00:00,2023-04-01T00:00:00-07:00,2023-04-01T07:00:00+00:00,SP15,1692973.48322
2023-03-01T00:00:00-08:00,2023-03-01T08:00:00+00:00,2023-04-01T00:00:00-07:00,2023-04-01T07:00:00+00:00,ZP26,280309.52928
2023-04-01T00:00:00-07:00,2023-04-01T07:00:00+00:00,2023-05-01T00:00:00-07:00,2023-05-01T07:00:00+00:00,CAISO,3150873.14552
2023-04-01T00:00:00-07:00,2023-04-01T07:00:00+00:00,2023-05-01T00:00:00-07:00,2023-05-01T07:00:00+00:00,NP15,337421.3112
2023-04-01T00:00:00-07:00,2023-04-01T07:00:00+00:00,2023-05-01T00:00:00-07:00,2023-05-01T07:00:00+00:00,SP15,2388913.91003
2023-04-01T00:00:00-07:00,2023-04-01T07:00:00+00:00,2023-05-01T00:00:00-07:00,2023-05-01T07:00:00+00:00,ZP26,424537.924289999
2023-05-01T00:00:00-07:00,2023-05-01T07:00:00+00:00,2023-06-01T00:00:00-07:00,2023-06-01T07:00:00+00:00,CAISO,3711056.7134
2023-05-01T00:00:00-07:00,2023-05-01T07:00:00+00:00,2023-06-01T00:00:00-07:00,2023-06-01T07:00:00+00:00,NP15,482564.74803
2023-05-01T00:00:00-07:00,2023-05-01T07:00:00+00:00,2023-06-01T00:00:00-07:00,2023-06-01T07:00:00+00:00,SP15,2770572.73262
