time_local,time_utc,nuclear
2024-11-30T18:04:57-06:00,2024-12-01T00:04:57+00:00,5101.6
2024-11-30T18:09:57-06:00,2024-12-01T00:09:57+00:00,5101.2
2024-11-30T18:14:57-06:00,2024-12-01T00:14:57+00:00,5101.7
2024-11-30T18:19:57-06:00,2024-12-01T00:19:57+00:00,5102.7
2024-11-30T18:24:57-06:00,2024-12-01T00:24:57+00:00,5100.2
2024-11-30T18:29:57-06:00,2024-12-01T00:29:57+00:00,5100.9
2024-11-30T18:34:57-06:00,2024-12-01T00:34:57+00:00,5102.5
2024-11-30T18:39:57-06:00,2024-12-01T00:39:57+00:00,5101.9
2024-11-30T18:44:57-06:00,2024-12-01T00:44:57+00:00,5102.4
2024-11-30T18:49:57-06:00,2024-12-01T00:49:57+00:00,5101.2
2024-11-30T18:54:57-06:00,2024-12-01T00:54:57+00:00,5101.3
2024-11-30T18:59:57-06:00,2024-12-01T00:59:57+00:00,5101.2
2024-11-30T19:04:57-06:00,2024-12-01T01:04:57+00:00,5100.0
2024-11-30T19:09:57-06:00,2024-12-01T01:09:57+00:00,5099.9
2024-11-30T19:14:57-06:00,2024-12-01T01:14:57+00:00,5100.5
2024-11-30T19:19:57-06:00,2024-12-01T01:19:57+00:00,5101.2
2024-11-30T19:24:57-06:00,2024-12-01T01:24:57+00:00,5100.8
2024-11-30T19:29:57-06:00,2024-12-01T01:29:57+00:00,5101.5
2024-11-30T19:34:57-06:00,2024-12-01T01:34:57+00:00,5101.8
2024-11-30T19:39:57-06:00,2024-12-01T01:39:57+00:00,5100.1
2024-11-30T19:44:57-06:00,2024-12-01T01:44:57+00:00,5103.0
2024-11-30T19:49:57-06:00,2024-12-01T01:49:57+00:00,5101.5
2024-11-30T19:54:57-06:00,2024-12-01T01:54:57+00:00,5098.7
2024-11-30T19:59:57-06:00,2024-12-01T01:59:57+00:00,5101.0
2024-11-30T20:04:57-06:00,2024-12-01T02:04:57+00:00,5100.6
2024-11-30T20:09:57-06:00,2024-12-01T02:09:57+00:00,5100.4
2024-11-30T20:14:57-06:00,2024-12-01T02:14:57+00:00,5100.9
2024-11-30T20:19:57-06:00,2024-12-01T02:19:57+00:00,5099.7
2024-11-30T20:24:57-06:00,2024-12-01T02:24:57+00:00,5101.2
2024-11-30T20:29:57-06:00,2024-12-01T02:29:57+00:00,5100.8
2024-11-30T20:34:57-06:00,2024-12-01T02:34:57+00:00,5099.8
2024-11-30T20:39:57-06:00,2024-12-01T02:39:57+00:00,5100.4
2024-11-30T20:44:57-06:00,2024-12-01T02:44:57+00:00,5097.8
2024-11-30T20:49:57-06:00,2024-12-01T02:49:57+00:00,5097.8
2024-11-30T20:54:57-06:00,2024-12-01T02:54:57+00:00,5101.2
2024-11-30T20:59:57-06:00,2024-12-01T02:59:57+00:00,5099.7
2024-11-30T21:04:57-06:00,2024-12-01T03:04:57+00:00,5101.1
2024-11-30T21:09:57-06:00,2024-12-01T03:09:57+00:00,5102.0
2024-11-30T21:14:57-06:00,2024-12-01T03:14:57+00:00,5100.8
2024-11-30T21:19:57-06:00,2024-12-01T03:19:57+00:00,5100.9
2024-11-30T21:24:57-06:00,2024-12-01T03:24:57+00:00,5100.2
2024-11-30T21:29:57-06:00,2024-12-01T03:29:57+00:00,5099.5
2024-11-30T21:34:57-06:00,2024-12-01T03:34:57+00:00,5099.9
2024-11-30T21:39:57-06:00,2024-12-01T03:39:57+00:00,5101.3
2024-11-30T21:44:57-06:00,2024-12-01T03:44:57+00:00,5098.2
2024-11-30T21:49:57-06:00,2024-12-01T03:49:57+00:00,5099.1
2024-11-30T21:54:57-06:00,2024-12-01T03:54:57+00:00,5100.6
2024-11-30T21:59:57-06:00,2024-12-01T03:59:57+00:00,5102.6
2024-11-30T22:04:57-06:00,2024-12-01T04:04:57+00:00,5098.7
