interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,HB_HOUSTON,56.99
2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,2024-05-31T21:00:00-05:00,2024-06-01T02:00:00+00:00,HB_HOUSTON,68.01
2024-05-31T21:00:00-05:00,2024-06-01T02:00:00+00:00,2024-05-31T22:00:00-05:00,2024-06-01T03:00:00+00:00,HB_HOUSTON,51.73
2024-05-31T22:00:00-05:00,2024-06-01T03:00:00+00:00,2024-05-31T23:00:00-05:00,2024-06-01T04:00:00+00:00,HB_HOUSTON,29.81
2024-05-31T23:00:00-05:00,2024-06-01T04:00:00+00:00,2024-06-01T00:00:00-05:00,2024-06-01T05:00:00+00:00,HB_HOUSTON,24.97
2024-06-01T00:00:00-05:00,2024-06-01T05:00:00+00:00,2024-06-01T01:00:00-05:00,2024-06-01T06:00:00+00:00,HB_HOUSTON,24.79
2024-06-01T01:00:00-05:00,2024-06-01T06:00:00+00:00,2024-06-01T02:00:00-05:00,2024-06-01T07:00:00+00:00,HB_HOUSTON,20.7
2024-06-01T02:00:00-05:00,2024-06-01T07:00:00+00:00,2024-06-01T03:00:00-05:00,2024-06-01T08:00:00+00:00,HB_HOUSTON,21.85
2024-06-01T03:00:00-05:00,2024-06-01T08:00:00+00:00,2024-06-01T04:00:00-05:00,2024-06-01T09:00:00+00:00,HB_HOUSTON,22.15
2024-06-01T04:00:00-05:00,2024-06-01T09:00:00+00:00,2024-06-01T05:00:00-05:00,2024-06-01T10:00:00+00:00,HB_HOUSTON,23.36
2024-06-01T05:00:00-05:00,2024-06-01T10:00:00+00:00,2024-06-01T06:00:00-05:00,2024-06-01T11:00:00+00:00,HB_HOUSTON,25.1
2024-06-01T06:00:00-05:00,2024-06-01T11:00:00+00:00,2024-06-01T07:00:00-05:00,2024-06-01T12:00:00+00:00,HB_HOUSTON,24.39
2024-06-01T07:00:00-05:00,2024-06-01T12:00:00+00:00,2024-06-01T08:00:00-05:00,2024-06-01T13:00:00+00:00,HB_HOUSTON,20.27
2024-06-01T08:00:00-05:00,2024-06-01T13:00:00+00:00,2024-06-01T09:00:00-05:00,2024-06-01T14:00:00+00:00,HB_HOUSTON,19.56
