interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,market,spp
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,56.99
2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,2024-05-31T21:00:00-05:00,2024-06-01T02:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,68.01
2024-05-31T21:00:00-05:00,2024-06-01T02:00:00+00:00,2024-05-31T22:00:00-05:00,2024-06-01T03:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,51.73
2024-05-31T22:00:00-05:00,2024-06-01T03:00:00+00:00,2024-05-31T23:00:00-05:00,2024-06-01T04:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,29.81
2024-05-31T23:00:00-05:00,2024-06-01T04:00:00+00:00,2024-06-01T00:00:00-05:00,2024-06-01T05:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,24.97
2024-06-01T00:00:00-05:00,2024-06-01T05:00:00+00:00,2024-06-01T01:00:00-05:00,2024-06-01T06:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,24.79
2024-06-01T01:00:00-05:00,2024-06-01T06:00:00+00:00,2024-06-01T02:00:00-05:00,2024-06-01T07:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,20.7
2024-06-01T02:00:00-05:00,2024-06-01T07:00:00+00:00,2024-06-01T03:00:00-05:00,2024-06-01T08:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,21.85
2024-06-01T03:00:00-05:00,2024-06-01T08:00:00+00:00,2024-06-01T04:00:00-05:00,2024-06-01T09:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,22.15
2024-06-01T04:00:00-05:00,2024-06-01T09:00:00+00:00,2024-06-01T05:00:00-05:00,2024-06-01T10:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,23.36
2024-06-01T05:00:00-05:00,2024-06-01T10:00:00+00:00,2024-06-01T06:00:00-05:00,2024-06-01T11:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,25.1
2024-06-01T06:00:00-05:00,2024-06-01T11:00:00+00:00,2024-06-01T07:00:00-05:00,2024-06-01T12:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,24.39
