interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,load
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,NEPOOL AREA,9825.0
2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,2023-01-01T02:00:00-05:00,2023-01-01T07:00:00+00:00,NEPOOL AREA,9322.0
2023-01-01T02:00:00-05:00,2023-01-01T07:00:00+00:00,2023-01-01T03:00:00-05:00,2023-01-01T08:00:00+00:00,NEPOOL AREA,9366.0
2023-01-01T03:00:00-05:00,2023-01-01T08:00:00+00:00,2023-01-01T04:00:00-05:00,2023-01-01T09:00:00+00:00,NEPOOL AREA,9316.0
2023-01-01T04:00:00-05:00,2023-01-01T09:00:00+00:00,2023-01-01T05:00:00-05:00,2023-01-01T10:00:00+00:00,NEPOOL AREA,9668.0
2023-01-01T05:00:00-05:00,2023-01-01T10:00:00+00:00,2023-01-01T06:00:00-05:00,2023-01-01T11:00:00+00:00,NEPOOL AREA,9814.0
2023-01-01T06:00:00-05:00,2023-01-01T11:00:00+00:00,2023-01-01T07:00:00-05:00,2023-01-01T12:00:00+00:00,NEPOOL AREA,10244.0
2023-01-01T07:00:00-05:00,2023-01-01T12:00:00+00:00,2023-01-01T08:00:00-05:00,2023-01-01T13:00:00+00:00,NEPOOL AREA,10183.0
2023-01-01T08:00:00-05:00,2023-01-01T13:00:00+00:00,2023-01-01T09:00:00-05:00,2023-01-01T14:00:00+00:00,NEPOOL AREA,10539.0
2023-01-01T09:00:00-05:00,2023-01-01T14:00:00+00:00,2023-01-01T10:00:00-05:00,2023-01-01T15:00:00+00:00,NEPOOL AREA,10889.0
2023-01-01T10:00:00-05:00,2023-01-01T15:00:00+00:00,2023-01-01T11:00:00-05:00,2023-01-01T16:00:00+00:00,NEPOOL AREA,11039.0
2023-01-01T11:00:00-05:00,2023-01-01T16:00:00+00:00,2023-01-01T12:00:00-05:00,2023-01-01T17:00:00+00:00,NEPOOL AREA,11128.0
2023-01-01T12:00:00-05:00,2023-01-01T17:00:00+00:00,2023-01-01T13:00:00-05:00,2023-01-01T18:00:00+00:00,NEPOOL AREA,11162.0
2023-01-01T13:00:00-05:00,2023-01-01T18:00:00+00:00,2023-01-01T14:00:00-05:00,2023-01-01T19:00:00+00:00,NEPOOL AREA,11166.0
