interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2022-12-31T00:00:00-05:00,2022-12-31T05:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,60.0
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-02T00:00:00-05:00,2023-01-02T05:00:00+00:00,19559.3333333333
2023-01-02T00:00:00-05:00,2023-01-02T05:00:00+00:00,2023-01-03T00:00:00-05:00,2023-01-03T05:00:00+00:00,9436.5
2023-01-03T00:00:00-05:00,2023-01-03T05:00:00+00:00,2023-01-04T00:00:00-05:00,2023-01-04T05:00:00+00:00,2251.0
2023-01-04T00:00:00-05:00,2023-01-04T05:00:00+00:00,2023-01-05T00:00:00-05:00,2023-01-05T05:00:00+00:00,5912.33333333333
2023-01-05T00:00:00-05:00,2023-01-05T05:00:00+00:00,2023-01-06T00:00:00-05:00,2023-01-06T05:00:00+00:00,3370.25
2023-01-06T00:00:00-05:00,2023-01-06T05:00:00+00:00,2023-01-07T00:00:00-05:00,2023-01-07T05:00:00+00:00,2177.5
2023-01-07T00:00:00-05:00,2023-01-07T05:00:00+00:00,2023-01-08T00:00:00-05:00,2023-01-08T05:00:00+00:00,9101.83333333333
2023-01-08T00:00:00-05:00,2023-01-08T05:00:00+00:00,2023-01-09T00:00:00-05:00,2023-01-09T05:00:00+00:00,25078.0
2023-01-09T00:00:00-05:00,2023-01-09T05:00:00+00:00,2023-01-10T00:00:00-05:00,2023-01-10T05:00:00+00:00,18833.75
2023-01-10T00:00:00-05:00,2023-01-10T05:00:00+00:00,2023-01-11T00:00:00-05:00,2023-01-11T05:00:00+00:00,19303.75
2023-01-11T00:00:00-05:00,2023-01-11T05:00:00+00:00,2023-01-12T00:00:00-05:00,2023-01-12T05:00:00+00:00,25939.25
2023-01-12T00:00:00-05:00,2023-01-12T05:00:00+00:00,2023-01-13T00:00:00-05:00,2023-01-13T05:00:00+00:00,2569.0
2023-01-13T00:00:00-05:00,2023-01-13T05:00:00+00:00,2023-01-14T00:00:00-05:00,2023-01-14T05:00:00+00:00,3132.5
2023-01-14T00:00:00-05:00,2023-01-14T05:00:00+00:00,2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,5207.25
2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,2023-01-16T00:00:00-05:00,2023-01-16T05:00:00+00:00,9270.16666666667
2023-01-16T00:00:00-05:00,2023-01-16T05:00:00+00:00,2023-01-17T00:00:00-05:00,2023-01-17T05:00:00+00:00,5327.5
2023-01-17T00:00:00-05:00,2023-01-17T05:00:00+00:00,2023-01-18T00:00:00-05:00,2023-01-18T05:00:00+00:00,20558.5
2023-01-18T00:00:00-05:00,2023-01-18T05:00:00+00:00,2023-01-19T00:00:00-05:00,2023-01-19T05:00:00+00:00,17946.4166666667
2023-01-19T00:00:00-05:00,2023-01-19T05:00:00+00:00,2023-01-20T00:00:00-05:00,2023-01-20T05:00:00+00:00,8659.0
2023-01-20T00:00:00-05:00,2023-01-20T05:00:00+00:00,2023-01-21T00:00:00-05:00,2023-01-21T05:00:00+00:00,3800.25
2023-01-21T00:00:00-05:00,2023-01-21T05:00:00+00:00,2023-01-22T00:00:00-05:00,2023-01-22T05:00:00+00:00,4454.0
2023-01-22T00:00:00-05:00,2023-01-22T05:00:00+00:00,2023-01-23T00:00:00-05:00,2023-01-23T05:00:00+00:00,4149.5
2023-01-23T00:00:00-05:00,2023-01-23T05:00:00+00:00,2023-01-24T00:00:00-05:00,2023-01-24T05:00:00+00:00,2495.25
2023-01-24T00:00:00-05:00,2023-01-24T05:00:00+00:00,2023-01-25T00:00:00-05:00,2023-01-25T05:00:00+00:00,6001.25
2023-01-25T00:00:00-05:00,2023-01-25T05:00:00+00:00,2023-01-26T00:00:00-05:00,2023-01-26T05:00:00+00:00,6787.16666666667
2023-01-26T00:00:00-05:00,2023-01-26T05:00:00+00:00,2023-01-27T00:00:00-05:00,2023-01-27T05:00:00+00:00,8803.83333333333
2023-01-27T00:00:00-05:00,2023-01-27T05:00:00+00:00,2023-01-28T00:00:00-05:00,2023-01-28T05:00:00+00:00,24686.5833333333
2023-01-28T00:00:00-05:00,2023-01-28T05:00:00+00:00,2023-01-29T00:00:00-05:00,2023-01-29T05:00:00+00:00,25014.0
2023-01-29T00:00:00-05:00,2023-01-29T05:00:00+00:00,2023-01-30T00:00:00-05:00,2023-01-30T05:00:00+00:00,9504.16666666667
2023-01-30T00:00:00-05:00,2023-01-30T05:00:00+00:00,2023-01-31T00:00:00-05:00,2023-01-31T05:00:00+00:00,19710.5833333333
2023-01-31T00:00:00-05:00,2023-01-31T05:00:00+00:00,2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,18881.5
2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,2023-02-02T00:00:00-05:00,2023-02-02T05:00:00+00:00,30581.5833333333
2023-02-02T00:00:00-05:00,2023-02-02T05:00:00+00:00,2023-02-03T00:00:00-05:00,2023-02-03T05:00:00+00:00,27339.25
2023-02-03T00:00:00-05:00,2023-02-03T05:00:00+00:00,2023-02-04T00:00:00-05:00,2023-02-04T05:00:00+00:00,33024.3333333333
2023-02-04T00:00:00-05:00,2023-02-04T05:00:00+00:00,2023-02-05T00:00:00-05:00,2023-02-05T05:00:00+00:00,27214.0833333333
2023-02-05T00:00:00-05:00,2023-02-05T05:00:00+00:00,2023-02-06T00:00:00-05:00,2023-02-06T05:00:00+00:00,23816.0833333333
2023-02-06T00:00:00-05:00,2023-02-06T05:00:00+00:00,2023-02-07T00:00:00-05:00,2023-02-07T05:00:00+00:00,16277.1666666667
2023-02-07T00:00:00-05:00,2023-02-07T05:00:00+00:00,2023-02-08T00:00:00-05:00,2023-02-08T05:00:00+00:00,31527.0
2023-02-08T00:00:00-05:00,2023-02-08T05:00:00+00:00,2023-02-09T00:00:00-05:00,2023-02-09T05:00:00+00:00,23237.4166666667
2023-02-09T00:00:00-05:00,2023-02-09T05:00:00+00:00,2023-02-10T00:00:00-05:00,2023-02-10T05:00:00+00:00,13004.5
2023-02-10T00:00:00-05:00,2023-02-10T05:00:00+00:00,2023-02-11T00:00:00-05:00,2023-02-11T05:00:00+00:00,31382.625
2023-02-11T00:00:00-05:00,2023-02-11T05:00:00+00:00,2023-02-12T00:00:00-05:00,2023-02-12T05:00:00+00:00,39274.0833333333
2023-02-12T00:00:00-05:00,2023-02-12T05:00:00+00:00,2023-02-13T00:00:00-05:00,2023-02-13T05:00:00+00:00,27837.6666666667
2023-02-13T00:00:00-05:00,2023-02-13T05:00:00+00:00,2023-02-14T00:00:00-05:00,2023-02-14T05:00:00+00:00,26534.5833333333
2023-02-14T00:00:00-05:00,2023-02-14T05:00:00+00:00,2023-02-15T00:00:00-05:00,2023-02-15T05:00:00+00:00,34914.75
2023-02-15T00:00:00-05:00,2023-02-15T05:00:00+00:00,2023-02-16T00:00:00-05:00,2023-02-16T05:00:00+00:00,27944.5
2023-02-16T00:00:00-05:00,2023-02-16T05:00:00+00:00,2023-02-17T00:00:00-05:00,2023-02-17T05:00:00+00:00,25223.25
2023-02-17T00:00:00-05:00,2023-02-17T05:00:00+00:00,2023-02-18T00:00:00-05:00,2023-02-18T05:00:00+00:00,5791.25
2023-02-18T00:00:00-05:00,2023-02-18T05:00:00+00:00,2023-02-19T00:00:00-05:00,2023-02-19T05:00:00+00:00,40266.5833333333
2023-02-19T00:00:00-05:00,2023-02-19T05:00:00+00:00,2023-02-20T00:00:00-05:00,2023-02-20T05:00:00+00:00,23368.6666666667
2023-02-20T00:00:00-05:00,2023-02-20T05:00:00+00:00,2023-02-21T00:00:00-05:00,2023-02-21T05:00:00+00:00,22815.25
2023-02-21T00:00:00-05:00,2023-02-21T05:00:00+00:00,2023-02-22T00:00:00-05:00,2023-02-22T05:00:00+00:00,13595.5
2023-02-22T00:00:00-05:00,2023-02-22T05:00:00+00:00,2023-02-23T00:00:00-05:00,2023-02-23T05:00:00+00:00,22258.6666666667
