interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2022-12-01T00:00:00-05:00,2022-12-01T05:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,.Z.CONNECTICUT,38.552
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,.Z.CONNECTICUT,47.7618548387097
2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,.Z.CONNECTICUT,67.1432886904761
2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,2023-04-01T00:00:00-04:00,2023-04-01T04:00:00+00:00,.Z.CONNECTICUT,34.2679676985195
2023-04-01T00:00:00-04:00,2023-04-01T04:00:00+00:00,2023-05-01T00:00:00-04:00,2023-05-01T04:00:00+00:00,.Z.CONNECTICUT,28.5246666666667
2023-05-01T00:00:00-04:00,2023-05-01T04:00:00+00:00,2023-06-01T00:00:00-04:00,2023-06-01T04:00:00+00:00,.Z.CONNECTICUT,24.9169892473118
2023-06-01T00:00:00-04:00,2023-06-01T04:00:00+00:00,2023-07-01T00:00:00-04:00,2023-07-01T04:00:00+00:00,.Z.CONNECTICUT,33.0134027777778
2023-07-01T00:00:00-04:00,2023-07-01T04:00:00+00:00,2023-08-01T00:00:00-04:00,2023-08-01T04:00:00+00:00,.Z.CONNECTICUT,41.5229704301075
2023-08-01T00:00:00-04:00,2023-08-01T04:00:00+00:00,2023-09-01T00:00:00-04:00,2023-09-01T04:00:00+00:00,.Z.CONNECTICUT,26.4976747311828
2023-09-01T00:00:00-04:00,2023-09-01T04:00:00+00:00,2023-10-01T00:00:00-04:00,2023-10-01T04:00:00+00:00,.Z.CONNECTICUT,29.6810694444444
2023-10-01T00:00:00-04:00,2023-10-01T04:00:00+00:00,2023-11-01T00:00:00-04:00,2023-11-01T04:00:00+00:00,.Z.CONNECTICUT,25.8762231182796
2023-11-01T00:00:00-04:00,2023-11-01T04:00:00+00:00,2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,.Z.CONNECTICUT,38.7160055478502
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,.Z.CONNECTICUT,37.1119891745602
