interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp
2023-05-31T20:00:00-04:00,2023-06-01T00:00:00+00:00,2023-05-31T21:00:00-04:00,2023-06-01T01:00:00+00:00,.H.INTERNAL_HUB,HUB,30.54
2023-05-31T21:00:00-04:00,2023-06-01T01:00:00+00:00,2023-05-31T22:00:00-04:00,2023-06-01T02:00:00+00:00,.H.INTERNAL_HUB,HUB,30.82
2023-05-31T22:00:00-04:00,2023-06-01T02:00:00+00:00,2023-05-31T23:00:00-04:00,2023-06-01T03:00:00+00:00,.H.INTERNAL_HUB,HUB,26.34
2023-05-31T23:00:00-04:00,2023-06-01T03:00:00+00:00,2023-06-01T00:00:00-04:00,2023-06-01T04:00:00+00:00,.H.INTERNAL_HUB,HUB,25.23
2023-06-01T00:00:00-04:00,2023-06-01T04:00:00+00:00,2023-06-01T01:00:00-04:00,2023-06-01T05:00:00+00:00,.H.INTERNAL_HUB,HUB,25.5
2023-06-01T01:00:00-04:00,2023-06-01T05:00:00+00:00,2023-06-01T02:00:00-04:00,2023-06-01T06:00:00+00:00,.H.INTERNAL_HUB,HUB,24.04
2023-06-01T02:00:00-04:00,2023-06-01T06:00:00+00:00,2023-06-01T03:00:00-04:00,2023-06-01T07:00:00+00:00,.H.INTERNAL_HUB,HUB,22.15
2023-06-01T03:00:00-04:00,2023-06-01T07:00:00+00:00,2023-06-01T04:00:00-04:00,2023-06-01T08:00:00+00:00,.H.INTERNAL_HUB,HUB,20.34
2023-06-01T04:00:00-04:00,2023-06-01T08:00:00+00:00,2023-06-01T05:00:00-04:00,2023-06-01T09:00:00+00:00,.H.INTERNAL_HUB,HUB,22.24
2023-06-01T05:00:00-04:00,2023-06-01T09:00:00+00:00,2023-06-01T06:00:00-04:00,2023-06-01T10:00:00+00:00,.H.INTERNAL_HUB,HUB,23.99
2023-06-01T06:00:00-04:00,2023-06-01T10:00:00+00:00,2023-06-01T07:00:00-04:00,2023-06-01T11:00:00+00:00,.H.INTERNAL_HUB,HUB,26.33
2023-06-01T07:00:00-04:00,2023-06-01T11:00:00+00:00,2023-06-01T08:00:00-04:00,2023-06-01T12:00:00+00:00,.H.INTERNAL_HUB,HUB,25.69
2023-06-01T08:00:00-04:00,2023-06-01T12:00:00+00:00,2023-06-01T09:00:00-04:00,2023-06-01T13:00:00+00:00,.H.INTERNAL_HUB,HUB,25.26
2023-06-01T09:00:00-04:00,2023-06-01T13:00:00+00:00,2023-06-01T10:00:00-04:00,2023-06-01T14:00:00+00:00,.H.INTERNAL_HUB,HUB,25.07
2023-06-01T10:00:00-04:00,2023-06-01T14:00:00+00:00,2023-06-01T11:00:00-04:00,2023-06-01T15:00:00+00:00,.H.INTERNAL_HUB,HUB,35.56
2023-06-01T11:00:00-04:00,2023-06-01T15:00:00+00:00,2023-06-01T12:00:00-04:00,2023-06-01T16:00:00+00:00,.H.INTERNAL_HUB,HUB,38.5
2023-06-01T12:00:00-04:00,2023-06-01T16:00:00+00:00,2023-06-01T13:00:00-04:00,2023-06-01T17:00:00+00:00,.H.INTERNAL_HUB,HUB,42.26
2023-06-01T13:00:00-04:00,2023-06-01T17:00:00+00:00,2023-06-01T14:00:00-04:00,2023-06-01T18:00:00+00:00,.H.INTERNAL_HUB,HUB,55.0
2023-06-01T14:00:00-04:00,2023-06-01T18:00:00+00:00,2023-06-01T15:00:00-04:00,2023-06-01T19:00:00+00:00,.H.INTERNAL_HUB,HUB,55.78
2023-06-01T15:00:00-04:00,2023-06-01T19:00:00+00:00,2023-06-01T16:00:00-04:00,2023-06-01T20:00:00+00:00,.H.INTERNAL_HUB,HUB,52.29
2023-06-01T16:00:00-04:00,2023-06-01T20:00:00+00:00,2023-06-01T17:00:00-04:00,2023-06-01T21:00:00+00:00,.H.INTERNAL_HUB,HUB,75.62
2023-06-01T17:00:00-04:00,2023-06-01T21:00:00+00:00,2023-06-01T18:00:00-04:00,2023-06-01T22:00:00+00:00,.H.INTERNAL_HUB,HUB,102.43
2023-06-01T18:00:00-04:00,2023-06-01T22:00:00+00:00,2023-06-01T19:00:00-04:00,2023-06-01T23:00:00+00:00,.H.INTERNAL_HUB,HUB,106.02
2023-06-01T19:00:00-04:00,2023-06-01T23:00:00+00:00,2023-06-01T20:00:00-04:00,2023-06-02T00:00:00+00:00,.H.INTERNAL_HUB,HUB,77.08
2023-06-01T20:00:00-04:00,2023-06-02T00:00:00+00:00,2023-06-01T21:00:00-04:00,2023-06-02T01:00:00+00:00,.H.INTERNAL_HUB,HUB,71.46
2023-06-01T21:00:00-04:00,2023-06-02T01:00:00+00:00,2023-06-01T22:00:00-04:00,2023-06-02T02:00:00+00:00,.H.INTERNAL_HUB,HUB,57.94
2023-06-01T22:00:00-04:00,2023-06-02T02:00:00+00:00,2023-06-01T23:00:00-04:00,2023-06-02T03:00:00+00:00,.H.INTERNAL_HUB,HUB,50.71
2023-06-01T23:00:00-04:00,2023-06-02T03:00:00+00:00,2023-06-02T00:00:00-04:00,2023-06-02T04:00:00+00:00,.H.INTERNAL_HUB,HUB,52.99
2023-06-02T00:00:00-04:00,2023-06-02T04:00:00+00:00,2023-06-02T01:00:00-04:00,2023-06-02T05:00:00+00:00,.H.INTERNAL_HUB,HUB,41.52
2023-06-02T01:00:00-04:00,2023-06-02T05:00:00+00:00,2023-06-02T02:00:00-04:00,2023-06-02T06:00:00+00:00,.H.INTERNAL_HUB,HUB,40.64
2023-06-02T02:00:00-04:00,2023-06-02T06:00:00+00:00,2023-06-02T03:00:00-04:00,2023-06-02T07:00:00+00:00,.H.INTERNAL_HUB,HUB,36.77
2023-06-02T03:00:00-04:00,2023-06-02T07:00:00+00:00,2023-06-02T04:00:00-04:00,2023-06-02T08:00:00+00:00,.H.INTERNAL_HUB,HUB,34.83
2023-06-02T04:00:00-04:00,2023-06-02T08:00:00+00:00,2023-06-02T05:00:00-04:00,2023-06-02T09:00:00+00:00,.H.INTERNAL_HUB,HUB,34.33
2023-06-02T05:00:00-04:00,2023-06-02T09:00:00+00:00,2023-06-02T06:00:00-04:00,2023-06-02T10:00:00+00:00,.H.INTERNAL_HUB,HUB,36.43
2023-06-02T06:00:00-04:00,2023-06-02T10:00:00+00:00,2023-06-02T07:00:00-04:00,2023-06-02T11:00:00+00:00,.H.INTERNAL_HUB,HUB,36.99
2023-06-02T07:00:00-04:00,2023-06-02T11:00:00+00:00,2023-06-02T08:00:00-04:00,2023-06-02T12:00:00+00:00,.H.INTERNAL_HUB,HUB,44.43
2023-06-02T08:00:00-04:00,2023-06-02T12:00:00+00:00,2023-06-02T09:00:00-04:00,2023-06-02T13:00:00+00:00,.H.INTERNAL_HUB,HUB,52.94
2023-06-02T09:00:00-04:00,2023-06-02T13:00:00+00:00,2023-06-02T10:00:00-04:00,2023-06-02T14:00:00+00:00,.H.INTERNAL_HUB,HUB,52.83
2023-06-02T10:00:00-04:00,2023-06-02T14:00:00+00:00,2023-06-02T11:00:00-04:00,2023-06-02T15:00:00+00:00,.H.INTERNAL_HUB,HUB,38.74
2023-06-02T11:00:00-04:00,2023-06-02T15:00:00+00:00,2023-06-02T12:00:00-04:00,2023-06-02T16:00:00+00:00,.H.INTERNAL_HUB,HUB,39.35
2023-06-02T12:00:00-04:00,2023-06-02T16:00:00+00:00,2023-06-02T13:00:00-04:00,2023-06-02T17:00:00+00:00,.H.INTERNAL_HUB,HUB,44.21
2023-06-02T13:00:00-04:00,2023-06-02T17:00:00+00:00,2023-06-02T14:00:00-04:00,2023-06-02T18:00:00+00:00,.H.INTERNAL_HUB,HUB,46.0
2023-06-02T14:00:00-04:00,2023-06-02T18:00:00+00:00,2023-06-02T15:00:00-04:00,2023-06-02T19:00:00+00:00,.H.INTERNAL_HUB,HUB,49.34
2023-06-02T15:00:00-04:00,2023-06-02T19:00:00+00:00,2023-06-02T16:00:00-04:00,2023-06-02T20:00:00+00:00,.H.INTERNAL_HUB,HUB,44.48
2023-06-02T16:00:00-04:00,2023-06-02T20:00:00+00:00,2023-06-02T17:00:00-04:00,2023-06-02T21:00:00+00:00,.H.INTERNAL_HUB,HUB,47.11
2023-06-02T17:00:00-04:00,2023-06-02T21:00:00+00:00,2023-06-02T18:00:00-04:00,2023-06-02T22:00:00+00:00,.H.INTERNAL_HUB,HUB,51.45
2023-06-02T18:00:00-04:00,2023-06-02T22:00:00+00:00,2023-06-02T19:00:00-04:00,2023-06-02T23:00:00+00:00,.H.INTERNAL_HUB,HUB,38.0
2023-06-02T19:00:00-04:00,2023-06-02T23:00:00+00:00,2023-06-02T20:00:00-04:00,2023-06-03T00:00:00+00:00,.H.INTERNAL_HUB,HUB,38.64
2023-06-02T20:00:00-04:00,2023-06-03T00:00:00+00:00,2023-06-02T21:00:00-04:00,2023-06-03T01:00:00+00:00,.H.INTERNAL_HUB,HUB,33.34
2023-06-02T21:00:00-04:00,2023-06-03T01:00:00+00:00,2023-06-02T22:00:00-04:00,2023-06-03T02:00:00+00:00,.H.INTERNAL_HUB,HUB,30.0
2023-06-02T22:00:00-04:00,2023-06-03T02:00:00+00:00,2023-06-02T23:00:00-04:00,2023-06-03T03:00:00+00:00,.H.INTERNAL_HUB,HUB,29.68
2023-06-02T23:00:00-04:00,2023-06-03T03:00:00+00:00,2023-06-03T00:00:00-04:00,2023-06-03T04:00:00+00:00,.H.INTERNAL_HUB,HUB,28.63
2023-06-03T00:00:00-04:00,2023-06-03T04:00:00+00:00,2023-06-03T01:00:00-04:00,2023-06-03T05:00:00+00:00,.H.INTERNAL_HUB,HUB,31.9
2023-06-03T01:00:00-04:00,2023-06-03T05:00:00+00:00,2023-06-03T02:00:00-04:00,2023-06-03T06:00:00+00:00,.H.INTERNAL_HUB,HUB,27.31
2023-06-03T02:00:00-04:00,2023-06-03T06:00:00+00:00,2023-06-03T03:00:00-04:00,2023-06-03T07:00:00+00:00,.H.INTERNAL_HUB,HUB,28.46
2023-06-03T03:00:00-04:00,2023-06-03T07:00:00+00:00,2023-06-03T04:00:00-04:00,2023-06-03T08:00:00+00:00,.H.INTERNAL_HUB,HUB,26.37
2023-06-03T04:00:00-04:00,2023-06-03T08:00:00+00:00,2023-06-03T05:00:00-04:00,2023-06-03T09:00:00+00:00,.H.INTERNAL_HUB,HUB,26.37
2023-06-03T05:00:00-04:00,2023-06-03T09:00:00+00:00,2023-06-03T06:00:00-04:00,2023-06-03T10:00:00+00:00,.H.INTERNAL_HUB,HUB,26.17
