interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2023-07-01T00:00:00-04:00,2023-07-01T04:00:00+00:00,2023-07-01T01:00:00-04:00,2023-07-01T05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,34.87,35.82,0.0,-0.95
2023-07-01T01:00:00-04:00,2023-07-01T05:00:00+00:00,2023-07-01T02:00:00-04:00,2023-07-01T06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,36.16,37.36,0.0,-1.2
2023-07-01T02:00:00-04:00,2023-07-01T06:00:00+00:00,2023-07-01T03:00:00-04:00,2023-07-01T07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,32.28,33.37,0.0,-1.09
2023-07-01T03:00:00-04:00,2023-07-01T07:00:00+00:00,2023-07-01T04:00:00-04:00,2023-07-01T08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,27.94,28.9,0.0,-0.96
2023-07-01T04:00:00-04:00,2023-07-01T08:00:00+00:00,2023-07-01T05:00:00-04:00,2023-07-01T09:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,29.85,30.91,0.0,-1.06
2023-07-01T05:00:00-04:00,2023-07-01T09:00:00+00:00,2023-07-01T06:00:00-04:00,2023-07-01T10:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,27.24,28.21,0.0,-0.97
2023-07-01T06:00:00-04:00,2023-07-01T10:00:00+00:00,2023-07-01T07:00:00-04:00,2023-07-01T11:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,28.05,29.06,0.0,-1.01
2023-07-01T07:00:00-04:00,2023-07-01T11:00:00+00:00,2023-07-01T08:00:00-04:00,2023-07-01T12:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,28.97,30.11,0.0,-1.14
2023-07-01T08:00:00-04:00,2023-07-01T12:00:00+00:00,2023-07-01T09:00:00-04:00,2023-07-01T13:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,32.04,33.27,0.0,-1.23
2023-07-01T09:00:00-04:00,2023-07-01T13:00:00+00:00,2023-07-01T10:00:00-04:00,2023-07-01T14:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,27.36,28.38,0.0,-1.02
2023-07-01T10:00:00-04:00,2023-07-01T14:00:00+00:00,2023-07-01T11:00:00-04:00,2023-07-01T15:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,27.4,28.36,0.0,-0.96
2023-07-01T11:00:00-04:00,2023-07-01T15:00:00+00:00,2023-07-01T12:00:00-04:00,2023-07-01T16:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,33.55,34.6,0.0,-1.05
2023-07-01T12:00:00-04:00,2023-07-01T16:00:00+00:00,2023-07-01T13:00:00-04:00,2023-07-01T17:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,29.15,29.98,0.0,-0.83
2023-07-01T13:00:00-04:00,2023-07-01T17:00:00+00:00,2023-07-01T14:00:00-04:00,2023-07-01T18:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,33.5,34.36,0.0,-0.86
2023-07-01T14:00:00-04:00,2023-07-01T18:00:00+00:00,2023-07-01T15:00:00-04:00,2023-07-01T19:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,30.05,30.57,0.0,-0.52
2023-07-01T15:00:00-04:00,2023-07-01T19:00:00+00:00,2023-07-01T16:00:00-04:00,2023-07-01T20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,37.04,37.42,0.0,-0.38
2023-07-01T16:00:00-04:00,2023-07-01T20:00:00+00:00,2023-07-01T17:00:00-04:00,2023-07-01T21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,44.59,45.19,0.0,-0.6
2023-07-01T17:00:00-04:00,2023-07-01T21:00:00+00:00,2023-07-01T18:00:00-04:00,2023-07-01T22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,44.95,45.58,0.0,-0.63
2023-07-01T18:00:00-04:00,2023-07-01T22:00:00+00:00,2023-07-01T19:00:00-04:00,2023-07-01T23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,45.42,46.14,0.0,-0.72
2023-07-01T19:00:00-04:00,2023-07-01T23:00:00+00:00,2023-07-01T20:00:00-04:00,2023-07-02T00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,42.8,43.73,0.0,-0.93
2023-07-01T20:00:00-04:00,2023-07-02T00:00:00+00:00,2023-07-01T21:00:00-04:00,2023-07-02T01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,42.39,43.21,0.0,-0.82
2023-07-01T21:00:00-04:00,2023-07-02T01:00:00+00:00,2023-07-01T22:00:00-04:00,2023-07-02T02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,41.4,42.14,0.0,-0.74
2023-07-01T22:00:00-04:00,2023-07-02T02:00:00+00:00,2023-07-01T23:00:00-04:00,2023-07-02T03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,35.52,36.26,0.0,-0.74
2023-07-01T23:00:00-04:00,2023-07-02T03:00:00+00:00,2023-07-02T00:00:00-04:00,2023-07-02T04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.CONNECTICUT,LOAD ZONE,31.0,31.74,0.0,-0.74
