interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2023-12-31T19:00:00-05:00,2024-01-01T00:00:00+00:00,2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,.Z.CONNECTICUT,30.25
2023-12-31T19:00:00-05:00,2024-01-01T00:00:00+00:00,2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,.Z.MAINE,30.86
2023-12-31T19:00:00-05:00,2024-01-01T00:00:00+00:00,2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,.Z.NEMASSBOST,31.2
2023-12-31T19:00:00-05:00,2024-01-01T00:00:00+00:00,2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,.Z.NEWHAMPSHIRE,31.26
2023-12-31T19:00:00-05:00,2024-01-01T00:00:00+00:00,2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,.Z.RHODEISLAND,30.54
2023-12-31T19:00:00-05:00,2024-01-01T00:00:00+00:00,2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,.Z.SEMASS,31.06
2023-12-31T19:00:00-05:00,2024-01-01T00:00:00+00:00,2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,.Z.VERMONT,31.21
2023-12-31T19:00:00-05:00,2024-01-01T00:00:00+00:00,2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,.Z.WCMASS,30.9
2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,2023-12-31T21:00:00-05:00,2024-01-01T02:00:00+00:00,.Z.CONNECTICUT,26.76
2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,2023-12-31T21:00:00-05:00,2024-01-01T02:00:00+00:00,.Z.MAINE,27.2
2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,2023-12-31T21:00:00-05:00,2024-01-01T02:00:00+00:00,.Z.NEMASSBOST,27.53
2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,2023-12-31T21:00:00-05:00,2024-01-01T02:00:00+00:00,.Z.NEWHAMPSHIRE,27.56
