interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,reg_capacity_clearing_price,reg_service_clearing_price
2022-05-31T00:00:00-04:00,2022-05-31T04:00:00+00:00,2022-06-01T00:00:00-04:00,2022-06-01T04:00:00+00:00,,
2022-06-01T00:00:00-04:00,2022-06-01T04:00:00+00:00,2022-06-02T00:00:00-04:00,2022-06-02T04:00:00+00:00,,
2022-06-02T00:00:00-04:00,2022-06-02T04:00:00+00:00,2022-06-03T00:00:00-04:00,2022-06-03T04:00:00+00:00,,
2022-06-03T00:00:00-04:00,2022-06-03T04:00:00+00:00,2022-06-04T00:00:00-04:00,2022-06-04T04:00:00+00:00,,
2022-06-04T00:00:00-04:00,2022-06-04T04:00:00+00:00,2022-06-05T00:00:00-04:00,2022-06-05T04:00:00+00:00,,
2022-06-05T00:00:00-04:00,2022-06-05T04:00:00+00:00,2022-06-06T00:00:00-04:00,2022-06-06T04:00:00+00:00,,
2022-06-06T00:00:00-04:00,2022-06-06T04:00:00+00:00,2022-06-07T00:00:00-04:00,2022-06-07T04:00:00+00:00,,
2022-06-07T00:00:00-04:00,2022-06-07T04:00:00+00:00,2022-06-08T00:00:00-04:00,2022-06-08T04:00:00+00:00,,
2022-06-08T00:00:00-04:00,2022-06-08T04:00:00+00:00,2022-06-09T00:00:00-04:00,2022-06-09T04:00:00+00:00,,
2022-06-09T00:00:00-04:00,2022-06-09T04:00:00+00:00,2022-06-10T00:00:00-04:00,2022-06-10T04:00:00+00:00,,
2022-06-10T00:00:00-04:00,2022-06-10T04:00:00+00:00,2022-06-11T00:00:00-04:00,2022-06-11T04:00:00+00:00,,
2022-06-11T00:00:00-04:00,2022-06-11T04:00:00+00:00,2022-06-12T00:00:00-04:00,2022-06-12T04:00:00+00:00,,
2022-06-12T00:00:00-04:00,2022-06-12T04:00:00+00:00,2022-06-13T00:00:00-04:00,2022-06-13T04:00:00+00:00,,
2022-06-13T00:00:00-04:00,2022-06-13T04:00:00+00:00,2022-06-14T00:00:00-04:00,2022-06-14T04:00:00+00:00,,
2022-06-14T00:00:00-04:00,2022-06-14T04:00:00+00:00,2022-06-15T00:00:00-04:00,2022-06-15T04:00:00+00:00,,
2022-06-15T00:00:00-04:00,2022-06-15T04:00:00+00:00,2022-06-16T00:00:00-04:00,2022-06-16T04:00:00+00:00,,
2022-06-16T00:00:00-04:00,2022-06-16T04:00:00+00:00,2022-06-17T00:00:00-04:00,2022-06-17T04:00:00+00:00,,
2022-06-17T00:00:00-04:00,2022-06-17T04:00:00+00:00,2022-06-18T00:00:00-04:00,2022-06-18T04:00:00+00:00,,
2022-06-18T00:00:00-04:00,2022-06-18T04:00:00+00:00,2022-06-19T00:00:00-04:00,2022-06-19T04:00:00+00:00,,
2022-06-19T00:00:00-04:00,2022-06-19T04:00:00+00:00,2022-06-20T00:00:00-04:00,2022-06-20T04:00:00+00:00,,
2022-06-20T00:00:00-04:00,2022-06-20T04:00:00+00:00,2022-06-21T00:00:00-04:00,2022-06-21T04:00:00+00:00,,
2022-06-21T00:00:00-04:00,2022-06-21T04:00:00+00:00,2022-06-22T00:00:00-04:00,2022-06-22T04:00:00+00:00,,
2022-06-22T00:00:00-04:00,2022-06-22T04:00:00+00:00,2022-06-23T00:00:00-04:00,2022-06-23T04:00:00+00:00,,
2022-06-23T00:00:00-04:00,2022-06-23T04:00:00+00:00,2022-06-24T00:00:00-04:00,2022-06-24T04:00:00+00:00,,
2022-06-24T00:00:00-04:00,2022-06-24T04:00:00+00:00,2022-06-25T00:00:00-04:00,2022-06-25T04:00:00+00:00,,
2022-06-25T00:00:00-04:00,2022-06-25T04:00:00+00:00,2022-06-26T00:00:00-04:00,2022-06-26T04:00:00+00:00,,
2022-06-26T00:00:00-04:00,2022-06-26T04:00:00+00:00,2022-06-27T00:00:00-04:00,2022-06-27T04:00:00+00:00,,
2022-06-27T00:00:00-04:00,2022-06-27T04:00:00+00:00,2022-06-28T00:00:00-04:00,2022-06-28T04:00:00+00:00,,
2022-06-28T00:00:00-04:00,2022-06-28T04:00:00+00:00,2022-06-29T00:00:00-04:00,2022-06-29T04:00:00+00:00,,
2022-06-29T00:00:00-04:00,2022-06-29T04:00:00+00:00,2022-06-30T00:00:00-04:00,2022-06-30T04:00:00+00:00,,
2022-06-30T00:00:00-04:00,2022-06-30T04:00:00+00:00,2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,,
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-02T00:00:00-04:00,2022-07-02T04:00:00+00:00,,
2022-07-02T00:00:00-04:00,2022-07-02T04:00:00+00:00,2022-07-03T00:00:00-04:00,2022-07-03T04:00:00+00:00,,
