interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,reserve_zone_id,reserve_zone_name,ten_min_spin_requirement,tmnsr_clearing_price,tmnsr_designated_mw,tmor_clearing_price,tmor_designated_mw,tmsr_clearing_price,tmsr_designated_mw,total_10_min_requirement,total_30_min_requirement
2022-05-31T20:00:00-04:00,2022-06-01T00:00:00+00:00,2022-05-31T21:00:00-04:00,2022-06-01T01:00:00+00:00,7002,CT,0.0,0.0,521.1,0.0,119.183,0.0,60.992,0.0,529.267
2022-05-31T20:00:00-04:00,2022-06-01T00:00:00+00:00,2022-05-31T21:00:00-04:00,2022-06-01T01:00:00+00:00,7003,NEMABSTN,0.0,0.0,40.4,0.0,133.333,0.0,31.867,0.0,1498.0
2022-05-31T20:00:00-04:00,2022-06-01T00:00:00+00:00,2022-05-31T21:00:00-04:00,2022-06-01T01:00:00+00:00,7000,ROS,472.167,0.0,1987.1,0.0,899.867,0.0,577.267,1886.25,2671.167
2022-05-31T20:00:00-04:00,2022-06-01T00:00:00+00:00,2022-05-31T21:00:00-04:00,2022-06-01T01:00:00+00:00,7001,SWCT,0.0,0.0,687.0,0.0,352.6,0.0,11.658,0.0,1335.475
2022-05-31T21:00:00-04:00,2022-06-01T01:00:00+00:00,2022-05-31T22:00:00-04:00,2022-06-01T02:00:00+00:00,7002,CT,0.0,0.0,521.1,0.0,119.75,0.02,47.008,0.0,524.733
2022-05-31T21:00:00-04:00,2022-06-01T01:00:00+00:00,2022-05-31T22:00:00-04:00,2022-06-01T02:00:00+00:00,7003,NEMABSTN,0.0,0.0,40.4,0.0,127.75,0.02,33.933,0.0,1498.0
2022-05-31T21:00:00-04:00,2022-06-01T01:00:00+00:00,2022-05-31T22:00:00-04:00,2022-06-01T02:00:00+00:00,7000,ROS,472.167,0.0,2018.917,0.0,873.617,0.02,479.5,1886.833,2672.0
2022-05-31T21:00:00-04:00,2022-06-01T01:00:00+00:00,2022-05-31T22:00:00-04:00,2022-06-01T02:00:00+00:00,7001,SWCT,0.0,0.0,700.0,0.0,375.117,0.02,10.667,0.0,1330.8
2022-05-31T22:00:00-04:00,2022-06-01T02:00:00+00:00,2022-05-31T23:00:00-04:00,2022-06-01T03:00:00+00:00,7002,CT,0.0,0.0,521.1,0.0,139.392,0.0,117.358,0.0,529.008
2022-05-31T22:00:00-04:00,2022-06-01T02:00:00+00:00,2022-05-31T23:00:00-04:00,2022-06-01T03:00:00+00:00,7003,NEMABSTN,0.0,0.0,40.4,0.0,174.4,0.0,101.625,0.0,1498.0
2022-05-31T22:00:00-04:00,2022-06-01T02:00:00+00:00,2022-05-31T23:00:00-04:00,2022-06-01T03:00:00+00:00,7000,ROS,472.25,0.0,2341.533,0.0,944.283,0.0,501.6,1886.917,2672.0
2022-05-31T22:00:00-04:00,2022-06-01T02:00:00+00:00,2022-05-31T23:00:00-04:00,2022-06-01T03:00:00+00:00,7001,SWCT,0.0,0.0,726.783,0.0,375.867,0.0,14.583,0.0,1334.433
2022-05-31T23:00:00-04:00,2022-06-01T03:00:00+00:00,2022-06-01T00:00:00-04:00,2022-06-01T04:00:00+00:00,7002,CT,0.0,0.0,521.1,0.0,139.775,0.26,121.508,0.0,488.367
2022-05-31T23:00:00-04:00,2022-06-01T03:00:00+00:00,2022-06-01T00:00:00-04:00,2022-06-01T04:00:00+00:00,7003,NEMABSTN,0.0,0.0,21.733,0.0,100.15,0.26,25.5,0.0,1498.0
2022-05-31T23:00:00-04:00,2022-06-01T03:00:00+00:00,2022-06-01T00:00:00-04:00,2022-06-01T04:00:00+00:00,7000,ROS,472.583,0.0,2411.275,0.0,744.467,0.26,436.817,1887.917,2672.917
2022-05-31T23:00:00-04:00,2022-06-01T03:00:00+00:00,2022-06-01T00:00:00-04:00,2022-06-01T04:00:00+00:00,7001,SWCT,0.0,0.0,489.3,0.0,250.233,0.26,26.033,0.0,1294.125
2022-06-01T00:00:00-04:00,2022-06-01T04:00:00+00:00,2022-06-01T01:00:00-04:00,2022-06-01T05:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,144.117,0.0,99.158,0.0,618.392
2022-06-01T00:00:00-04:00,2022-06-01T04:00:00+00:00,2022-06-01T01:00:00-04:00,2022-06-01T05:00:00+00:00,7003,NEMABSTN,0.0,0.0,33.5,0.0,88.8,0.0,5.55,0.0,1498.0
2022-06-01T00:00:00-04:00,2022-06-01T04:00:00+00:00,2022-06-01T01:00:00-04:00,2022-06-01T05:00:00+00:00,7000,ROS,473.083,0.0,1975.65,0.0,753.408,0.0,609.375,1888.75,2673.667
2022-06-01T00:00:00-04:00,2022-06-01T04:00:00+00:00,2022-06-01T01:00:00-04:00,2022-06-01T05:00:00+00:00,7001,SWCT,0.0,0.0,387.8,0.0,162.833,0.0,18.192,0.0,1284.95
2022-06-01T01:00:00-04:00,2022-06-01T05:00:00+00:00,2022-06-01T02:00:00-04:00,2022-06-01T06:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,135.058,0.0,92.375,0.0,771.233
2022-06-01T01:00:00-04:00,2022-06-01T05:00:00+00:00,2022-06-01T02:00:00-04:00,2022-06-01T06:00:00+00:00,7003,NEMABSTN,0.0,0.0,33.5,0.0,87.675,0.0,7.1,0.0,1487.5
2022-06-01T01:00:00-04:00,2022-06-01T05:00:00+00:00,2022-06-01T02:00:00-04:00,2022-06-01T06:00:00+00:00,7000,ROS,473.0,0.0,1200.642,0.0,1638.05,0.0,662.825,1888.667,2673.667
2022-06-01T01:00:00-04:00,2022-06-01T05:00:00+00:00,2022-06-01T02:00:00-04:00,2022-06-01T06:00:00+00:00,7001,SWCT,0.0,0.0,387.8,0.0,159.742,0.0,11.2,0.0,1290.958
