interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,fuel_mix.solar
2022-12-01T00:00:00-05:00,2022-12-01T05:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,5.0
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,28993.4930555556
2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,52906.0520833333
2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,2023-04-01T00:00:00-04:00,2023-04-01T04:00:00+00:00,79064.6041666666
2023-04-01T00:00:00-04:00,2023-04-01T04:00:00+00:00,2023-05-01T00:00:00-04:00,2023-05-01T04:00:00+00:00,86338.701388889
2023-05-01T00:00:00-04:00,2023-05-01T04:00:00+00:00,2023-06-01T00:00:00-04:00,2023-06-01T04:00:00+00:00,129153.395833333
2023-06-01T00:00:00-04:00,2023-06-01T04:00:00+00:00,2023-07-01T00:00:00-04:00,2023-07-01T04:00:00+00:00,94479.4722222221
2023-07-01T00:00:00-04:00,2023-07-01T04:00:00+00:00,2023-08-01T00:00:00-04:00,2023-08-01T04:00:00+00:00,96477.6770833332
2023-08-01T00:00:00-04:00,2023-08-01T04:00:00+00:00,2023-09-01T00:00:00-04:00,2023-09-01T04:00:00+00:00,86872.3020833334
2023-09-01T00:00:00-04:00,2023-09-01T04:00:00+00:00,2023-10-01T00:00:00-04:00,2023-10-01T04:00:00+00:00,75003.8090277777
2023-10-01T00:00:00-04:00,2023-10-01T04:00:00+00:00,2023-11-01T00:00:00-04:00,2023-11-01T04:00:00+00:00,68304.4472222222
2023-11-01T00:00:00-04:00,2023-11-01T04:00:00+00:00,2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,57655.8
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,35284.5280753968
