interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind
2022-12-31T00:00:00-05:00,2022-12-31T05:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,513256.0
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-02T00:00:00-05:00,2023-01-02T05:00:00+00:00,1630104.0
2023-01-02T00:00:00-05:00,2023-01-02T05:00:00+00:00,2023-01-03T00:00:00-05:00,2023-01-03T05:00:00+00:00,2058133.0
2023-01-03T00:00:00-05:00,2023-01-03T05:00:00+00:00,2023-01-04T00:00:00-05:00,2023-01-04T05:00:00+00:00,3779710.0
2023-01-04T00:00:00-05:00,2023-01-04T05:00:00+00:00,2023-01-05T00:00:00-05:00,2023-01-05T05:00:00+00:00,3309996.0
2023-01-05T00:00:00-05:00,2023-01-05T05:00:00+00:00,2023-01-06T00:00:00-05:00,2023-01-06T05:00:00+00:00,3266968.0
2023-01-06T00:00:00-05:00,2023-01-06T05:00:00+00:00,2023-01-07T00:00:00-05:00,2023-01-07T05:00:00+00:00,799784.0
2023-01-07T00:00:00-05:00,2023-01-07T05:00:00+00:00,2023-01-08T00:00:00-05:00,2023-01-08T05:00:00+00:00,1037019.0
2023-01-08T00:00:00-05:00,2023-01-08T05:00:00+00:00,2023-01-09T00:00:00-05:00,2023-01-09T05:00:00+00:00,1953278.0
2023-01-09T00:00:00-05:00,2023-01-09T05:00:00+00:00,2023-01-10T00:00:00-05:00,2023-01-10T05:00:00+00:00,4227148.0
2023-01-10T00:00:00-05:00,2023-01-10T05:00:00+00:00,2023-01-11T00:00:00-05:00,2023-01-11T05:00:00+00:00,1536057.0
2023-01-11T00:00:00-05:00,2023-01-11T05:00:00+00:00,2023-01-12T00:00:00-05:00,2023-01-12T05:00:00+00:00,2265467.0
2023-01-12T00:00:00-05:00,2023-01-12T05:00:00+00:00,2023-01-13T00:00:00-05:00,2023-01-13T05:00:00+00:00,5235109.0
2023-01-13T00:00:00-05:00,2023-01-13T05:00:00+00:00,2023-01-14T00:00:00-05:00,2023-01-14T05:00:00+00:00,2966359.0
2023-01-14T00:00:00-05:00,2023-01-14T05:00:00+00:00,2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,4381090.0
2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,2023-01-16T00:00:00-05:00,2023-01-16T05:00:00+00:00,5025442.0
2023-01-16T00:00:00-05:00,2023-01-16T05:00:00+00:00,2023-01-17T00:00:00-05:00,2023-01-17T05:00:00+00:00,4547482.0
2023-01-17T00:00:00-05:00,2023-01-17T05:00:00+00:00,2023-01-18T00:00:00-05:00,2023-01-18T05:00:00+00:00,3870774.0
2023-01-18T00:00:00-05:00,2023-01-18T05:00:00+00:00,2023-01-19T00:00:00-05:00,2023-01-19T05:00:00+00:00,2228380.0
2023-01-19T00:00:00-05:00,2023-01-19T05:00:00+00:00,2023-01-20T00:00:00-05:00,2023-01-20T05:00:00+00:00,3757772.0
2023-01-20T00:00:00-05:00,2023-01-20T05:00:00+00:00,2023-01-21T00:00:00-05:00,2023-01-21T05:00:00+00:00,2075451.0
2023-01-21T00:00:00-05:00,2023-01-21T05:00:00+00:00,2023-01-22T00:00:00-05:00,2023-01-22T05:00:00+00:00,541909.0
2023-01-22T00:00:00-05:00,2023-01-22T05:00:00+00:00,2023-01-23T00:00:00-05:00,2023-01-23T05:00:00+00:00,496668.0
2023-01-23T00:00:00-05:00,2023-01-23T05:00:00+00:00,2023-01-24T00:00:00-05:00,2023-01-24T05:00:00+00:00,3187700.0
2023-01-24T00:00:00-05:00,2023-01-24T05:00:00+00:00,2023-01-25T00:00:00-05:00,2023-01-25T05:00:00+00:00,2216223.0
2023-01-25T00:00:00-05:00,2023-01-25T05:00:00+00:00,2023-01-26T00:00:00-05:00,2023-01-26T05:00:00+00:00,4100658.0
