interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,coal
2023-01-14T19:00:00-05:00,2023-01-15T00:00:00+00:00,2023-01-14T20:00:00-05:00,2023-01-15T01:00:00+00:00,25359.25
2023-01-14T20:00:00-05:00,2023-01-15T01:00:00+00:00,2023-01-14T21:00:00-05:00,2023-01-15T02:00:00+00:00,24968.9166666667
2023-01-14T21:00:00-05:00,2023-01-15T02:00:00+00:00,2023-01-14T22:00:00-05:00,2023-01-15T03:00:00+00:00,24165.8333333333
2023-01-14T22:00:00-05:00,2023-01-15T03:00:00+00:00,2023-01-14T23:00:00-05:00,2023-01-15T04:00:00+00:00,23587.5
2023-01-14T23:00:00-05:00,2023-01-15T04:00:00+00:00,2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,23146.25
2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,2023-01-15T01:00:00-05:00,2023-01-15T06:00:00+00:00,22815.1666666667
2023-01-15T01:00:00-05:00,2023-01-15T06:00:00+00:00,2023-01-15T02:00:00-05:00,2023-01-15T07:00:00+00:00,22014.25
2023-01-15T02:00:00-05:00,2023-01-15T07:00:00+00:00,2023-01-15T03:00:00-05:00,2023-01-15T08:00:00+00:00,21638.25
2023-01-15T03:00:00-05:00,2023-01-15T08:00:00+00:00,2023-01-15T04:00:00-05:00,2023-01-15T09:00:00+00:00,21723.0833333333
2023-01-15T04:00:00-05:00,2023-01-15T09:00:00+00:00,2023-01-15T05:00:00-05:00,2023-01-15T10:00:00+00:00,21789.5
2023-01-15T05:00:00-05:00,2023-01-15T10:00:00+00:00,2023-01-15T06:00:00-05:00,2023-01-15T11:00:00+00:00,21839.1666666667
2023-01-15T06:00:00-05:00,2023-01-15T11:00:00+00:00,2023-01-15T07:00:00-05:00,2023-01-15T12:00:00+00:00,22466.1666666667
2023-01-15T07:00:00-05:00,2023-01-15T12:00:00+00:00,2023-01-15T08:00:00-05:00,2023-01-15T13:00:00+00:00,22740.75
2023-01-15T08:00:00-05:00,2023-01-15T13:00:00+00:00,2023-01-15T09:00:00-05:00,2023-01-15T14:00:00+00:00,23211.3333333333
2023-01-15T09:00:00-05:00,2023-01-15T14:00:00+00:00,2023-01-15T10:00:00-05:00,2023-01-15T15:00:00+00:00,23289.25
2023-01-15T10:00:00-05:00,2023-01-15T15:00:00+00:00,2023-01-15T11:00:00-05:00,2023-01-15T16:00:00+00:00,22431.6666666667
2023-01-15T11:00:00-05:00,2023-01-15T16:00:00+00:00,2023-01-15T12:00:00-05:00,2023-01-15T17:00:00+00:00,21823.5
2023-01-15T12:00:00-05:00,2023-01-15T17:00:00+00:00,2023-01-15T13:00:00-05:00,2023-01-15T18:00:00+00:00,21484.3333333333
2023-01-15T13:00:00-05:00,2023-01-15T18:00:00+00:00,2023-01-15T14:00:00-05:00,2023-01-15T19:00:00+00:00,21441.0
2023-01-15T14:00:00-05:00,2023-01-15T19:00:00+00:00,2023-01-15T15:00:00-05:00,2023-01-15T20:00:00+00:00,20634.4166666667
2023-01-15T15:00:00-05:00,2023-01-15T20:00:00+00:00,2023-01-15T16:00:00-05:00,2023-01-15T21:00:00+00:00,20361.8333333333
2023-01-15T16:00:00-05:00,2023-01-15T21:00:00+00:00,2023-01-15T17:00:00-05:00,2023-01-15T22:00:00+00:00,20296.4166666667
2023-01-15T17:00:00-05:00,2023-01-15T22:00:00+00:00,2023-01-15T18:00:00-05:00,2023-01-15T23:00:00+00:00,21666.8333333333
2023-01-15T18:00:00-05:00,2023-01-15T23:00:00+00:00,2023-01-15T19:00:00-05:00,2023-01-16T00:00:00+00:00,22882.0833333333
