interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2022-12-31T00:00:00-05:00,2022-12-31T05:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,0.0
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-02T00:00:00-05:00,2023-01-02T05:00:00+00:00,52833.0
2023-01-02T00:00:00-05:00,2023-01-02T05:00:00+00:00,2023-01-03T00:00:00-05:00,2023-01-03T05:00:00+00:00,26281.0
2023-01-03T00:00:00-05:00,2023-01-03T05:00:00+00:00,2023-01-04T00:00:00-05:00,2023-01-04T05:00:00+00:00,26914.0
2023-01-04T00:00:00-05:00,2023-01-04T05:00:00+00:00,2023-01-05T00:00:00-05:00,2023-01-05T05:00:00+00:00,50721.0
2023-01-05T00:00:00-05:00,2023-01-05T05:00:00+00:00,2023-01-06T00:00:00-05:00,2023-01-06T05:00:00+00:00,55769.0
2023-01-06T00:00:00-05:00,2023-01-06T05:00:00+00:00,2023-01-07T00:00:00-05:00,2023-01-07T05:00:00+00:00,83511.0
2023-01-07T00:00:00-05:00,2023-01-07T05:00:00+00:00,2023-01-08T00:00:00-05:00,2023-01-08T05:00:00+00:00,72379.0
2023-01-08T00:00:00-05:00,2023-01-08T05:00:00+00:00,2023-01-09T00:00:00-05:00,2023-01-09T05:00:00+00:00,45167.0
2023-01-09T00:00:00-05:00,2023-01-09T05:00:00+00:00,2023-01-10T00:00:00-05:00,2023-01-10T05:00:00+00:00,109150.0
2023-01-10T00:00:00-05:00,2023-01-10T05:00:00+00:00,2023-01-11T00:00:00-05:00,2023-01-11T05:00:00+00:00,86203.0
2023-01-11T00:00:00-05:00,2023-01-11T05:00:00+00:00,2023-01-12T00:00:00-05:00,2023-01-12T05:00:00+00:00,58568.0
2023-01-12T00:00:00-05:00,2023-01-12T05:00:00+00:00,2023-01-13T00:00:00-05:00,2023-01-13T05:00:00+00:00,26520.0
2023-01-13T00:00:00-05:00,2023-01-13T05:00:00+00:00,2023-01-14T00:00:00-05:00,2023-01-14T05:00:00+00:00,43520.0
2023-01-14T00:00:00-05:00,2023-01-14T05:00:00+00:00,2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,102959.0
2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,2023-01-16T00:00:00-05:00,2023-01-16T05:00:00+00:00,110751.0
2023-01-16T00:00:00-05:00,2023-01-16T05:00:00+00:00,2023-01-17T00:00:00-05:00,2023-01-17T05:00:00+00:00,24264.0
2023-01-17T00:00:00-05:00,2023-01-17T05:00:00+00:00,2023-01-18T00:00:00-05:00,2023-01-18T05:00:00+00:00,53160.0
2023-01-18T00:00:00-05:00,2023-01-18T05:00:00+00:00,2023-01-19T00:00:00-05:00,2023-01-19T05:00:00+00:00,24678.0
2023-01-19T00:00:00-05:00,2023-01-19T05:00:00+00:00,2023-01-20T00:00:00-05:00,2023-01-20T05:00:00+00:00,61647.0
2023-01-20T00:00:00-05:00,2023-01-20T05:00:00+00:00,2023-01-21T00:00:00-05:00,2023-01-21T05:00:00+00:00,51046.0
2023-01-21T00:00:00-05:00,2023-01-21T05:00:00+00:00,2023-01-22T00:00:00-05:00,2023-01-22T05:00:00+00:00,56960.0
2023-01-22T00:00:00-05:00,2023-01-22T05:00:00+00:00,2023-01-23T00:00:00-05:00,2023-01-23T05:00:00+00:00,34263.0
2023-01-23T00:00:00-05:00,2023-01-23T05:00:00+00:00,2023-01-24T00:00:00-05:00,2023-01-24T05:00:00+00:00,95577.0
2023-01-24T00:00:00-05:00,2023-01-24T05:00:00+00:00,2023-01-25T00:00:00-05:00,2023-01-25T05:00:00+00:00,76822.0
2023-01-25T00:00:00-05:00,2023-01-25T05:00:00+00:00,2023-01-26T00:00:00-05:00,2023-01-26T05:00:00+00:00,44303.0
2023-01-26T00:00:00-05:00,2023-01-26T05:00:00+00:00,2023-01-27T00:00:00-05:00,2023-01-27T05:00:00+00:00,85606.0
2023-01-27T00:00:00-05:00,2023-01-27T05:00:00+00:00,2023-01-28T00:00:00-05:00,2023-01-28T05:00:00+00:00,91899.0
2023-01-28T00:00:00-05:00,2023-01-28T05:00:00+00:00,2023-01-29T00:00:00-05:00,2023-01-29T05:00:00+00:00,76188.0
2023-01-29T00:00:00-05:00,2023-01-29T05:00:00+00:00,2023-01-30T00:00:00-05:00,2023-01-30T05:00:00+00:00,63056.0
2023-01-30T00:00:00-05:00,2023-01-30T05:00:00+00:00,2023-01-31T00:00:00-05:00,2023-01-31T05:00:00+00:00,81404.0
2023-01-31T00:00:00-05:00,2023-01-31T05:00:00+00:00,2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,109665.0
2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,2023-02-02T00:00:00-05:00,2023-02-02T05:00:00+00:00,125593.0
2023-02-02T00:00:00-05:00,2023-02-02T05:00:00+00:00,2023-02-03T00:00:00-05:00,2023-02-03T05:00:00+00:00,
2023-02-03T00:00:00-05:00,2023-02-03T05:00:00+00:00,2023-02-04T00:00:00-05:00,2023-02-04T05:00:00+00:00,
2023-02-04T00:00:00-05:00,2023-02-04T05:00:00+00:00,2023-02-05T00:00:00-05:00,2023-02-05T05:00:00+00:00,
2023-02-05T00:00:00-05:00,2023-02-05T05:00:00+00:00,2023-02-06T00:00:00-05:00,2023-02-06T05:00:00+00:00,
2023-02-06T00:00:00-05:00,2023-02-06T05:00:00+00:00,2023-02-07T00:00:00-05:00,2023-02-07T05:00:00+00:00,
2023-02-07T00:00:00-05:00,2023-02-07T05:00:00+00:00,2023-02-08T00:00:00-05:00,2023-02-08T05:00:00+00:00,
