interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,AECI,Interface,39.74
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,AECI.ALTW,Loadzone,54.0
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,AECI.AMMO,Loadzone,40.67
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,AECI.APM_1.AZ,Hub,40.65
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,AECI.APM_2.AZ,Hub,40.34
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,AECI.CWLD,Loadzone,40.34
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,AEP,Interface,41.69
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,AEP.PSGC1.AMP,Gennode,40.44
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,AEP.PSGC2.AMP,Gennode,40.44
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,AEP.WVPA.GIB5,Gennode,41.14
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.1ROCKGEN,Gennode,40.74
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.ALBANY,Gennode,136.77
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.ALTE,Loadzone,46.28
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.AZ,Hub,46.26
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.BEARCRK,Gennode,50.08
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.BVRDAM,Gennode,45.4
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.CASSVILLE,Gennode,57.09
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.CC.RIVS1,Gennode,32.22
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.CC.RIVS2,Gennode,32.22
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.CC.WRIVS1,Gennode,39.12
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.CC.WRIVS2,Gennode,39.13
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.CEDARDGE,Gennode,45.07
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.COLUMBAL1,Gennode,43.48
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.COLUMBAL2,Gennode,43.63
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.CRAWFISH,Gennode,41.67
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.EDG3.ARR,Hub,43.84
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.EDGG5G5,Gennode,43.68
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.GRANTCTY,Gennode,76.8
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.JUN31.ARR,Hub,48.75
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.KILBOUNIL,Gennode,46.8
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.NEENAHG1,Gennode,45.48
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.NEENAHG2,Gennode,45.48
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.NLSD1.ARR,Hub,57.09
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.NLSD2.ARR,Hub,57.12
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.NROCK,Gennode,35.69
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.ONIONRIV,Gennode,41.64
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.PADDOCK,Gennode,35.69
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.PAR_1.AZ,Hub,45.01
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.PDSG1S1,Gennode,44.48
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.PPKC.ESR1,Gennode,44.25
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.QUILTBLCK,Gennode,86.81
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.ROCKGEN2,Gennode,40.74
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.ROCKGEN3,Gennode,40.74
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.SFONDDLG1,Gennode,44.94
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.SFONDDLG2,Gennode,44.94
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.SFONDDLG3,Gennode,44.94
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.SFONDDLG4,Gennode,44.94
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.SHEB1,Gennode,35.41
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.SHEB2,Gennode,35.41
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.SHPSN.ARR,Hub,36.86
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.SPRINGFD,Gennode,44.34
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.TOWNECT_1,Gennode,32.22
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.TOWNECT_2,Gennode,32.22
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.TOWNEST11,Gennode,32.22
2023-07-14T19:00:00-05:00,2023-07-15T00:00:00+00:00,2023-07-14T20:00:00-05:00,2023-07-15T01:00:00+00:00,ALTE.TOWNEST12,Gennode,32.22
