interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2023-01-14T19:00:00-05:00,2023-01-15T00:00:00+00:00,2023-01-14T19:05:00-05:00,2023-01-15T00:05:00+00:00,79749
2023-01-14T19:05:00-05:00,2023-01-15T00:05:00+00:00,2023-01-14T19:10:00-05:00,2023-01-15T00:10:00+00:00,79571
2023-01-14T19:10:00-05:00,2023-01-15T00:10:00+00:00,2023-01-14T19:15:00-05:00,2023-01-15T00:15:00+00:00,79603
2023-01-14T19:15:00-05:00,2023-01-15T00:15:00+00:00,2023-01-14T19:20:00-05:00,2023-01-15T00:20:00+00:00,79365
2023-01-14T19:20:00-05:00,2023-01-15T00:20:00+00:00,2023-01-14T19:25:00-05:00,2023-01-15T00:25:00+00:00,79135
2023-01-14T19:25:00-05:00,2023-01-15T00:25:00+00:00,2023-01-14T19:30:00-05:00,2023-01-15T00:30:00+00:00,79151
2023-01-14T19:30:00-05:00,2023-01-15T00:30:00+00:00,2023-01-14T19:35:00-05:00,2023-01-15T00:35:00+00:00,79499
2023-01-14T19:35:00-05:00,2023-01-15T00:35:00+00:00,2023-01-14T19:40:00-05:00,2023-01-15T00:40:00+00:00,79423
2023-01-14T19:40:00-05:00,2023-01-15T00:40:00+00:00,2023-01-14T19:45:00-05:00,2023-01-15T00:45:00+00:00,79385
2023-01-14T19:45:00-05:00,2023-01-15T00:45:00+00:00,2023-01-14T19:50:00-05:00,2023-01-15T00:50:00+00:00,79537
2023-01-14T19:50:00-05:00,2023-01-15T00:50:00+00:00,2023-01-14T19:55:00-05:00,2023-01-15T00:55:00+00:00,79659
2023-01-14T19:55:00-05:00,2023-01-15T00:55:00+00:00,2023-01-14T20:00:00-05:00,2023-01-15T01:00:00+00:00,79528
2023-01-14T20:00:00-05:00,2023-01-15T01:00:00+00:00,2023-01-14T20:05:00-05:00,2023-01-15T01:05:00+00:00,79260
2023-01-14T20:05:00-05:00,2023-01-15T01:05:00+00:00,2023-01-14T20:10:00-05:00,2023-01-15T01:10:00+00:00,79353
2023-01-14T20:10:00-05:00,2023-01-15T01:10:00+00:00,2023-01-14T20:15:00-05:00,2023-01-15T01:15:00+00:00,79258
2023-01-14T20:15:00-05:00,2023-01-15T01:15:00+00:00,2023-01-14T20:20:00-05:00,2023-01-15T01:20:00+00:00,79303
2023-01-14T20:20:00-05:00,2023-01-15T01:20:00+00:00,2023-01-14T20:25:00-05:00,2023-01-15T01:25:00+00:00,79360
2023-01-14T20:25:00-05:00,2023-01-15T01:25:00+00:00,2023-01-14T20:30:00-05:00,2023-01-15T01:30:00+00:00,79209
2023-01-14T20:30:00-05:00,2023-01-15T01:30:00+00:00,2023-01-14T20:35:00-05:00,2023-01-15T01:35:00+00:00,79047
2023-01-14T20:35:00-05:00,2023-01-15T01:35:00+00:00,2023-01-14T20:40:00-05:00,2023-01-15T01:40:00+00:00,78934
2023-01-14T20:40:00-05:00,2023-01-15T01:40:00+00:00,2023-01-14T20:45:00-05:00,2023-01-15T01:45:00+00:00,78926
2023-01-14T20:45:00-05:00,2023-01-15T01:45:00+00:00,2023-01-14T20:50:00-05:00,2023-01-15T01:50:00+00:00,78865
2023-01-14T20:50:00-05:00,2023-01-15T01:50:00+00:00,2023-01-14T20:55:00-05:00,2023-01-15T01:55:00+00:00,78572
2023-01-14T20:55:00-05:00,2023-01-15T01:55:00+00:00,2023-01-14T21:00:00-05:00,2023-01-15T02:00:00+00:00,78554
2023-01-14T21:00:00-05:00,2023-01-15T02:00:00+00:00,2023-01-14T21:05:00-05:00,2023-01-15T02:05:00+00:00,78788
2023-01-14T21:05:00-05:00,2023-01-15T02:05:00+00:00,2023-01-14T21:10:00-05:00,2023-01-15T02:10:00+00:00,78560
2023-01-14T21:10:00-05:00,2023-01-15T02:10:00+00:00,2023-01-14T21:15:00-05:00,2023-01-15T02:15:00+00:00,78370
2023-01-14T21:15:00-05:00,2023-01-15T02:15:00+00:00,2023-01-14T21:20:00-05:00,2023-01-15T02:20:00+00:00,78433
2023-01-14T21:20:00-05:00,2023-01-15T02:20:00+00:00,2023-01-14T21:25:00-05:00,2023-01-15T02:25:00+00:00,78529
2023-01-14T21:25:00-05:00,2023-01-15T02:25:00+00:00,2023-01-14T21:30:00-05:00,2023-01-15T02:30:00+00:00,78559
2023-01-14T21:30:00-05:00,2023-01-15T02:30:00+00:00,2023-01-14T21:35:00-05:00,2023-01-15T02:35:00+00:00,78540
2023-01-14T21:35:00-05:00,2023-01-15T02:35:00+00:00,2023-01-14T21:40:00-05:00,2023-01-15T02:40:00+00:00,78430
2023-01-14T21:40:00-05:00,2023-01-15T02:40:00+00:00,2023-01-14T21:45:00-05:00,2023-01-15T02:45:00+00:00,78431
2023-01-14T21:45:00-05:00,2023-01-15T02:45:00+00:00,2023-01-14T21:50:00-05:00,2023-01-15T02:50:00+00:00,78215
2023-01-14T21:50:00-05:00,2023-01-15T02:50:00+00:00,2023-01-14T21:55:00-05:00,2023-01-15T02:55:00+00:00,78033
2023-01-14T21:55:00-05:00,2023-01-15T02:55:00+00:00,2023-01-14T22:00:00-05:00,2023-01-15T03:00:00+00:00,77678
2023-01-14T22:00:00-05:00,2023-01-15T03:00:00+00:00,2023-01-14T22:05:00-05:00,2023-01-15T03:05:00+00:00,77799
2023-01-14T22:05:00-05:00,2023-01-15T03:05:00+00:00,2023-01-14T22:10:00-05:00,2023-01-15T03:10:00+00:00,77509
2023-01-14T22:10:00-05:00,2023-01-15T03:10:00+00:00,2023-01-14T22:15:00-05:00,2023-01-15T03:15:00+00:00,77247
2023-01-14T22:15:00-05:00,2023-01-15T03:15:00+00:00,2023-01-14T22:20:00-05:00,2023-01-15T03:20:00+00:00,77144
2023-01-14T22:20:00-05:00,2023-01-15T03:20:00+00:00,2023-01-14T22:25:00-05:00,2023-01-15T03:25:00+00:00,77097
2023-01-14T22:25:00-05:00,2023-01-15T03:25:00+00:00,2023-01-14T22:30:00-05:00,2023-01-15T03:30:00+00:00,77136
2023-01-14T22:30:00-05:00,2023-01-15T03:30:00+00:00,2023-01-14T22:35:00-05:00,2023-01-15T03:35:00+00:00,77100
2023-01-14T22:35:00-05:00,2023-01-15T03:35:00+00:00,2023-01-14T22:40:00-05:00,2023-01-15T03:40:00+00:00,76941
2023-01-14T22:40:00-05:00,2023-01-15T03:40:00+00:00,2023-01-14T22:45:00-05:00,2023-01-15T03:45:00+00:00,76724
2023-01-14T22:45:00-05:00,2023-01-15T03:45:00+00:00,2023-01-14T22:50:00-05:00,2023-01-15T03:50:00+00:00,76391
2023-01-14T22:50:00-05:00,2023-01-15T03:50:00+00:00,2023-01-14T22:55:00-05:00,2023-01-15T03:55:00+00:00,76293
2023-01-14T22:55:00-05:00,2023-01-15T03:55:00+00:00,2023-01-14T23:00:00-05:00,2023-01-15T04:00:00+00:00,76104
2023-01-14T23:00:00-05:00,2023-01-15T04:00:00+00:00,2023-01-14T23:05:00-05:00,2023-01-15T04:05:00+00:00,76015
2023-01-14T23:05:00-05:00,2023-01-15T04:05:00+00:00,2023-01-14T23:10:00-05:00,2023-01-15T04:10:00+00:00,75521
