interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,fuel_mix.wind
2023-12-31T19:00:00-05:00,2024-01-01T00:00:00+00:00,2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,8414.416666666666
2023-12-31T20:00:00-05:00,2024-01-01T01:00:00+00:00,2023-12-31T21:00:00-05:00,2024-01-01T02:00:00+00:00,8554.583333333334
2023-12-31T21:00:00-05:00,2024-01-01T02:00:00+00:00,2023-12-31T22:00:00-05:00,2024-01-01T03:00:00+00:00,8436.416666666666
2023-12-31T22:00:00-05:00,2024-01-01T03:00:00+00:00,2023-12-31T23:00:00-05:00,2024-01-01T04:00:00+00:00,7693.666666666667
2023-12-31T23:00:00-05:00,2024-01-01T04:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,6844.0
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,6344.166666666667
2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,2024-01-01T02:00:00-05:00,2024-01-01T07:00:00+00:00,6178.833333333333
2024-01-01T02:00:00-05:00,2024-01-01T07:00:00+00:00,2024-01-01T03:00:00-05:00,2024-01-01T08:00:00+00:00,6026.333333333333
2024-01-01T03:00:00-05:00,2024-01-01T08:00:00+00:00,2024-01-01T04:00:00-05:00,2024-01-01T09:00:00+00:00,5632.583333333333
2024-01-01T04:00:00-05:00,2024-01-01T09:00:00+00:00,2024-01-01T05:00:00-05:00,2024-01-01T10:00:00+00:00,5263.916666666667
2024-01-01T05:00:00-05:00,2024-01-01T10:00:00+00:00,2024-01-01T06:00:00-05:00,2024-01-01T11:00:00+00:00,5043.083333333333
2024-01-01T06:00:00-05:00,2024-01-01T11:00:00+00:00,2024-01-01T07:00:00-05:00,2024-01-01T12:00:00+00:00,4730.166666666667
2024-01-01T07:00:00-05:00,2024-01-01T12:00:00+00:00,2024-01-01T08:00:00-05:00,2024-01-01T13:00:00+00:00,4442.916666666667
2024-01-01T08:00:00-05:00,2024-01-01T13:00:00+00:00,2024-01-01T09:00:00-05:00,2024-01-01T14:00:00+00:00,4488.833333333333
2024-01-01T09:00:00-05:00,2024-01-01T14:00:00+00:00,2024-01-01T10:00:00-05:00,2024-01-01T15:00:00+00:00,4450.083333333333
2024-01-01T10:00:00-05:00,2024-01-01T15:00:00+00:00,2024-01-01T11:00:00-05:00,2024-01-01T16:00:00+00:00,4636.0
2024-01-01T11:00:00-05:00,2024-01-01T16:00:00+00:00,2024-01-01T12:00:00-05:00,2024-01-01T17:00:00+00:00,4595.833333333333
2024-01-01T12:00:00-05:00,2024-01-01T17:00:00+00:00,2024-01-01T13:00:00-05:00,2024-01-01T18:00:00+00:00,4827.0
2024-01-01T13:00:00-05:00,2024-01-01T18:00:00+00:00,2024-01-01T14:00:00-05:00,2024-01-01T19:00:00+00:00,5942.25
2024-01-01T14:00:00-05:00,2024-01-01T19:00:00+00:00,2024-01-01T15:00:00-05:00,2024-01-01T20:00:00+00:00,7430.833333333333
2024-01-01T15:00:00-05:00,2024-01-01T20:00:00+00:00,2024-01-01T16:00:00-05:00,2024-01-01T21:00:00+00:00,8058.583333333333
2024-01-01T16:00:00-05:00,2024-01-01T21:00:00+00:00,2024-01-01T17:00:00-05:00,2024-01-01T22:00:00+00:00,8736.416666666666
2024-01-01T17:00:00-05:00,2024-01-01T22:00:00+00:00,2024-01-01T18:00:00-05:00,2024-01-01T23:00:00+00:00,10480.0
2024-01-01T18:00:00-05:00,2024-01-01T23:00:00+00:00,2024-01-01T19:00:00-05:00,2024-01-02T00:00:00+00:00,12873.083333333334
2024-01-01T19:00:00-05:00,2024-01-02T00:00:00+00:00,2024-01-01T20:00:00-05:00,2024-01-02T01:00:00+00:00,15525.416666666666
2024-01-01T20:00:00-05:00,2024-01-02T01:00:00+00:00,2024-01-01T21:00:00-05:00,2024-01-02T02:00:00+00:00,17325.833333333332
2024-01-01T21:00:00-05:00,2024-01-02T02:00:00+00:00,2024-01-01T22:00:00-05:00,2024-01-02T03:00:00+00:00,18276.166666666668
2024-01-01T22:00:00-05:00,2024-01-02T03:00:00+00:00,2024-01-01T23:00:00-05:00,2024-01-02T04:00:00+00:00,19558.583333333332
2024-01-01T23:00:00-05:00,2024-01-02T04:00:00+00:00,2024-01-02T00:00:00-05:00,2024-01-02T05:00:00+00:00,20370.0
2024-01-02T00:00:00-05:00,2024-01-02T05:00:00+00:00,2024-01-02T01:00:00-05:00,2024-01-02T06:00:00+00:00,20614.916666666668
2024-01-02T01:00:00-05:00,2024-01-02T06:00:00+00:00,2024-01-02T02:00:00-05:00,2024-01-02T07:00:00+00:00,20672.416666666668
2024-01-02T02:00:00-05:00,2024-01-02T07:00:00+00:00,2024-01-02T03:00:00-05:00,2024-01-02T08:00:00+00:00,19986.25
2024-01-02T03:00:00-05:00,2024-01-02T08:00:00+00:00,2024-01-02T04:00:00-05:00,2024-01-02T09:00:00+00:00,19093.833333333332
2024-01-02T04:00:00-05:00,2024-01-02T09:00:00+00:00,2024-01-02T05:00:00-05:00,2024-01-02T10:00:00+00:00,18499.166666666668
2024-01-02T05:00:00-05:00,2024-01-02T10:00:00+00:00,2024-01-02T06:00:00-05:00,2024-01-02T11:00:00+00:00,17489.833333333332
2024-01-02T06:00:00-05:00,2024-01-02T11:00:00+00:00,2024-01-02T07:00:00-05:00,2024-01-02T12:00:00+00:00,15559.833333333334
2024-01-02T07:00:00-05:00,2024-01-02T12:00:00+00:00,2024-01-02T08:00:00-05:00,2024-01-02T13:00:00+00:00,14104.666666666666
2024-01-02T08:00:00-05:00,2024-01-02T13:00:00+00:00,2024-01-02T09:00:00-05:00,2024-01-02T14:00:00+00:00,13623.5
2024-01-02T09:00:00-05:00,2024-01-02T14:00:00+00:00,2024-01-02T10:00:00-05:00,2024-01-02T15:00:00+00:00,12716.916666666666
2024-01-02T10:00:00-05:00,2024-01-02T15:00:00+00:00,2024-01-02T11:00:00-05:00,2024-01-02T16:00:00+00:00,11951.0
2024-01-02T11:00:00-05:00,2024-01-02T16:00:00+00:00,2024-01-02T12:00:00-05:00,2024-01-02T17:00:00+00:00,11113.5
2024-01-02T12:00:00-05:00,2024-01-02T17:00:00+00:00,2024-01-02T13:00:00-05:00,2024-01-02T18:00:00+00:00,10970.166666666666
2024-01-02T13:00:00-05:00,2024-01-02T18:00:00+00:00,2024-01-02T14:00:00-05:00,2024-01-02T19:00:00+00:00,10987.833333333334
2024-01-02T14:00:00-05:00,2024-01-02T19:00:00+00:00,2024-01-02T15:00:00-05:00,2024-01-02T20:00:00+00:00,10430.166666666666
2024-01-02T15:00:00-05:00,2024-01-02T20:00:00+00:00,2024-01-02T16:00:00-05:00,2024-01-02T21:00:00+00:00,9944.666666666666
2024-01-02T16:00:00-05:00,2024-01-02T21:00:00+00:00,2024-01-02T17:00:00-05:00,2024-01-02T22:00:00+00:00,9536.583333333334
2024-01-02T17:00:00-05:00,2024-01-02T22:00:00+00:00,2024-01-02T18:00:00-05:00,2024-01-02T23:00:00+00:00,8964.5
2024-01-02T18:00:00-05:00,2024-01-02T23:00:00+00:00,2024-01-02T19:00:00-05:00,2024-01-03T00:00:00+00:00,8884.666666666666
2024-01-02T19:00:00-05:00,2024-01-03T00:00:00+00:00,2024-01-02T20:00:00-05:00,2024-01-03T01:00:00+00:00,9070.083333333334
2024-01-02T20:00:00-05:00,2024-01-03T01:00:00+00:00,2024-01-02T21:00:00-05:00,2024-01-03T02:00:00+00:00,9469.833333333334
2024-01-02T21:00:00-05:00,2024-01-03T02:00:00+00:00,2024-01-02T22:00:00-05:00,2024-01-03T03:00:00+00:00,9568.583333333334
2024-01-02T22:00:00-05:00,2024-01-03T03:00:00+00:00,2024-01-02T23:00:00-05:00,2024-01-03T04:00:00+00:00,9141.25
