interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,N.Y.C.,32.06
2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,2024-05-31T22:00:00-04:00,2024-06-01T02:00:00+00:00,N.Y.C.,29.31
2024-05-31T22:00:00-04:00,2024-06-01T02:00:00+00:00,2024-05-31T23:00:00-04:00,2024-06-01T03:00:00+00:00,N.Y.C.,26.15
2024-05-31T23:00:00-04:00,2024-06-01T03:00:00+00:00,2024-06-01T00:00:00-04:00,2024-06-01T04:00:00+00:00,N.Y.C.,23.3
2024-06-01T00:00:00-04:00,2024-06-01T04:00:00+00:00,2024-06-01T01:00:00-04:00,2024-06-01T05:00:00+00:00,N.Y.C.,22.21
2024-06-01T01:00:00-04:00,2024-06-01T05:00:00+00:00,2024-06-01T02:00:00-04:00,2024-06-01T06:00:00+00:00,N.Y.C.,20.66
2024-06-01T02:00:00-04:00,2024-06-01T06:00:00+00:00,2024-06-01T03:00:00-04:00,2024-06-01T07:00:00+00:00,N.Y.C.,18.35
2024-06-01T03:00:00-04:00,2024-06-01T07:00:00+00:00,2024-06-01T04:00:00-04:00,2024-06-01T08:00:00+00:00,N.Y.C.,17.75
2024-06-01T04:00:00-04:00,2024-06-01T08:00:00+00:00,2024-06-01T05:00:00-04:00,2024-06-01T09:00:00+00:00,N.Y.C.,18.14
2024-06-01T05:00:00-04:00,2024-06-01T09:00:00+00:00,2024-06-01T06:00:00-04:00,2024-06-01T10:00:00+00:00,N.Y.C.,19.08
2024-06-01T06:00:00-04:00,2024-06-01T10:00:00+00:00,2024-06-01T07:00:00-04:00,2024-06-01T11:00:00+00:00,N.Y.C.,19.66
2024-06-01T07:00:00-04:00,2024-06-01T11:00:00+00:00,2024-06-01T08:00:00-04:00,2024-06-01T12:00:00+00:00,N.Y.C.,19.22
2024-06-01T08:00:00-04:00,2024-06-01T12:00:00+00:00,2024-06-01T09:00:00-04:00,2024-06-01T13:00:00+00:00,N.Y.C.,19.5
2024-06-01T09:00:00-04:00,2024-06-01T13:00:00+00:00,2024-06-01T10:00:00-04:00,2024-06-01T14:00:00+00:00,N.Y.C.,18.76
2024-06-01T10:00:00-04:00,2024-06-01T14:00:00+00:00,2024-06-01T11:00:00-04:00,2024-06-01T15:00:00+00:00,N.Y.C.,18.65
2024-06-01T11:00:00-04:00,2024-06-01T15:00:00+00:00,2024-06-01T12:00:00-04:00,2024-06-01T16:00:00+00:00,N.Y.C.,18.88
2024-06-01T12:00:00-04:00,2024-06-01T16:00:00+00:00,2024-06-01T13:00:00-04:00,2024-06-01T17:00:00+00:00,N.Y.C.,19.33
2024-06-01T13:00:00-04:00,2024-06-01T17:00:00+00:00,2024-06-01T14:00:00-04:00,2024-06-01T18:00:00+00:00,N.Y.C.,19.91
2024-06-01T14:00:00-04:00,2024-06-01T18:00:00+00:00,2024-06-01T15:00:00-04:00,2024-06-01T19:00:00+00:00,N.Y.C.,21.15
2024-06-01T15:00:00-04:00,2024-06-01T19:00:00+00:00,2024-06-01T16:00:00-04:00,2024-06-01T20:00:00+00:00,N.Y.C.,21.7
2024-06-01T16:00:00-04:00,2024-06-01T20:00:00+00:00,2024-06-01T17:00:00-04:00,2024-06-01T21:00:00+00:00,N.Y.C.,24.55
2024-06-01T17:00:00-04:00,2024-06-01T21:00:00+00:00,2024-06-01T18:00:00-04:00,2024-06-01T22:00:00+00:00,N.Y.C.,28.94
2024-06-01T18:00:00-04:00,2024-06-01T22:00:00+00:00,2024-06-01T19:00:00-04:00,2024-06-01T23:00:00+00:00,N.Y.C.,32.43
2024-06-01T19:00:00-04:00,2024-06-01T23:00:00+00:00,2024-06-01T20:00:00-04:00,2024-06-02T00:00:00+00:00,N.Y.C.,33.22
2024-06-01T20:00:00-04:00,2024-06-02T00:00:00+00:00,2024-06-01T21:00:00-04:00,2024-06-02T01:00:00+00:00,N.Y.C.,31.3
2024-06-01T21:00:00-04:00,2024-06-02T01:00:00+00:00,2024-06-01T22:00:00-04:00,2024-06-02T02:00:00+00:00,N.Y.C.,28.44
2024-06-01T22:00:00-04:00,2024-06-02T02:00:00+00:00,2024-06-01T23:00:00-04:00,2024-06-02T03:00:00+00:00,N.Y.C.,25.68
2024-06-01T23:00:00-04:00,2024-06-02T03:00:00+00:00,2024-06-02T00:00:00-04:00,2024-06-02T04:00:00+00:00,N.Y.C.,23.01
2024-06-02T00:00:00-04:00,2024-06-02T04:00:00+00:00,2024-06-02T01:00:00-04:00,2024-06-02T05:00:00+00:00,N.Y.C.,21.1
2024-06-02T01:00:00-04:00,2024-06-02T05:00:00+00:00,2024-06-02T02:00:00-04:00,2024-06-02T06:00:00+00:00,N.Y.C.,19.28
2024-06-02T02:00:00-04:00,2024-06-02T06:00:00+00:00,2024-06-02T03:00:00-04:00,2024-06-02T07:00:00+00:00,N.Y.C.,17.87
2024-06-02T03:00:00-04:00,2024-06-02T07:00:00+00:00,2024-06-02T04:00:00-04:00,2024-06-02T08:00:00+00:00,N.Y.C.,17.31
2024-06-02T04:00:00-04:00,2024-06-02T08:00:00+00:00,2024-06-02T05:00:00-04:00,2024-06-02T09:00:00+00:00,N.Y.C.,16.76
2024-06-02T05:00:00-04:00,2024-06-02T09:00:00+00:00,2024-06-02T06:00:00-04:00,2024-06-02T10:00:00+00:00,N.Y.C.,16.88
2024-06-02T06:00:00-04:00,2024-06-02T10:00:00+00:00,2024-06-02T07:00:00-04:00,2024-06-02T11:00:00+00:00,N.Y.C.,16.52
2024-06-02T07:00:00-04:00,2024-06-02T11:00:00+00:00,2024-06-02T08:00:00-04:00,2024-06-02T12:00:00+00:00,N.Y.C.,16.44
2024-06-02T08:00:00-04:00,2024-06-02T12:00:00+00:00,2024-06-02T09:00:00-04:00,2024-06-02T13:00:00+00:00,N.Y.C.,17.73
2024-06-02T09:00:00-04:00,2024-06-02T13:00:00+00:00,2024-06-02T10:00:00-04:00,2024-06-02T14:00:00+00:00,N.Y.C.,18.9
2024-06-02T10:00:00-04:00,2024-06-02T14:00:00+00:00,2024-06-02T11:00:00-04:00,2024-06-02T15:00:00+00:00,N.Y.C.,19.74
2024-06-02T11:00:00-04:00,2024-06-02T15:00:00+00:00,2024-06-02T12:00:00-04:00,2024-06-02T16:00:00+00:00,N.Y.C.,19.88
2024-06-02T12:00:00-04:00,2024-06-02T16:00:00+00:00,2024-06-02T13:00:00-04:00,2024-06-02T17:00:00+00:00,N.Y.C.,20.89
2024-06-02T13:00:00-04:00,2024-06-02T17:00:00+00:00,2024-06-02T14:00:00-04:00,2024-06-02T18:00:00+00:00,N.Y.C.,22.6
2024-06-02T14:00:00-04:00,2024-06-02T18:00:00+00:00,2024-06-02T15:00:00-04:00,2024-06-02T19:00:00+00:00,N.Y.C.,23.34
2024-06-02T15:00:00-04:00,2024-06-02T19:00:00+00:00,2024-06-02T16:00:00-04:00,2024-06-02T20:00:00+00:00,N.Y.C.,27.37
2024-06-02T16:00:00-04:00,2024-06-02T20:00:00+00:00,2024-06-02T17:00:00-04:00,2024-06-02T21:00:00+00:00,N.Y.C.,31.29
2024-06-02T17:00:00-04:00,2024-06-02T21:00:00+00:00,2024-06-02T18:00:00-04:00,2024-06-02T22:00:00+00:00,N.Y.C.,34.27
2024-06-02T18:00:00-04:00,2024-06-02T22:00:00+00:00,2024-06-02T19:00:00-04:00,2024-06-02T23:00:00+00:00,N.Y.C.,36.69
2024-06-02T19:00:00-04:00,2024-06-02T23:00:00+00:00,2024-06-02T20:00:00-04:00,2024-06-03T00:00:00+00:00,N.Y.C.,36.77
2024-06-02T20:00:00-04:00,2024-06-03T00:00:00+00:00,2024-06-02T21:00:00-04:00,2024-06-03T01:00:00+00:00,N.Y.C.,35.01
2024-06-02T21:00:00-04:00,2024-06-03T01:00:00+00:00,2024-06-02T22:00:00-04:00,2024-06-03T02:00:00+00:00,N.Y.C.,29.61
2024-06-02T22:00:00-04:00,2024-06-03T02:00:00+00:00,2024-06-02T23:00:00-04:00,2024-06-03T03:00:00+00:00,N.Y.C.,26.72
2024-06-02T23:00:00-04:00,2024-06-03T03:00:00+00:00,2024-06-03T00:00:00-04:00,2024-06-03T04:00:00+00:00,N.Y.C.,24.92
2024-06-03T00:00:00-04:00,2024-06-03T04:00:00+00:00,2024-06-03T01:00:00-04:00,2024-06-03T05:00:00+00:00,N.Y.C.,23.36
2024-06-03T01:00:00-04:00,2024-06-03T05:00:00+00:00,2024-06-03T02:00:00-04:00,2024-06-03T06:00:00+00:00,N.Y.C.,21.32
2024-06-03T02:00:00-04:00,2024-06-03T06:00:00+00:00,2024-06-03T03:00:00-04:00,2024-06-03T07:00:00+00:00,N.Y.C.,20.01
2024-06-03T03:00:00-04:00,2024-06-03T07:00:00+00:00,2024-06-03T04:00:00-04:00,2024-06-03T08:00:00+00:00,N.Y.C.,19.15
2024-06-03T04:00:00-04:00,2024-06-03T08:00:00+00:00,2024-06-03T05:00:00-04:00,2024-06-03T09:00:00+00:00,N.Y.C.,19.19
2024-06-03T05:00:00-04:00,2024-06-03T09:00:00+00:00,2024-06-03T06:00:00-04:00,2024-06-03T10:00:00+00:00,N.Y.C.,20.32
2024-06-03T06:00:00-04:00,2024-06-03T10:00:00+00:00,2024-06-03T07:00:00-04:00,2024-06-03T11:00:00+00:00,N.Y.C.,24.84
2024-06-03T07:00:00-04:00,2024-06-03T11:00:00+00:00,2024-06-03T08:00:00-04:00,2024-06-03T12:00:00+00:00,N.Y.C.,25.58
2024-06-03T08:00:00-04:00,2024-06-03T12:00:00+00:00,2024-06-03T09:00:00-04:00,2024-06-03T13:00:00+00:00,N.Y.C.,26.11
2024-06-03T09:00:00-04:00,2024-06-03T13:00:00+00:00,2024-06-03T10:00:00-04:00,2024-06-03T14:00:00+00:00,N.Y.C.,26.39
2024-06-03T10:00:00-04:00,2024-06-03T14:00:00+00:00,2024-06-03T11:00:00-04:00,2024-06-03T15:00:00+00:00,N.Y.C.,29.69
2024-06-03T11:00:00-04:00,2024-06-03T15:00:00+00:00,2024-06-03T12:00:00-04:00,2024-06-03T16:00:00+00:00,N.Y.C.,29.85
