interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,CAPITL,Zone,60.76
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,CENTRL,Zone,58.48
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,DUNWOD,Zone,62.43
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,GENESE,Zone,56.94
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,H Q,Zone,45.47
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,HUD VL,Zone,61.48
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,LONGIL,Zone,68.02
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,MHK VL,Zone,60.02
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,MILLWD,Zone,61.99
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,NORTH,Zone,45.79
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,NPX,Zone,60.25
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,N.Y.C.,Zone,63.23
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,O H,Zone,55.88
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,PJM,Zone,59.41
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,WEST,Zone,57.17
2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,CAPITL,Zone,60.34
2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,CENTRL,Zone,49.7
2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,DUNWOD,Zone,59.4
2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,GENESE,Zone,48.97
