interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,CAPITL
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,CENTRL
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,DUNWOD
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,GENESE
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,H Q
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,HUD VL
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,LONGIL
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,MHK VL
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,MILLWD
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,NORTH
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,NPX
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,N.Y.C.
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,O H
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,PJM
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,WEST
