interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp,energy,congestion,loss
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,N.Y.C.,Zone,63.23,56.05,-0.0,7.18
2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,N.Y.C.,Zone,60.02,47.6,6.52,5.9
2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,N.Y.C.,Zone,57.25,42.1,10.14,5.01
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,N.Y.C.,Zone,54.37,36.86,13.31,4.2
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,N.Y.C.,Zone,54.14,37.629999999999995,12.22,4.29
2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,2022-07-01T06:00:00-04:00,2022-07-01T10:00:00+00:00,N.Y.C.,Zone,54.4,39.62,10.22,4.56
2022-07-01T06:00:00-04:00,2022-07-01T10:00:00+00:00,2022-07-01T07:00:00-04:00,2022-07-01T11:00:00+00:00,N.Y.C.,Zone,58.27,45.67,7.08,5.52
2022-07-01T07:00:00-04:00,2022-07-01T11:00:00+00:00,2022-07-01T08:00:00-04:00,2022-07-01T12:00:00+00:00,N.Y.C.,Zone,62.3,50.89,4.89,6.52
2022-07-01T08:00:00-04:00,2022-07-01T12:00:00+00:00,2022-07-01T09:00:00-04:00,2022-07-01T13:00:00+00:00,N.Y.C.,Zone,71.66,60.14,3.1,8.42
2022-07-01T09:00:00-04:00,2022-07-01T13:00:00+00:00,2022-07-01T10:00:00-04:00,2022-07-01T14:00:00+00:00,N.Y.C.,Zone,84.51,64.33000000000001,10.91,9.27
2022-07-01T10:00:00-04:00,2022-07-01T14:00:00+00:00,2022-07-01T11:00:00-04:00,2022-07-01T15:00:00+00:00,N.Y.C.,Zone,89.32,74.22,4.34,10.76
2022-07-01T11:00:00-04:00,2022-07-01T15:00:00+00:00,2022-07-01T12:00:00-04:00,2022-07-01T16:00:00+00:00,N.Y.C.,Zone,97.97,83.95,2.18,11.84
2022-07-01T12:00:00-04:00,2022-07-01T16:00:00+00:00,2022-07-01T13:00:00-04:00,2022-07-01T17:00:00+00:00,N.Y.C.,Zone,101.0,86.44,2.29,12.27
2022-07-01T13:00:00-04:00,2022-07-01T17:00:00+00:00,2022-07-01T14:00:00-04:00,2022-07-01T18:00:00+00:00,N.Y.C.,Zone,104.76,87.69,4.79,12.28
2022-07-01T14:00:00-04:00,2022-07-01T18:00:00+00:00,2022-07-01T15:00:00-04:00,2022-07-01T19:00:00+00:00,N.Y.C.,Zone,122.61,86.25,24.45,11.91
2022-07-01T15:00:00-04:00,2022-07-01T19:00:00+00:00,2022-07-01T16:00:00-04:00,2022-07-01T20:00:00+00:00,N.Y.C.,Zone,148.83,104.98000000000002,29.05,14.8
2022-07-01T16:00:00-04:00,2022-07-01T20:00:00+00:00,2022-07-01T17:00:00-04:00,2022-07-01T21:00:00+00:00,N.Y.C.,Zone,162.94,113.92,33.75,15.27
2022-07-01T17:00:00-04:00,2022-07-01T21:00:00+00:00,2022-07-01T18:00:00-04:00,2022-07-01T22:00:00+00:00,N.Y.C.,Zone,176.27,119.26,40.92,16.09
2022-07-01T18:00:00-04:00,2022-07-01T22:00:00+00:00,2022-07-01T19:00:00-04:00,2022-07-01T23:00:00+00:00,N.Y.C.,Zone,147.71,99.59,34.47,13.65
2022-07-01T19:00:00-04:00,2022-07-01T23:00:00+00:00,2022-07-01T20:00:00-04:00,2022-07-02T00:00:00+00:00,N.Y.C.,Zone,131.0,98.18,19.86,12.96
2022-07-01T20:00:00-04:00,2022-07-02T00:00:00+00:00,2022-07-01T21:00:00-04:00,2022-07-02T01:00:00+00:00,N.Y.C.,Zone,105.38,82.14999999999999,12.8,10.43
