interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,CAPITL,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,CENTRL,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DUNWOD,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,GENESE,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,H Q,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,HUD VL,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,LONGIL,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,MHK VL,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,MILLWD,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,NORTH,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,NPX,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,N.Y.C.,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,O H,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,PJM,Zone
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,WEST,Zone
