interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,gas
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2023-12-01T01:00:00-05:00,2023-12-01T06:00:00+00:00,39322
2023-12-01T01:00:00-05:00,2023-12-01T06:00:00+00:00,2023-12-01T02:00:00-05:00,2023-12-01T07:00:00+00:00,39055
2023-12-01T02:00:00-05:00,2023-12-01T07:00:00+00:00,2023-12-01T03:00:00-05:00,2023-12-01T08:00:00+00:00,39055
2023-12-01T03:00:00-05:00,2023-12-01T08:00:00+00:00,2023-12-01T04:00:00-05:00,2023-12-01T09:00:00+00:00,38897
2023-12-01T04:00:00-05:00,2023-12-01T09:00:00+00:00,2023-12-01T05:00:00-05:00,2023-12-01T10:00:00+00:00,39287
2023-12-01T05:00:00-05:00,2023-12-01T10:00:00+00:00,2023-12-01T06:00:00-05:00,2023-12-01T11:00:00+00:00,40738
2023-12-01T06:00:00-05:00,2023-12-01T11:00:00+00:00,2023-12-01T07:00:00-05:00,2023-12-01T12:00:00+00:00,43590
2023-12-01T07:00:00-05:00,2023-12-01T12:00:00+00:00,2023-12-01T08:00:00-05:00,2023-12-01T13:00:00+00:00,45848
2023-12-01T08:00:00-05:00,2023-12-01T13:00:00+00:00,2023-12-01T09:00:00-05:00,2023-12-01T14:00:00+00:00,46423
2023-12-01T09:00:00-05:00,2023-12-01T14:00:00+00:00,2023-12-01T10:00:00-05:00,2023-12-01T15:00:00+00:00,46434
2023-12-01T10:00:00-05:00,2023-12-01T15:00:00+00:00,2023-12-01T11:00:00-05:00,2023-12-01T16:00:00+00:00,47183
2023-12-01T11:00:00-05:00,2023-12-01T16:00:00+00:00,2023-12-01T12:00:00-05:00,2023-12-01T17:00:00+00:00,47064
2023-12-01T12:00:00-05:00,2023-12-01T17:00:00+00:00,2023-12-01T13:00:00-05:00,2023-12-01T18:00:00+00:00,47423
2023-12-01T13:00:00-05:00,2023-12-01T18:00:00+00:00,2023-12-01T14:00:00-05:00,2023-12-01T19:00:00+00:00,46858
2023-12-01T14:00:00-05:00,2023-12-01T19:00:00+00:00,2023-12-01T15:00:00-05:00,2023-12-01T20:00:00+00:00,47078
2023-12-01T15:00:00-05:00,2023-12-01T20:00:00+00:00,2023-12-01T16:00:00-05:00,2023-12-01T21:00:00+00:00,46909
2023-12-01T16:00:00-05:00,2023-12-01T21:00:00+00:00,2023-12-01T17:00:00-05:00,2023-12-01T22:00:00+00:00,47531
