interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,AEP-DAYTON HUB
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,AEP GEN HUB
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,ATSI GEN HUB
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,CHICAGO GEN HUB
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,CHICAGO HUB
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DOMINION HUB
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,EASTERN HUB
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,NEW JERSEY HUB
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,N ILLINOIS HUB
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,OHIO HUB
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,WESTERN HUB
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,WEST INT HUB
