interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,AEP,8445784,AEP,ZONE,30.190224,28.6,1.841043,-0.250819
2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,2024-05-31T22:00:00-04:00,2024-06-01T02:00:00+00:00,DAY_AHEAD_HOURLY,AEP,8445784,AEP,ZONE,27.210084,25.75,1.55739,-0.097306
2024-05-31T22:00:00-04:00,2024-06-01T02:00:00+00:00,2024-05-31T23:00:00-04:00,2024-06-01T03:00:00+00:00,DAY_AHEAD_HOURLY,AEP,8445784,AEP,ZONE,23.320441,22.07,1.376024,-0.125583
2024-05-31T23:00:00-04:00,2024-06-01T03:00:00+00:00,2024-06-01T00:00:00-04:00,2024-06-01T04:00:00+00:00,DAY_AHEAD_HOURLY,AEP,8445784,AEP,ZONE,17.829302,16.81,1.157411,-0.138109
2024-06-01T00:00:00-04:00,2024-06-01T04:00:00+00:00,2024-06-01T01:00:00-04:00,2024-06-01T05:00:00+00:00,DAY_AHEAD_HOURLY,AEP,8445784,AEP,ZONE,12.926311,12.52,0.505198,-0.098887
2024-06-01T01:00:00-04:00,2024-06-01T05:00:00+00:00,2024-06-01T02:00:00-04:00,2024-06-01T06:00:00+00:00,DAY_AHEAD_HOURLY,AEP,8445784,AEP,ZONE,13.184344,12.72,0.518591,-0.054247
2024-06-01T02:00:00-04:00,2024-06-01T06:00:00+00:00,2024-06-01T03:00:00-04:00,2024-06-01T07:00:00+00:00,DAY_AHEAD_HOURLY,AEP,8445784,AEP,ZONE,11.508842,11.14,0.384171,-0.015329
2024-06-01T03:00:00-04:00,2024-06-01T07:00:00+00:00,2024-06-01T04:00:00-04:00,2024-06-01T08:00:00+00:00,DAY_AHEAD_HOURLY,AEP,8445784,AEP,ZONE,12.375971,11.97,0.420496,-0.014525
2024-06-01T04:00:00-04:00,2024-06-01T08:00:00+00:00,2024-06-01T05:00:00-04:00,2024-06-01T09:00:00+00:00,DAY_AHEAD_HOURLY,AEP,8445784,AEP,ZONE,11.820598,11.37,0.458444,-0.007846
2024-06-01T05:00:00-04:00,2024-06-01T09:00:00+00:00,2024-06-01T06:00:00-04:00,2024-06-01T10:00:00+00:00,DAY_AHEAD_HOURLY,AEP,8445784,AEP,ZONE,12.43381,11.97,0.534021,-0.070211
