interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,rto
2022-12-31T00:00:00-05:00,2022-12-31T05:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,25801.092
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-02T00:00:00-05:00,2023-01-02T05:00:00+00:00,66189.305
2023-01-02T00:00:00-05:00,2023-01-02T05:00:00+00:00,2023-01-03T00:00:00-05:00,2023-01-03T05:00:00+00:00,36272.001
2023-01-03T00:00:00-05:00,2023-01-03T05:00:00+00:00,2023-01-04T00:00:00-05:00,2023-01-04T05:00:00+00:00,114244.68
2023-01-04T00:00:00-05:00,2023-01-04T05:00:00+00:00,2023-01-05T00:00:00-05:00,2023-01-05T05:00:00+00:00,94890.663
2023-01-05T00:00:00-05:00,2023-01-05T05:00:00+00:00,2023-01-06T00:00:00-05:00,2023-01-06T05:00:00+00:00,100559.699
2023-01-06T00:00:00-05:00,2023-01-06T05:00:00+00:00,2023-01-07T00:00:00-05:00,2023-01-07T05:00:00+00:00,58694.683
2023-01-07T00:00:00-05:00,2023-01-07T05:00:00+00:00,2023-01-08T00:00:00-05:00,2023-01-08T05:00:00+00:00,31247.889
2023-01-08T00:00:00-05:00,2023-01-08T05:00:00+00:00,2023-01-09T00:00:00-05:00,2023-01-09T05:00:00+00:00,17937.382
2023-01-09T00:00:00-05:00,2023-01-09T05:00:00+00:00,2023-01-10T00:00:00-05:00,2023-01-10T05:00:00+00:00,93634.616
2023-01-10T00:00:00-05:00,2023-01-10T05:00:00+00:00,2023-01-11T00:00:00-05:00,2023-01-11T05:00:00+00:00,56996.223
2023-01-11T00:00:00-05:00,2023-01-11T05:00:00+00:00,2023-01-12T00:00:00-05:00,2023-01-12T05:00:00+00:00,49219.511
2023-01-12T00:00:00-05:00,2023-01-12T05:00:00+00:00,2023-01-13T00:00:00-05:00,2023-01-13T05:00:00+00:00,152112.093
2023-01-13T00:00:00-05:00,2023-01-13T05:00:00+00:00,2023-01-14T00:00:00-05:00,2023-01-14T05:00:00+00:00,145276.329
2023-01-14T00:00:00-05:00,2023-01-14T05:00:00+00:00,2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,58932.911
2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,2023-01-16T00:00:00-05:00,2023-01-16T05:00:00+00:00,149837.674
2023-01-16T00:00:00-05:00,2023-01-16T05:00:00+00:00,2023-01-17T00:00:00-05:00,2023-01-17T05:00:00+00:00,173219.686
2023-01-17T00:00:00-05:00,2023-01-17T05:00:00+00:00,2023-01-18T00:00:00-05:00,2023-01-18T05:00:00+00:00,174327.759
2023-01-18T00:00:00-05:00,2023-01-18T05:00:00+00:00,2023-01-19T00:00:00-05:00,2023-01-19T05:00:00+00:00,107561.994
