hour_of_day,avg_abs_loss
0,1.8232154304029309
1,1.6130429984779326
2,1.476127946127946
3,1.4009664987789985
4,1.3674160561660558
5,1.5551030219780235
6,1.9355158730158744
7,2.335051129426132
8,2.2996924603174587
9,2.18876144688645
10,2.3378710317460314
11,2.3991521672771694
12,2.4082764804639836
13,2.4527871260683733
14,2.51372119200244
15,2.7707799145299163
16,3.0762870115995127
17,3.81182005494505
18,3.755964781746038
19,3.2404758089133123
20,2.8458772130647123
21,2.4694722985347988
22,2.212224893162394
23,2.010141941391942
