year,mon,lmp
2023,1,10.37
2023,1,10.36
2023,1,9.85
2023,1,9.84
2023,1,8.58
2023,1,8.58
2023,1,8.18
2023,1,8.19
2023,1,8.33
2023,1,8.34
2023,1,8.58
2023,1,8.59
2023,1,13.85
2023,1,13.85
2023,1,14.44
2023,1,14.45
2023,1,15.07
2023,1,15.08
2023,1,15.03
2023,1,15.03
2023,1,17.28
2023,1,17.28
2023,1,17.88
2023,1,17.88
2023,1,17.57
2023,1,17.57
2023,1,18.23
2023,1,18.26
2023,1,19.5
2023,1,19.52
2023,1,17.19
2023,1,17.24
2023,1,25.03
2023,1,25.1
2023,1,33.17
2023,1,33.19
2023,1,23.9
2023,1,23.89
2023,1,18.36
2023,1,18.34
2023,1,16.09
2023,1,16.1
2023,1,16.74
2023,1,16.74
2023,1,13.78
2023,1,13.76
2023,1,9.65
2023,1,9.7
2023,1,9.31
2023,1,9.57
2023,1,4.98
2023,1,5.02
2023,1,3.83
2023,1,3.85
2023,1,3.71
2023,1,3.72
2023,1,7.35
2023,1,7.37
2023,1,8.85
2023,1,8.84
2023,1,12.96
2023,1,12.93
2023,1,15.96
2023,1,15.92
2023,1,17.79
2023,1,17.75
2023,1,18.72
2023,1,18.73
2023,1,18.71
2023,1,18.68
2023,1,19.43
2023,1,19.41
2023,1,18.55
2023,1,18.57
2023,1,14.85
2023,1,14.93
2023,1,12.89
2023,1,13.04
2023,1,14.09
2023,1,14.26
2023,1,16.96
2023,1,17.01
2023,1,33.52
2023,1,33.58
2023,1,24.63
2023,1,24.75
2023,1,18.41
2023,1,18.63
2023,1,17.26
2023,1,17.47
2023,1,16.83
2023,1,16.91
2023,1,15.08
2023,1,15.1
2023,1,9.94
2023,1,9.96
2023,1,11.52
2023,1,11.54
2023,1,8.55
2023,1,8.58
2023,1,4.54
2023,1,4.56
2023,1,9.48
2023,1,9.49
2023,1,11.41
2023,1,11.42
2023,1,16.33
2023,1,16.34
2023,1,20.62
2023,1,20.62
2023,1,28.31
2023,1,28.31
2023,1,20.55
2023,1,20.55
2023,1,16.44
2023,1,16.44
2023,1,14.41
2023,1,14.41
2023,1,13.77
2023,1,13.78
2023,1,14.99
2023,1,15.0
2023,1,15.65
2023,1,15.68
2023,1,15.93
2023,1,15.96
2023,1,17.12
2023,1,17.16
2023,1,19.35
2023,1,19.38
2023,1,52.57
2023,1,52.56
2023,1,40.51
2023,1,40.52
2023,1,31.62
2023,1,31.62
2023,1,29.56
2023,1,29.56
2023,1,22.84
2023,1,22.85
2023,1,18.78
2023,1,18.78
2023,1,17.51
2023,1,17.51
2023,1,15.41
2023,1,15.41
2023,1,10.75
2023,1,10.75
2023,1,10.04
2023,1,10.04
2023,1,10.05
2023,1,10.05
2023,1,12.16
2023,1,12.16
2023,1,17.78
2023,1,17.78
2023,1,28.21
2023,1,28.21
2023,1,33.98
2023,1,33.98
2023,1,22.32
2023,1,22.32
2023,1,19.34
2023,1,19.34
2023,1,17.37
2023,1,17.38
2023,1,16.58
2023,1,16.59
2023,1,16.67
2023,1,16.69
2023,1,16.6
2023,1,16.61
2023,1,17.56
2023,1,17.58
2023,1,18.93
2023,1,18.93
2023,1,28.63
2023,1,28.63
2023,1,40.39
2023,1,40.4
2023,1,41.55
2023,1,41.57
2023,1,34.99
2023,1,35.0
2023,1,33.51
2023,1,33.53
2023,1,29.52
2023,1,29.53
2023,1,25.9
2023,1,25.92
2023,1,24.34
2023,1,24.35
2023,1,27.45
2023,1,27.47
2023,1,24.22
2023,1,24.23
2023,1,24.59
2023,1,24.6
2023,1,26.71
2023,1,26.72
2023,1,27.73
2023,1,27.74
2023,1,34.27
2023,1,34.29
2023,1,73.84
2023,1,73.86
2023,1,81.18
2023,1,81.2
2023,1,34.9
2023,1,34.92
2023,1,27.69
2023,1,27.69
2023,1,27.1
2023,1,27.11
2023,1,25.33
2023,1,25.33
2023,1,24.8
2023,1,24.8
2023,1,22.1
2023,1,22.1
2023,1,21.36
2023,1,21.36
2023,1,21.46
2023,1,21.46
2023,1,25.83
2023,1,25.83
2023,1,54.53
2023,1,54.53
2023,1,32.6
2023,1,32.61
2023,1,24.34
2023,1,24.36
2023,1,21.83
2023,1,21.84
2023,1,20.92
2023,1,20.94
2023,1,20.12
2023,1,20.15
2023,1,15.11
2023,1,15.14
2023,1,10.46
2023,1,10.63
2023,1,8.93
2023,1,9.03
2023,1,10.8
2023,1,11.01
2023,1,11.3
2023,1,11.45
2023,1,15.24
2023,1,15.3
2023,1,23.13
2023,1,23.21
2023,1,36.24
2023,1,36.29
2023,1,33.52
2023,1,33.65
2023,1,33.32
2023,1,33.4
2023,1,26.4
2023,1,26.5
2023,1,18.35
2023,1,18.52
2023,1,17.46
2023,1,17.78
2023,1,16.76
2023,1,17.12
2023,1,16.53
2023,1,16.98
2023,1,14.64
2023,1,15.14
2023,1,15.58
2023,1,16.05
2023,1,20.23
2023,1,20.34
2023,1,44.97
2023,1,45.01
2023,1,32.24
2023,1,32.25
2023,1,20.5
2023,1,20.54
2023,1,19.11
2023,1,19.18
2023,1,19.52
2023,1,19.55
2023,1,18.33
2023,1,18.39
2023,1,17.84
2023,1,17.92
2023,1,24.24
2023,1,24.21
2023,1,20.91
2023,1,20.88
2023,1,19.66
2023,1,19.63
2023,1,19.07
2023,1,19.05
2023,1,18.24
2023,1,18.22
2023,1,18.43
2023,1,18.42
2023,1,21.46
2023,1,21.44
2023,1,25.15
2023,1,25.14
2023,1,21.72
2023,1,21.71
2023,1,20.09
2023,1,20.09
2023,1,21.93
2023,1,21.95
2023,1,23.53
2023,1,23.55
2023,1,24.2
2023,1,24.22
2023,1,24.78
2023,1,24.78
2023,1,23.04
2023,1,23.04
2023,1,24.78
2023,1,24.78
2023,1,25.25
2023,1,25.25
2023,1,54.14
2023,1,54.17
2023,1,41.08
2023,1,41.1
2023,1,31.84
2023,1,31.88
2023,1,29.44
2023,1,29.46
2023,1,28.34
2023,1,28.36
2023,1,26.5
2023,1,26.51
2023,1,25.58
2023,1,25.59
2023,1,28.4
2023,1,28.42
2023,1,25.57
2023,1,25.59
2023,1,24.31
2023,1,24.34
2023,1,24.69
2023,1,24.71
2023,1,25.05
2023,1,25.07
2023,1,26.33
2023,1,26.33
2023,1,27.2
2023,1,27.19
2023,1,30.08
2023,1,29.99
2023,1,27.92
2023,1,27.92
2023,1,23.72
2023,1,23.72
2023,1,22.25
2023,1,22.26
2023,1,21.93
2023,1,21.94
2023,1,20.99
2023,1,21.0
2023,1,20.53
2023,1,20.53
2023,1,20.07
2023,1,20.07
2023,1,19.39
2023,1,19.4
2023,1,20.81
2023,1,20.82
2023,1,66.05
2023,1,66.09
2023,1,37.86
2023,1,37.88
2023,1,26.9
2023,1,26.94
2023,1,22.31
2023,1,22.35
2023,1,22.03
2023,1,22.04
2023,1,21.68
2023,1,21.69
2023,1,21.26
2023,1,21.27
2023,1,16.28
2023,1,16.31
2023,1,15.22
2023,1,15.24
2023,1,16.64
2023,1,16.66
2023,1,17.84
2023,1,17.86
2023,1,19.2
2023,1,19.22
2023,1,21.87
2023,1,21.89
2023,1,26.8
2023,1,26.85
2023,1,29.1
2023,1,29.19
2023,1,23.77
2023,1,23.87
2023,1,20.15
2023,1,20.19
2023,1,19.26
2023,1,19.3
2023,1,19.38
2023,1,19.42
2023,1,19.9
2023,1,19.91
2023,1,20.26
2023,1,20.28
2023,1,20.75
2023,1,20.76
2023,1,21.67
2023,1,21.72
2023,1,25.18
2023,1,25.26
2023,1,70.9
2023,1,71.07
2023,1,48.11
2023,1,48.24
2023,1,33.24
2023,1,33.4
2023,1,30.08
2023,1,30.23
2023,1,27.68
2023,1,27.82
2023,1,23.03
2023,1,23.08
2023,1,22.47
2023,1,22.49
2023,1,18.96
2023,1,18.98
2023,1,15.34
2023,1,15.37
2023,1,13.03
2023,1,13.07
2023,1,12.31
2023,1,12.35
2023,1,13.97
2023,1,14.02
2023,1,17.33
2023,1,17.38
2023,1,28.84
2023,1,28.93
2023,1,29.19
2023,1,29.29
2023,1,23.86
2023,1,23.96
2023,1,20.49
2023,1,20.61
2023,1,19.53
2023,1,19.65
2023,1,19.47
2023,1,19.62
2023,1,19.71
2023,1,19.88
2023,1,19.1
2023,1,19.24
2023,1,21.27
2023,1,21.44
2023,1,22.29
2023,1,22.42
2023,1,25.93
2023,1,26.04
2023,1,54.89
2023,1,54.99
2023,1,33.5
2023,1,33.61
2023,1,22.35
2023,1,22.47
2023,1,20.17
2023,1,20.28
2023,1,17.81
2023,1,17.95
2023,1,19.95
2023,1,20.05
2023,1,16.25
2023,1,16.33
2023,1,10.38
2023,1,10.69
2023,1,7.87
2023,1,8.09
2023,1,7.51
2023,1,7.79
2023,1,7.61
2023,1,7.77
2023,1,10.34
2023,1,10.53
2023,1,14.17
2023,1,14.32
2023,1,28.4
2023,1,28.55
2023,1,28.05
2023,1,28.26
2023,1,21.27
2023,1,21.52
2023,1,18.36
2023,1,18.67
2023,1,19.18
2023,1,19.74
2023,1,20.09
2023,1,20.78
2023,1,20.43
2023,1,21.1
2023,1,21.75
2023,1,22.28
2023,1,22.16
2023,1,22.75
2023,1,22.27
2023,1,22.88
2023,1,25.89
2023,1,26.25
2023,1,48.27
2023,1,48.57
2023,1,36.86
2023,1,37.12
2023,1,24.66
2023,1,25.05
2023,1,20.69
2023,1,21.04
2023,1,19.36
2023,1,19.76
2023,1,18.0
2023,1,18.39
2023,1,15.51
2023,1,15.62
2023,1,11.72
2023,1,12.69
2023,1,9.39
2023,1,9.97
2023,1,10.26
2023,1,10.57
2023,1,11.65
