region,state,count
CAISO,AZ,93
CAISO,CA,2566
CAISO,ID,5
CAISO,MX,19
CAISO,NM,2
CAISO,NV,145
CAISO,WY,7
ERCOT,TX,3282
ISO-NE,CT,225
ISO-NE,MA,466
ISO-NE,ME,284
ISO-NE,NH,105
ISO-NE,NY,8
ISO-NE,RI,112
ISO-NE,VT,79
ISO-NE,,2
MISO,AR,395
MISO,IA,439
MISO,IL,554
MISO,IN,537
MISO,KS,1
MISO,KY,78
MISO,LA,387
MISO,MI,665
MISO,MN,679
MISO,MO,143
MISO,MS,192
MISO,MT,8
MISO,ND,226
MISO,NE,1
MISO,OH,42
MISO,PA,5
MISO,SD,111
MISO,TX,90
MISO,WI,392
MISO,WY,1
MISO,,32
NYISO,CT,1
NYISO,NJ,12
NYISO,NY,1771
NYISO,PA,33
PJM,DC,3
PJM,DE,154
PJM,IA,2
PJM,IL,678
PJM,IN,411
PJM,KY,222
PJM,MD,574
PJM,MI,50
PJM,NC,205
PJM,ND,1
PJM,NJ,1238
PJM,OH,944
PJM,PA,1918
PJM,SD,3
PJM,TN,5
PJM,VA,1425
PJM,WV,262
PJM,,57
Southeast,AL,492
Southeast,AR,6
Southeast,FL,946
Southeast,GA,789
Southeast,IN,4
Southeast,KY,169
Southeast,MO,66
Southeast,MS,226
Southeast,NC,336
Southeast,OK,20
Southeast,SC,573
Southeast,TN,308
Southeast,VA,9
Southeast,,6
SPP,AR,47
SPP,CO,7
SPP,IA,4
SPP,KS,523
SPP,LA,26
SPP,MN,2
SPP,MO,156
SPP,MT,13
SPP,ND,68
SPP,NE,345
SPP,NM,161
SPP,OK,662
SPP,SD,64
SPP,TX,382
SPP,WY,3
SPP,,6
West,AZ,942
West,CA,183
West,CO,607
West,IA,20
West,ID,807
West,KS,1
West,MN,6
West,MT,505
West,NC,1
West,ND,86
West,NE,29
West,NM,404
West,NV,472
West,OR,1435
West,SD,159
West,TX,13
West,UT,844
West,WA,742
West,WY,415
West,,4
