type_clean,project_type,type1,type2,type3,service,q_status,region,state,n
Battery,Generation,Battery,,,,active,ERCOT,TX,869
Battery,Generation,Battery,,,,withdrawn,NYISO,NY,455
Battery,Generation,Battery,,,NRIS,active,CAISO,CA,282
Battery,Generation,Battery,,,NRIS,withdrawn,CAISO,CA,274
Battery,Generation,Battery,,,,active,NYISO,NY,199
Solar+Battery,Generation,Solar,Battery,,NRIS,withdrawn,CAISO,CA,187
Battery,Generation,Battery,,,NRIS,withdrawn,PJM,VA,165
Solar+Battery,Generation,Solar,Battery,,NRIS,active,CAISO,CA,149
Battery,,Battery,,,,withdrawn,CAISO,CA,134
Battery,Generation,Battery,,,NRIS,active,PJM,VA,133
Solar+Battery,,Solar,Battery,,,withdrawn,CAISO,CA,99
Solar+Battery,Generation,Solar,Battery,,NRIS/ERIS,withdrawn,West,UT,92
Solar+Battery,Generation,Solar,Battery,,NRIS/ERIS,withdrawn,West,OR,86
Solar+Battery,Generation,Solar,Battery,,NRIS,withdrawn,West,AZ,85
Solar+Battery,Generation,Solar,Battery,,NRIS/ERIS,withdrawn,West,NV,81
Solar+Battery,Generation,Solar,Battery,,,active,ISO-NE,MA,80
Solar+Battery,Generation,Solar,Battery,,NRIS/ERIS,active,West,OR,75
Solar+Battery,Generation,Solar,Battery,,NRIS,withdrawn,PJM,VA,70
Battery,Generation,Battery,,,NRIS,withdrawn,ISO-NE,MA,70
Battery,Generation,Battery,,,NRIS,active,PJM,IL,67
Solar+Battery,Generation,Solar,Battery,,NRIS,active,PJM,PA,63
Solar+Battery,Generation,Solar,Battery,,,withdrawn,NYISO,NY,62
Battery,Generation,Battery,,,NRIS,withdrawn,PJM,PA,58
Solar+Battery,Generation,Solar,Battery,,NRIS/ERIS,active,West,UT,52
Battery,Generation,Battery,,,NRIS,active,ISO-NE,MA,51
Battery,Generation,Battery,,,NRIS/ERIS,active,West,OR,48
Battery,Generation,Battery,,,ERIS,withdrawn,PJM,NJ,48
Solar+Battery,Generation,Solar,Battery,,NRIS,active,West,AZ,48
Battery,Generation,Battery,,,NRIS/ERIS,withdrawn,West,OR,48
Solar+Battery,Generation,Solar,Battery,,NRIS/ERIS,withdrawn,West,ID,47
Solar+Battery,Generation,Solar,Battery,,,withdrawn,West,AZ,46
Battery,Generation,Battery,,,NRIS,withdrawn,PJM,OH,46
Battery,Generation,Battery,,,NRIS,withdrawn,West,AZ,46
Battery,Generation,Battery,,,NRIS,active,MISO,IN,46
Battery,Generation,Battery,,,NRIS/ERIS,withdrawn,West,UT,45
Battery,Generation,Battery,,,,active,MISO,MI,45
Solar+Battery,Generation,Solar,Battery,,NRIS/ERIS,withdrawn,West,WA,45
Solar+Battery,Generation,Solar,Battery,,NRIS,withdrawn,PJM,PA,44
Solar+Battery,Generation,Solar,Battery,,,active,West,AZ,44
Battery,Generation,Battery,,,NRIS,active,MISO,MI,43
Solar+Battery,Generation,Solar,Battery,,,active,West,CA,41
Solar+Battery,Generation,Solar,Battery,,ERIS,active,CAISO,CA,40
Battery,Generation,Battery,,,NRIS,active,PJM,PA,40
Solar+Battery,Generation,Solar,Battery,,NRIS/ERIS,suspended,West,NV,38
Battery,Generation,Battery,,,,suspended,ERCOT,TX,38
Solar+Battery,Generation,Solar,Battery,,NRIS/ERIS,withdrawn,Southeast,AL,38
Solar+Battery,Generation,Solar,Battery,,NRIS,active,PJM,VA,37
Battery,Generation,Battery,,,NRIS,active,MISO,IL,37
Battery,Generation,Battery,,,NRIS,withdrawn,PJM,IL,36
Battery,Generation,Battery,,,,withdrawn,West,AZ,36
