yr,region,n_batteries,n_top_quartile,pct_top_quartile
2020,WEST,7,3,42.86
2020,SOUTH,6,1,16.67
2021,COASTAL,2,1,50.00
2021,WEST,19,7,36.84
2021,SOUTH,12,2,16.67
2021,NORTH,7,0,0.00
2022,SOUTH,16,6,37.50
2022,WEST,32,9,28.13
2022,NORTH,12,2,16.67
2022,COASTAL,7,1,14.29
2022,HOUSTON,3,0,0.00
2023,HOUSTON,4,3,75.00
2023,SOUTH,38,12,31.58
2023,WEST,54,15,27.78
2023,COASTAL,19,5,26.32
2023,NORTH,29,3,10.34
2023,PANHANDLE,5,0,0.00
2024,SOUTH,49,17,34.69
2024,WEST,62,17,27.42
2024,HOUSTON,14,3,21.43
2024,COASTAL,26,5,19.23
2024,NORTH,42,6,14.29
2024,PANHANDLE,6,0,0.00
