region,type_clean,total_mw
PJM,Gas,316744.65200000047
West,Solar+Battery,285771.24
West,Wind,261100.69429999992
MISO,Wind,226657.9399999999
MISO,Solar,223516.24
CAISO,Solar+Battery,201159.48184999995
SPP,Wind,193077.33000000013
PJM,Solar,190248.94879999993
Southeast,Other,177891.1
ERCOT,Solar,154447.09000000005
Southeast,Solar,154293.92999999988
West,Solar,151957.7885399999
ERCOT,Wind,123217.07
West,Gas,119084.5225
Southeast,Gas,118046.286
CAISO,Solar,115525.65220000004
MISO,Gas,108688.11
PJM,Wind,103065.50140000004
CAISO,Battery,96888.52440607
West,Battery,86209.87200000003
NYISO,Offshore Wind,78932.0
CAISO,Gas,71392.20599657868
PJM,Battery,69185.863
SPP,Solar,68625.34100000001
ERCOT,Gas,62940.48
ERCOT,Battery,62388.62
SPP,Gas,54603.92999999995
MISO,Other,50041.090000000004
MISO,Battery,49562.28
Southeast,Solar+Battery,48461.95
MISO,Solar+Battery,45734.71
CAISO,Wind,44251.303999237054
PJM,Solar+Battery,43478.19000000002
PJM,Offshore Wind,42608.899999999994
PJM,Coal,37513.299999999996
NYISO,Battery,35809.700000000004
NYISO,Gas,35118.6
MISO,Coal,30033.0
NYISO,Other,28728.100000000017
West,Solar+Gas+Battery,27893.0
West,Coal,26768.600000000002
ISO-NE,Offshore Wind,25407.550000190735
CAISO,Wind+Battery,24142.12372
Southeast,Nuclear,22497.0
ERCOT,Other,22067.48999999999
NYISO,Wind,21636.399999999994
SPP,Coal,20700.0
NYISO,Solar,20549.99999999999
ISO-NE,Gas+Oil,20397.477983385324
West,Other Storage,19604.1
