hour_ending,n,avg_losses,avg_abs_losses,avg_lmp,avg_abs_lmp,avg_abs_losses_share
0,4368,1.8140762362637373,1.8232154304029315,33.4586729242979,33.4586729242979,0.054135356875746485
1,4380,1.6106320395738172,1.6130429984779266,30.722127092846296,30.722127092846296,0.051586645114259554
2,4356,1.4745301499846968,1.476127946127947,28.98201599326605,28.98201599326605,0.04971412661991923
3,4368,1.4009664987790038,1.4009664987790038,27.847283272283196,27.847283272283196,0.04884522015427353
4,4368,1.367228327228328,1.367416056166057,27.99995344932851,27.99995344932851,0.0479601831704161
5,4368,1.5544986263736245,1.5551030219780195,30.359355158730146,30.49528006715507,0.04983430238288559
6,4368,1.9348519536019526,1.9355158730158715,35.095393963675136,35.20718425671545,0.05429441479200027
7,4368,2.333888125763128,2.3350511294261316,40.49079861111101,40.50481875763116,0.059106296261029166
8,4368,2.299692460317459,2.299692460317459,39.82543765262516,39.82543765262516,0.060216515819507
9,4368,2.18747023809524,2.188761446886449,37.461739735958496,37.461739735958496,0.061355401302795355
10,4368,2.335077991452995,2.3378710317460354,40.00649007936503,40.03198000610495,0.06360092534691202
11,4368,2.395205280830284,2.39915216727717,38.483027701465154,38.49784455128199,0.06418525730033078
12,4368,2.4073378357753357,2.4082764804639805,39.0287683150183,39.06188186813185,0.06498212909132527
13,4368,2.452787126068375,2.452787126068375,39.01578430250295,39.01578430250295,0.06501997036483396
14,4368,2.5109235729548183,2.5137211920024374,40.8111717796092,40.8111717796092,0.06579467100066505
15,4368,2.770779914529916,2.770779914529916,43.14180898962154,43.14180898962154,0.06639336398705722
16,4368,3.0754262057387134,3.07628701159952,47.28105769230769,47.28105769230769,0.06698975643441361
17,4368,3.8112568681318733,3.8118200549450587,57.90261694902322,57.91168746184373,0.0681417652592777
18,4368,3.7559647817460307,3.7559647817460307,57.06284130799756,57.06284130799756,0.06711227786657115
19,4368,3.2385344169719157,3.2404758089133074,53.42908081501858,53.42908081501858,0.06457024650507784
20,4368,2.8441784951160005,2.845877213064719,47.82324900793647,47.82324900793647,0.0626258963164438
21,4368,2.468689331501823,2.46947229853479,41.406317918192805,41.406317918192805,0.061122440271600756
22,4368,2.2115884462759428,2.21222489316239,37.1641693376069,37.1641693376069,0.0603083534744478
23,4368,2.0089743589743603,2.0101419413919426,34.72957989926733,34.72957989926733,0.05767869643474612
