region,entity,cnt
PJM,PJM,8152
MISO,MISO,4934
ERCOT,ERCOT,3282
CAISO,CAISO,2837
SPP,SPP,2469
West,PacifiCorp,2055
NYISO,NYISO,1817
ISO-NE,ISO-NE,1281
Southeast,SOCO,1158
West,BPA,984
Southeast,Duke,933
West,IP,780
Southeast,TVA,650
West,APS,579
West,NVE,455
West,NWMT,447
Southeast,FPL,422
West,PSCo,375
West,PNM,334
Southeast,S-C,281
West,WAPA-IS,267
West,PSE,141
West,Avista,138
West,SRP,132
West,TEP,120
Southeast,LGE-KU,118
Southeast,TEC,114
Southeast,GTC,110
West,LADWP,109
West,TSGT,108
West,WAPA-RM,102
West,PGE,101
Southeast,AEC,86
West,PRPA,60
Southeast,Dominion,53
West,BHCT,51
West,EPE,49
West,SRP_ANPP,45
MISO,MPC,44
West,WAPA-DSW,36
West,IID,36
West,CLPT,31
West,SRP_PV-PC,31
West,SMUD,30
West,BHP,26
Southeast,OUC,13
Southeast,JEA,12
West,WAPA-SN,12
West,CSU,10
West,GrantPUD,9
