q_id,q_status,q_date,prop_date,on_date,wd_date,ia_date,ia_status_raw,ia_status_clean,county,state,county_state_pairs,fips_codes,poi_name,region,project_name,utility,entity,developer,cluster,service,project_type,type1,type2,type3,mw1,mw2,mw3,type_clean,q_year,prop_year
G563,operational,38657.0,39447.0,,,,In Service,Operational,,WI,,,Dells Hydro Plant,MISO,,,MISO,,,ERIS,,Hydro,,,3.0,,,Hydro,2005.0,2007.0
J401,operational,41953.0,42460.0,,,,In Service,Operational,,IN,,,Stout South Substation 138,MISO,,,MISO,,,NRIS,,Battery,,,20.0,,,Battery,2014.0,2016.0
J587,operational,25569.0,,,,25569.0,In Service,Operational,,MN,,,J460 substation on the Brookings-H081 345kV line,MISO,,,MISO,,,NRIS,,Wind,,,200.0,,,Wind,1970.0,
G431,operational,38152.0,39417.0,,,,In Service,Operational,,IN,,,Edwardsport Gen Station,MISO,,,MISO,,,NRIS,,Gas,,,420.0,,,Gas,2004.0,2007.0
G037,operational,36658.0,40389.0,,,,In Service,Operational,,MN,,,Chanarambie Substation,MISO,,,MISO,,,ERIS,,Wind,,,36.0,,,Wind,2000.0,2010.0
H078,operational,39619.0,40847.0,,,,In Service,Operational,,IA,,,"new 161 kV substation near Laurel, IA approx b/t Marshalltown & Jasper",MISO,,,MISO,,,ERIS,,Wind,,,121.0,,,Wind,2008.0,2011.0
G059,operational,36777.0,37712.0,,,,In Service,Operational,,MN,,,Solway CT substation,MISO,,,MISO,,,ERIS,,Gas,,,50.0,,,Gas,2000.0,2003.0
J052,operational,40004.0,41244.0,,,,In Service,Operational,,MI,,,Manning substation 138kV,MISO,,,MISO,,,NRIS,,Wind,,,100.0,,,Wind,2009.0,2012.0
G368,operational,37909.0,39447.0,,,,In Service,Operational,,WI,,,South Fond du Lac - Butternut 138kV,MISO,,,MISO,,,NRIS,,Wind,,,200.0,,,Wind,2003.0,2007.0
J468,operational,42180.0,42323.0,,,,In Service,Operational,,IL,,,Along existing Sidney-Kansas West 345 kV line,MISO,,,MISO,,,NRIS,,Wind,,,202.0,,,Wind,2015.0,2015.0
G353,operational,37825.0,39083.0,,,,In Service,Operational,,WI,,,Acadian - Forest Junction 345kV,MISO,,,MISO,,,ERIS,,Wind,,,80.0,,,Wind,2003.0,2007.0
G022,operational,36508.0,37348.0,,,,In Service,Operational,,IL,,,Unknown,MISO,,,MISO,,,NRIS,,Gas,,,71.0,,,Gas,1999.0,2002.0
MPC00100,operational,38971.0,39447.0,39447.0,,,,Operational,Cavalier,ND,"Cavalier County, ND",38019.0,Langdon 115 kV Substation,MISO,,Minnkota Power Cooperative,MPC,,,ERIS,Generation,Wind,,,99.0,,,Wind,2006.0,2007.0
MPC00200,operational,39034.0,39447.0,39447.0,,,,Operational,Cavalier,ND,"Cavalier County, ND",38019.0,Langdon 115 kV Substation,MISO,,Minnkota Power Cooperative,MPC,,,ERIS,Generation,Wind,,,60.0,,,Wind,2006.0,2007.0
MPC00300,operational,39294.0,39813.0,39813.0,,,,Operational,Cavalier,ND,"Cavalier County, ND",38019.0,Langdon 115 kV Substation,MISO,,Minnkota Power Cooperative,MPC,,,ERIS,Generation,Wind,,,40.5,,,Wind,2007.0,2008.0
MPC00500,operational,39450.0,39813.0,39813.0,,,,Operational,Cass,ND,"Cass County, ND",38017.0,Maple River 230 kV Substation,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Generation,Wind,,,378.8,,,Wind,2008.0,2008.0
MPC01200,operational,39555.0,40543.0,40543.0,,,,Operational,Cass,ND,"Cass County, ND",38017.0,Maple River 230 kV Substation,MISO,,Minnkota Power Cooperative,MPC,,,ERIS,Generation,Wind,,,49.6,,,Wind,2008.0,2010.0
MPC01300,operational,39576.0,41639.0,41639.0,,,,Operational,Oliver,ND,"Oliver County, ND",38065.0,Square Butte 230 kV Substation,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Generation,Coal,,,455.0,,,Coal,2008.0,2013.0
MPC02100,operational,39794.0,42735.0,42735.0,,,,Operational,Oliver,ND,"Oliver County, ND",38065.0,Center - Mandan 230 kV Line,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Generation,Wind,,,100.0,,,Wind,2008.0,2016.0
J1000,operational,43171.0,45012.0,,,44288.0,GIA,IA Executed,Grant,WI,"Grant County, WI",55043.0,Nelson Dewey - Lancaster 138kV Line,MISO,,American Transmission Co.,MISO,,DPP-2018-APR East (ATC),NRIS,Generation,Solar,,,50.0,,,Solar,2018.0,2023.0
J1002,operational,43171.0,44952.0,,,44321.0,GIA,IA Executed,Waushara,WI,"Waushara County, WI",55137.0,Wautoma 138kV Switchyard,MISO,,American Transmission Co.,MISO,,DPP-2018-APR East (ATC),NRIS,Generation,Solar,,,99.0,,,Solar,2018.0,2023.0
J1003,operational,43171.0,45083.0,,,44321.0,GIA,IA Executed,Dodge,WI,"Dodge County, WI",55027.0,North Beaver Dam 69 kV Substation,MISO,,American Transmission Co.,MISO,,DPP-2018-APR East (ATC),NRIS,Generation,Solar,,,50.0,,,Solar,2018.0,2023.0
J1022,operational,43171.0,44708.0,,,44481.0,GIA,IA Executed,Mclean,IL,"McLean County, IL",17113.0,Weedman Substation 138kV Bus,MISO,,AMEREN ILLINOIS,MISO,,DPP-2018-APR Central,ERIS,Generation,Wind,,,150.0,,,Wind,2018.0,2022.0
J1030,operational,43171.0,44949.0,,,44126.0,GIA,IA Executed,Polk,TX,"Polk County, TX",48373.0,Poco - Menard 138kV Line Tao,MISO,,"ENTERGY TEXAS, INC.",MISO,,DPP-2018-APR South,ERIS,Generation,Solar,,,150.0,,,Solar,2018.0,2023.0
J1050,operational,43171.0,44743.0,,,44578.0,Phase 3,IA Executed,Boone,IA,"Boone County, IA; Hamilton County, IA",1901519079.0,Doud Tap 161 kV Substation,MISO,,ITC MIDWEST,MISO,,DPP-2018-APR West,NRIS,Generation,Wind,,,225.0,,,Wind,2018.0,2022.0
J1055,operational,43171.0,44119.0,,,44513.0,GIA,IA Executed,Mason,IL,"Mason County, IL",17125.0,Mason Substation 138 kV Bus,MISO,,AMEREN ILLINOIS,MISO,,DPP-2018-APR Central,NRIS,Generation,Wind,,,144.0,,,Wind,2018.0,2020.0
J1142,operational,43171.0,44013.0,,,44022.0,GIA,IA Executed,St. James Parish,LA,"St. James Parish, LA",22093.0,Vacherie 230kV Substation,MISO,,ENTERGY LOUISIANA,MISO,,DPP-2018-APR South,NRIS,Generation,Solar,,,20.0,,,Solar,2018.0,2020.0
J1146,operational,43171.0,44114.0,,,44055.0,GIA,IA Executed,Mississippi,AR,"Mississippi County, AR",5093.0,San Souci 500 kV Substation,MISO,,ENTERGY ARKANSAS,MISO,,DPP-2018-APR South,NRIS,Generation,Coal,,,10.0,,,Coal,2018.0,2020.0
J1153,operational,43171.0,44713.0,,,44335.0,GIA,IA Executed,Sheboygan,WI,"Sheboygan County, WI",55117.0,Holland 138 kV Substation,MISO,,American Transmission Co.,MISO,,DPP-2018-APR East (ATC),NRIS,Generation,Solar,,,150.0,,,Solar,2018.0,2022.0
J1181,operational,43171.0,44865.0,,,44362.0,Phase 3,IA Executed,Chickasaw,IA,"Chickasaw County, IA",19037.0,Hazleton - Mitchell county 345 kV line,MISO,,ITC MIDWEST,MISO,,DPP-2018-APR West,NRIS,Generation,Wind,,,200.0,,,Wind,2018.0,2022.0
J1183,operational,43171.0,43753.0,,,44288.0,GIA,IA Executed,Delta,MI,"Delta County, MI",26041.0,Heritage Garden substation,MISO,,American Transmission Co.,MISO,,DPP-2018-APR East (ATC),ERIS,Generation,Solar,,,1.35,,,Solar,2018.0,2019.0
J1188,operational,43171.0,44713.0,,,44334.0,GIA,IA Executed,Rock,WI,"Rock County, WI",55105.0,Sheepskin 69 kV Substation,MISO,,American Transmission Co.,MISO,,DPP-2018-APR East (ATC),NRIS,Generation,Solar,,,50.0,,,Solar,2018.0,2022.0
J1194,operational,43579.0,44501.0,,,44104.0,Phase 3,Cluster Study,Midland,MI,"Midland County, MI; Saginaw County, MI",2611126145.0,Murphy 138 kV Substation,MISO,,METC,MISO,,DPP-2019 East (ITC),NRIS,Generation,Wind,,,225.2,,,Wind,2019.0,2021.0
J1205,operational,43581.0,45199.0,,,44530.0,Phase 3,IA Executed,Allen Parish,LA,"Allen Parish, LA",22003.0,Centennial - West Bay 138kV Line,MISO,,CLECO POWER,MISO,,DPP-2019 South,ERIS,Generation,Solar,,,125.0,,,Solar,2019.0,2023.0
J1249,operational,43584.0,44766.0,,,44581.0,Phase 3,IA Executed,Lamar,MS,"Lamar County, MS",28073.0,Morrow 161 kV Substation,MISO,,COOPERATIVE ENERGY,MISO,,DPP-2019 South,NRIS,Generation,Gas,,,600.0,,,Gas,2019.0,2022.0
J1304,operational,43584.0,45149.0,,,44728.0,Phase 3,Cluster Study,Rock,WI,"Rock County, WI",55105.0,Paddock - Townline Road 138kV Line,MISO,,American Transmission Co.,MISO,,DPP-2019 East (ATC),NRIS,Generation,Solar,,,65.0,,,Solar,2019.0,2023.0
J1305,operational,43584.0,45051.0,,,,Phase 3,Cluster Study,Green,WI,"Green County, WI",55045.0,Albany - Bass Creek 138kV Line,MISO,,American Transmission Co.,MISO,,DPP-2019 East (ATC),NRIS,Generation,Solar,,,49.9,,,Solar,2019.0,2023.0
J1319,operational,43584.0,44774.0,,,,Phase 3,Cluster Study,Huron,MI,"Huron County, MI",26063.0,Rapson 120kV Substation,MISO,,ITC MIDWEST,MISO,,DPP-2019 East (ITC),NRIS,Generation,Wind,,,117.5,,,Wind,2019.0,2022.0
J1333,operational,43584.0,45458.0,,,44965.0,GIA,IA Executed,Jasper,IN,"Jasper County, IN; Starke County, IN",1807318149.0,Schahfer - Burr Oak 345kV Line,MISO,,NORTHERN INDIANA PUBLIC SERVICE COMPANY,MISO,,DPP-2019 Central,NRIS,Generation,Solar,Battery,,199.5,,,Solar+Battery,2019.0,2024.0
J1334,operational,43584.0,45458.0,,,44965.0,GIA,IA Executed,Jasper,IN,"Jasper County, IN; Starke County, IN",1807318149.0,Schahfer - Burr Oak 345kV Line,MISO,,NORTHERN INDIANA PUBLIC SERVICE COMPANY,MISO,,DPP-2019 Central,NRIS,Generation,Solar,Battery,,199.5,,,Solar+Battery,2019.0,2024.0
J1335,operational,43584.0,45467.0,,,44965.0,GIA,IA Executed,Jasper,IN,"Jasper County, IN; Starke County, IN",1807318149.0,Schahfer - Burr Oak 345kV Line,MISO,,NORTHERN INDIANA PUBLIC SERVICE COMPANY,MISO,,DPP-2019 Central,NRIS,Generation,Solar,Battery,,199.5,,,Solar+Battery,2019.0,2024.0
J1347,operational,43581.0,45078.0,,,44390.0,Phase 3,Cluster Study,Scott,MS,"Scott County, MS",28123.0,Pelahatchie - Scott 115 kV Line Tap,MISO,,ENTERGY MISSISSIPPI,MISO,,DPP-2019 South,ERIS,Generation,Solar,,,175.0,,,Solar,2019.0,2023.0
J1368,operational,43584.0,45078.0,,,44530.0,Phase 3,IA Executed,Pointe Coupee Parish,LA,"Pointe Coupee Parish, LA",22077.0,Fancy Point - Waterloo 230 kV Line,MISO,,ENTERGY LOUISIANA,MISO,,DPP-2019 South,NRIS,Generation,Solar,,,200.0,,,Solar,2019.0,2023.0
J1372,operational,43584.0,45078.0,,,44530.0,Phase 3,IA Executed,Pointe Coupee Parish,LA,"Pointe Coupee Parish, LA",22077.0,Fancy Point - Waterloo 230 kV Line (J1368 POI),MISO,,ENTERGY LOUISIANA,MISO,,DPP-2019 South,NRIS,Generation,Solar,,,100.0,,,Solar,2019.0,2023.0
J1373,operational,43584.0,45000.0,,,,Phase 3,Cluster Study,White,AR,"White County, AR",5145.0,Griffithville - Searcy Price 115 kV Line Tap,MISO,,ENTERGY ARKANSAS,MISO,,DPP-2019 South,NRIS,Generation,Solar,,,95.0,,,Solar,2019.0,2023.0
J1401,operational,43584.0,45383.0,,,44790.0,Phase 3,IA Executed,Branch,MI,"Branch County, MI",26023.0,Batavia - Wagner 138kV Line,MISO,,METC,MISO,,DPP-2019 East (ITC),NRIS,Generation,Solar,,,150.0,,,Solar,2019.0,2024.0
J1425,operational,43584.0,44700.0,,,44588.0,Phase 3,IA Executed,Jefferson,AR,"Jefferson County, AR",5069.0,Pine Bluff International Paper 115 kV substation,MISO,,ENTERGY ARKANSAS,MISO,,DPP-2019 South,NRIS,Generation,Gas,,,114.0,,,Gas,2019.0,2022.0
J1436,operational,43584.0,45108.0,,,44529.0,Phase 3,IA Executed,Morehouse Parish,LA,"Morehouse Parish, LA",22067.0,Oak Ridge 115 kV Substation,MISO,,ENTERGY LOUISIANA,MISO,,DPP-2019 South,ERIS,Generation,Solar,,,50.0,,,Solar,2019.0,2023.0
J1453,operational,43584.0,44684.0,,,44699.0,GIA,IA Executed,Mason,IL,"Mason County, IL",17125.0,Havana - Shockey 138 kV Line Tap,MISO,,AMEREN ILLINOIS,MISO,,DPP-2019 Central,NRIS,Generation,Wind,,,188.3,,,Wind,2019.0,2022.0
J1454,operational,43584.0,44426.0,,,,GIA,IA Executed,Mason,IL,"Mason County, IL",17125.0,Mason 138 kV Substation,MISO,,AMEREN ILLINOIS,MISO,,DPP-2019 Central,ERIS,Generation,Wind,,,58.5,,,Wind,2019.0,2021.0
J1832,operational,44007.0,45488.0,,,44902.0,Phase 3,Cluster Study,St. Landry Parish,LA,"St. Landry Parish, LA",22097.0,Plaisance 138kV,MISO,,CLECO POWER,MISO,,DPP-2020 South,NRIS,Generation,Solar,,,145.09,,,Solar,2020.0,2024.0
