date,hour,avg_price,min_price,max_price,median_price,hourly_count
2024-06-01,0,24.79,24.79,24.79,24.79,1
2024-06-01,1,20.7,20.7,20.7,20.7,1
2024-06-01,2,21.85,21.85,21.85,21.85,1
2024-06-01,3,22.15,22.15,22.15,22.15,1
2024-06-01,4,23.36,23.36,23.36,23.36,1
2024-06-01,5,25.1,25.1,25.1,25.1,1
2024-06-01,6,24.39,24.39,24.39,24.39,1
2024-06-01,7,20.27,20.27,20.27,20.27,1
2024-06-01,8,19.56,19.56,19.56,19.56,1
2024-06-01,9,20.05,20.05,20.05,20.05,1
2024-06-01,10,21.4,21.4,21.4,21.4,1
2024-06-01,11,23.3,23.3,23.3,23.3,1
2024-06-01,12,29.87,29.87,29.87,29.87,1
2024-06-01,13,29.9,29.9,29.9,29.9,1
2024-06-01,14,27.49,27.49,27.49,27.49,1
2024-06-01,15,27.92,27.92,27.92,27.92,1
2024-06-01,16,32.21,32.21,32.21,32.21,1
2024-06-01,17,31.29,31.29,31.29,31.29,1
2024-06-01,18,30.88,30.88,30.88,30.88,1
2024-06-01,19,49.58,49.58,49.58,49.58,1
2024-06-01,20,45.49,45.49,45.49,45.49,1
2024-06-01,21,27.24,27.24,27.24,27.24,1
2024-06-01,22,23.55,23.55,23.55,23.55,1
2024-06-01,23,19.85,19.85,19.85,19.85,1
2024-06-02,0,16.0,16.0,16.0,16.0,1
2024-06-02,1,13.87,13.87,13.87,13.87,1
2024-06-02,2,13.24,13.24,13.24,13.24,1
2024-06-02,3,12.75,12.75,12.75,12.75,1
2024-06-02,4,13.48,13.48,13.48,13.48,1
2024-06-02,5,14.94,14.94,14.94,14.94,1
2024-06-02,6,15.16,15.16,15.16,15.16,1
2024-06-02,7,12.54,12.54,12.54,12.54,1
2024-06-02,8,10.02,10.02,10.02,10.02,1
2024-06-02,9,10.49,10.49,10.49,10.49,1
2024-06-02,10,13.26,13.26,13.26,13.26,1
2024-06-02,11,16.08,16.08,16.08,16.08,1
2024-06-02,12,23.79,23.79,23.79,23.79,1
2024-06-02,13,29.83,29.83,29.83,29.83,1
2024-06-02,14,30.64,30.64,30.64,30.64,1
2024-06-02,15,34.63,34.63,34.63,34.63,1
2024-06-02,16,36.97,36.97,36.97,36.97,1
2024-06-02,17,33.02,33.02,33.02,33.02,1
2024-06-02,18,32.71,32.71,32.71,32.71,1
2024-06-02,19,40.82,40.82,40.82,40.82,1
2024-06-02,20,37.8,37.8,37.8,37.8,1
2024-06-02,21,25.82,25.82,25.82,25.82,1
2024-06-02,22,19.75,19.75,19.75,19.75,1
2024-06-02,23,17.64,17.64,17.64,17.64,1
2024-06-03,0,16.18,16.18,16.18,16.18,1
2024-06-03,1,13.28,13.28,13.28,13.28,1
2024-06-03,2,11.32,11.32,11.32,11.32,1
2024-06-03,3,10.42,10.42,10.42,10.42,1
2024-06-03,4,10.43,10.43,10.43,10.43,1
2024-06-03,5,12.42,12.42,12.42,12.42,1
2024-06-03,6,12.17,12.17,12.17,12.17,1
2024-06-03,7,11.11,11.11,11.11,11.11,1
2024-06-03,8,9.41,9.41,9.41,9.41,1
2024-06-03,9,11.3,11.3,11.3,11.3,1
2024-06-03,10,13.98,13.98,13.98,13.98,1
2024-06-03,11,21.52,21.52,21.52,21.52,1
2024-06-03,12,23.35,23.35,23.35,23.35,1
2024-06-03,13,31.61,31.61,31.61,31.61,1
2024-06-03,14,31.63,31.63,31.63,31.63,1
2024-06-03,15,35.04,35.04,35.04,35.04,1
2024-06-03,16,46.99,46.99,46.99,46.99,1
2024-06-03,17,43.93,43.93,43.93,43.93,1
2024-06-03,18,39.42,39.42,39.42,39.42,1
2024-06-03,19,53.25,53.25,53.25,53.25,1
2024-06-03,20,38.82,38.82,38.82,38.82,1
2024-06-03,21,24.58,24.58,24.58,24.58,1
2024-06-03,22,20.76,20.76,20.76,20.76,1
2024-06-03,23,18.15,18.15,18.15,18.15,1
2024-06-04,0,16.04,16.04,16.04,16.04,1
2024-06-04,1,13.76,13.76,13.76,13.76,1
2024-06-04,2,11.98,11.98,11.98,11.98,1
2024-06-04,3,12.4,12.4,12.4,12.4,1
2024-06-04,4,13.35,13.35,13.35,13.35,1
2024-06-04,5,15.34,15.34,15.34,15.34,1
2024-06-04,6,14.69,14.69,14.69,14.69,1
2024-06-04,7,13.42,13.42,13.42,13.42,1
2024-06-04,8,11.32,11.32,11.32,11.32,1
2024-06-04,9,13.99,13.99,13.99,13.99,1
2024-06-04,10,17.04,17.04,17.04,17.04,1
2024-06-04,11,21.69,21.69,21.69,21.69,1
2024-06-04,12,30.59,30.59,30.59,30.59,1
2024-06-04,13,35.74,35.74,35.74,35.74,1
2024-06-04,14,41.61,41.61,41.61,41.61,1
2024-06-04,15,51.05,51.05,51.05,51.05,1
2024-06-04,16,63.77,63.77,63.77,63.77,1
2024-06-04,17,60.5,60.5,60.5,60.5,1
2024-06-04,18,61.88,61.88,61.88,61.88,1
2024-06-04,19,112.54,112.54,112.54,112.54,1
2024-06-04,20,79.07,79.07,79.07,79.07,1
2024-06-04,21,38.57,38.57,38.57,38.57,1
2024-06-04,22,26.92,26.92,26.92,26.92,1
2024-06-04,23,21.91,21.91,21.91,21.91,1
2024-06-05,0,18.54,18.54,18.54,18.54,1
2024-06-05,1,17.12,17.12,17.12,17.12,1
2024-06-05,2,16.57,16.57,16.57,16.57,1
2024-06-05,3,16.83,16.83,16.83,16.83,1
2024-06-05,4,17.77,17.77,17.77,17.77,1
