utc_timestamp,date_local,hour_ending,cleared_demand_mw
2023-01-01 06:00:00+00:00,2023-01-01,1,9825.0
2023-01-01 07:00:00+00:00,2023-01-01,2,9322.0
2023-01-01 08:00:00+00:00,2023-01-01,3,9366.0
2023-01-01 09:00:00+00:00,2023-01-01,4,9316.0
2023-01-01 10:00:00+00:00,2023-01-01,5,9668.0
2023-01-01 11:00:00+00:00,2023-01-01,6,9814.0
2023-01-01 12:00:00+00:00,2023-01-01,7,10244.0
2023-01-01 13:00:00+00:00,2023-01-01,8,10183.0
2023-01-01 14:00:00+00:00,2023-01-01,9,10539.0
2023-01-01 15:00:00+00:00,2023-01-01,10,10889.0
2023-01-01 16:00:00+00:00,2023-01-01,11,11039.0
2023-01-01 17:00:00+00:00,2023-01-01,12,11128.0
2023-01-01 18:00:00+00:00,2023-01-01,13,11162.0
2023-01-01 19:00:00+00:00,2023-01-01,14,11166.0
2023-01-01 20:00:00+00:00,2023-01-01,15,11412.0
2023-01-01 21:00:00+00:00,2023-01-01,16,12053.0
2023-01-01 22:00:00+00:00,2023-01-01,17,13304.0
2023-01-01 23:00:00+00:00,2023-01-01,18,13804.0
2023-01-02 00:00:00+00:00,2023-01-01,19,13718.0
2023-01-02 01:00:00+00:00,2023-01-01,20,13372.0
2023-01-02 02:00:00+00:00,2023-01-01,21,12895.0
2023-01-02 03:00:00+00:00,2023-01-01,22,12029.0
2023-01-02 04:00:00+00:00,2023-01-01,23,11167.0
2023-01-02 05:00:00+00:00,2023-01-01,24,10548.0
2023-01-02 06:00:00+00:00,2023-01-02,1,10210.0
2023-01-02 07:00:00+00:00,2023-01-02,2,9967.0
2023-01-02 08:00:00+00:00,2023-01-02,3,10058.0
2023-01-02 09:00:00+00:00,2023-01-02,4,10054.0
2023-01-02 10:00:00+00:00,2023-01-02,5,10292.0
2023-01-02 11:00:00+00:00,2023-01-02,6,10418.0
2023-01-02 12:00:00+00:00,2023-01-02,7,11090.0
2023-01-02 13:00:00+00:00,2023-01-02,8,11767.0
2023-01-02 14:00:00+00:00,2023-01-02,9,12291.0
2023-01-02 15:00:00+00:00,2023-01-02,10,12093.0
2023-01-02 16:00:00+00:00,2023-01-02,11,11818.0
2023-01-02 17:00:00+00:00,2023-01-02,12,11585.0
2023-01-02 18:00:00+00:00,2023-01-02,13,11617.0
2023-01-02 19:00:00+00:00,2023-01-02,14,11461.0
2023-01-02 20:00:00+00:00,2023-01-02,15,11656.0
2023-01-02 21:00:00+00:00,2023-01-02,16,12805.0
2023-01-02 22:00:00+00:00,2023-01-02,17,14046.0
2023-01-02 23:00:00+00:00,2023-01-02,18,14769.0
2023-01-03 00:00:00+00:00,2023-01-02,19,14749.0
2023-01-03 01:00:00+00:00,2023-01-02,20,14233.0
2023-01-03 02:00:00+00:00,2023-01-02,21,13633.0
2023-01-03 03:00:00+00:00,2023-01-02,22,12612.0
2023-01-03 04:00:00+00:00,2023-01-02,23,11699.0
2023-01-03 05:00:00+00:00,2023-01-02,24,10890.0
2023-01-03 06:00:00+00:00,2023-01-03,1,11088.0
2023-01-03 07:00:00+00:00,2023-01-03,2,10974.0
2023-01-03 08:00:00+00:00,2023-01-03,3,10891.0
2023-01-03 09:00:00+00:00,2023-01-03,4,11052.0
2023-01-03 10:00:00+00:00,2023-01-03,5,10830.0
2023-01-03 11:00:00+00:00,2023-01-03,6,11076.0
2023-01-03 12:00:00+00:00,2023-01-03,7,12194.0
2023-01-03 13:00:00+00:00,2023-01-03,8,13307.0
2023-01-03 14:00:00+00:00,2023-01-03,9,13657.0
2023-01-03 15:00:00+00:00,2023-01-03,10,13911.0
2023-01-03 16:00:00+00:00,2023-01-03,11,13690.0
2023-01-03 17:00:00+00:00,2023-01-03,12,13651.0
2023-01-03 18:00:00+00:00,2023-01-03,13,13798.0
2023-01-03 19:00:00+00:00,2023-01-03,14,13817.0
2023-01-03 20:00:00+00:00,2023-01-03,15,13922.0
2023-01-03 21:00:00+00:00,2023-01-03,16,13590.0
2023-01-03 22:00:00+00:00,2023-01-03,17,14378.0
2023-01-03 23:00:00+00:00,2023-01-03,18,14714.0
2023-01-04 00:00:00+00:00,2023-01-03,19,14491.0
2023-01-04 01:00:00+00:00,2023-01-03,20,14022.0
2023-01-04 02:00:00+00:00,2023-01-03,21,13133.0
2023-01-04 03:00:00+00:00,2023-01-03,22,12104.0
2023-01-04 04:00:00+00:00,2023-01-03,23,11316.0
2023-01-04 05:00:00+00:00,2023-01-03,24,10503.0
2023-01-04 06:00:00+00:00,2023-01-04,1,11576.0
2023-01-04 07:00:00+00:00,2023-01-04,2,11586.0
2023-01-04 08:00:00+00:00,2023-01-04,3,11769.0
2023-01-04 09:00:00+00:00,2023-01-04,4,11578.0
2023-01-04 10:00:00+00:00,2023-01-04,5,11680.0
2023-01-04 11:00:00+00:00,2023-01-04,6,11533.0
2023-01-04 12:00:00+00:00,2023-01-04,7,12626.0
2023-01-04 13:00:00+00:00,2023-01-04,8,13711.0
2023-01-04 14:00:00+00:00,2023-01-04,9,13814.0
2023-01-04 15:00:00+00:00,2023-01-04,10,13613.0
2023-01-04 16:00:00+00:00,2023-01-04,11,13522.0
2023-01-04 17:00:00+00:00,2023-01-04,12,13514.0
2023-01-04 18:00:00+00:00,2023-01-04,13,13472.0
2023-01-04 19:00:00+00:00,2023-01-04,14,13723.0
2023-01-04 20:00:00+00:00,2023-01-04,15,13893.0
2023-01-04 21:00:00+00:00,2023-01-04,16,14267.0
2023-01-04 22:00:00+00:00,2023-01-04,17,14936.0
2023-01-04 23:00:00+00:00,2023-01-04,18,15208.0
2023-01-05 00:00:00+00:00,2023-01-04,19,14911.0
2023-01-05 01:00:00+00:00,2023-01-04,20,14631.0
2023-01-05 02:00:00+00:00,2023-01-04,21,14080.0
2023-01-05 03:00:00+00:00,2023-01-04,22,13794.0
2023-01-05 04:00:00+00:00,2023-01-04,23,12207.0
2023-01-05 05:00:00+00:00,2023-01-04,24,11668.0
