date_local,hour_ending,locational_marginal_price,energy_component,congestion_component,marginal_loss_component,utc_timestamp
07/01/2023,1,34.87,35.82,0.0,-0.95,2023-07-01 05:00:00+00:00
07/01/2023,2,36.16,37.36,0.0,-1.2,2023-07-01 06:00:00+00:00
07/01/2023,3,32.28,33.37,0.0,-1.09,2023-07-01 07:00:00+00:00
07/01/2023,4,27.94,28.9,0.0,-0.96,2023-07-01 08:00:00+00:00
07/01/2023,5,29.85,30.91,0.0,-1.06,2023-07-01 09:00:00+00:00
07/01/2023,6,27.24,28.21,0.0,-0.97,2023-07-01 10:00:00+00:00
07/01/2023,7,28.05,29.06,0.0,-1.01,2023-07-01 11:00:00+00:00
07/01/2023,8,28.97,30.11,0.0,-1.14,2023-07-01 12:00:00+00:00
07/01/2023,9,32.04,33.27,0.0,-1.23,2023-07-01 13:00:00+00:00
07/01/2023,10,27.36,28.38,0.0,-1.02,2023-07-01 14:00:00+00:00
07/01/2023,11,27.4,28.36,0.0,-0.96,2023-07-01 15:00:00+00:00
07/01/2023,12,33.55,34.6,0.0,-1.05,2023-07-01 16:00:00+00:00
07/01/2023,13,29.15,29.98,0.0,-0.83,2023-07-01 17:00:00+00:00
07/01/2023,14,33.5,34.36,0.0,-0.86,2023-07-01 18:00:00+00:00
07/01/2023,15,30.05,30.57,0.0,-0.52,2023-07-01 19:00:00+00:00
07/01/2023,16,37.04,37.42,0.0,-0.38,2023-07-01 20:00:00+00:00
07/01/2023,17,44.59,45.19,0.0,-0.6,2023-07-01 21:00:00+00:00
07/01/2023,18,44.95,45.58,0.0,-0.63,2023-07-01 22:00:00+00:00
07/01/2023,19,45.42,46.14,0.0,-0.72,2023-07-01 23:00:00+00:00
07/01/2023,20,42.8,43.73,0.0,-0.93,2023-07-02 00:00:00+00:00
07/01/2023,21,42.39,43.21,0.0,-0.82,2023-07-02 01:00:00+00:00
07/01/2023,22,41.4,42.14,0.0,-0.74,2023-07-02 02:00:00+00:00
07/01/2023,23,35.52,36.26,0.0,-0.74,2023-07-02 03:00:00+00:00
07/01/2023,24,31.0,31.74,0.0,-0.74,2023-07-02 04:00:00+00:00
07/02/2023,1,30.62,31.46,0.0,-0.84,2023-07-02 05:00:00+00:00
