ts_est,timestamp_utc,mw
2023-12-01 00:00:00,2023-12-01 05:00:00+00:00,39322.0
2023-12-01 01:00:00,2023-12-01 06:00:00+00:00,39055.0
2023-12-01 02:00:00,2023-12-01 07:00:00+00:00,39055.0
2023-12-01 03:00:00,2023-12-01 08:00:00+00:00,38897.0
2023-12-01 04:00:00,2023-12-01 09:00:00+00:00,39287.0
2023-12-01 05:00:00,2023-12-01 10:00:00+00:00,40738.0
2023-12-01 06:00:00,2023-12-01 11:00:00+00:00,43590.0
2023-12-01 07:00:00,2023-12-01 12:00:00+00:00,45848.0
2023-12-01 08:00:00,2023-12-01 13:00:00+00:00,46423.0
2023-12-01 09:00:00,2023-12-01 14:00:00+00:00,46434.0
2023-12-01 10:00:00,2023-12-01 15:00:00+00:00,47183.0
2023-12-01 11:00:00,2023-12-01 16:00:00+00:00,47064.0
2023-12-01 12:00:00,2023-12-01 17:00:00+00:00,47423.0
2023-12-01 13:00:00,2023-12-01 18:00:00+00:00,46858.0
2023-12-01 14:00:00,2023-12-01 19:00:00+00:00,47078.0
2023-12-01 15:00:00,2023-12-01 20:00:00+00:00,46909.0
2023-12-01 16:00:00,2023-12-01 21:00:00+00:00,47531.0
2023-12-01 17:00:00,2023-12-01 22:00:00+00:00,47316.0
2023-12-01 18:00:00,2023-12-01 23:00:00+00:00,47267.0
2023-12-01 19:00:00,2023-12-02 00:00:00+00:00,46762.0
2023-12-01 20:00:00,2023-12-02 01:00:00+00:00,44939.0
2023-12-01 21:00:00,2023-12-02 02:00:00+00:00,43183.0
2023-12-01 22:00:00,2023-12-02 03:00:00+00:00,41231.0
2023-12-01 23:00:00,2023-12-02 04:00:00+00:00,38567.0
2023-12-02 00:00:00,2023-12-02 05:00:00+00:00,36171.0
2023-12-02 01:00:00,2023-12-02 06:00:00+00:00,35034.0
2023-12-02 02:00:00,2023-12-02 07:00:00+00:00,34719.0
2023-12-02 03:00:00,2023-12-02 08:00:00+00:00,34028.0
2023-12-02 04:00:00,2023-12-02 09:00:00+00:00,34297.0
2023-12-02 05:00:00,2023-12-02 10:00:00+00:00,35009.0
2023-12-02 06:00:00,2023-12-02 11:00:00+00:00,35271.0
2023-12-02 07:00:00,2023-12-02 12:00:00+00:00,36978.0
2023-12-02 08:00:00,2023-12-02 13:00:00+00:00,38035.0
2023-12-02 09:00:00,2023-12-02 14:00:00+00:00,38401.0
2023-12-02 10:00:00,2023-12-02 15:00:00+00:00,39665.0
2023-12-02 11:00:00,2023-12-02 16:00:00+00:00,40150.0
2023-12-02 12:00:00,2023-12-02 17:00:00+00:00,40004.0
2023-12-02 13:00:00,2023-12-02 18:00:00+00:00,39515.0
2023-12-02 14:00:00,2023-12-02 19:00:00+00:00,39102.0
2023-12-02 15:00:00,2023-12-02 20:00:00+00:00,39811.0
2023-12-02 16:00:00,2023-12-02 21:00:00+00:00,40825.0
2023-12-02 17:00:00,2023-12-02 22:00:00+00:00,41795.0
2023-12-02 18:00:00,2023-12-02 23:00:00+00:00,42184.0
2023-12-02 19:00:00,2023-12-03 00:00:00+00:00,42205.0
2023-12-02 20:00:00,2023-12-03 01:00:00+00:00,41371.0
2023-12-02 21:00:00,2023-12-03 02:00:00+00:00,40637.0
2023-12-02 22:00:00,2023-12-03 03:00:00+00:00,38803.0
2023-12-02 23:00:00,2023-12-03 04:00:00+00:00,36340.0
2023-12-03 00:00:00,2023-12-03 05:00:00+00:00,34758.0
2023-12-03 01:00:00,2023-12-03 06:00:00+00:00,33880.0
2023-12-03 02:00:00,2023-12-03 07:00:00+00:00,33352.0
2023-12-03 03:00:00,2023-12-03 08:00:00+00:00,33171.0
2023-12-03 04:00:00,2023-12-03 09:00:00+00:00,33154.0
2023-12-03 05:00:00,2023-12-03 10:00:00+00:00,33505.0
2023-12-03 06:00:00,2023-12-03 11:00:00+00:00,33957.0
2023-12-03 07:00:00,2023-12-03 12:00:00+00:00,34024.0
2023-12-03 08:00:00,2023-12-03 13:00:00+00:00,35950.0
2023-12-03 09:00:00,2023-12-03 14:00:00+00:00,36784.0
2023-12-03 10:00:00,2023-12-03 15:00:00+00:00,36960.0
2023-12-03 11:00:00,2023-12-03 16:00:00+00:00,36452.0
2023-12-03 12:00:00,2023-12-03 17:00:00+00:00,36589.0
2023-12-03 13:00:00,2023-12-03 18:00:00+00:00,36573.0
2023-12-03 14:00:00,2023-12-03 19:00:00+00:00,36409.0
2023-12-03 15:00:00,2023-12-03 20:00:00+00:00,37231.0
2023-12-03 16:00:00,2023-12-03 21:00:00+00:00,38780.0
2023-12-03 17:00:00,2023-12-03 22:00:00+00:00,40234.0
2023-12-03 18:00:00,2023-12-03 23:00:00+00:00,41245.0
2023-12-03 19:00:00,2023-12-04 00:00:00+00:00,41129.0
2023-12-03 20:00:00,2023-12-04 01:00:00+00:00,41419.0
2023-12-03 21:00:00,2023-12-04 02:00:00+00:00,39732.0
2023-12-03 22:00:00,2023-12-04 03:00:00+00:00,38626.0
2023-12-03 23:00:00,2023-12-04 04:00:00+00:00,37349.0
2023-12-04 00:00:00,2023-12-04 05:00:00+00:00,36078.0
2023-12-04 01:00:00,2023-12-04 06:00:00+00:00,35842.0
2023-12-04 02:00:00,2023-12-04 07:00:00+00:00,35549.0
2023-12-04 03:00:00,2023-12-04 08:00:00+00:00,35194.0
2023-12-04 04:00:00,2023-12-04 09:00:00+00:00,35768.0
2023-12-04 05:00:00,2023-12-04 10:00:00+00:00,37463.0
2023-12-04 06:00:00,2023-12-04 11:00:00+00:00,41270.0
2023-12-04 07:00:00,2023-12-04 12:00:00+00:00,44273.0
2023-12-04 08:00:00,2023-12-04 13:00:00+00:00,45065.0
