date_local,hour_ending,locational_marginal_price
07/01/2023,1,34.87
07/01/2023,2,36.16
07/01/2023,3,32.28
07/01/2023,4,27.94
07/01/2023,5,29.85
07/01/2023,6,27.24
07/01/2023,7,28.05
07/01/2023,8,28.97
07/01/2023,9,32.04
07/01/2023,10,27.36
07/01/2023,11,27.4
07/01/2023,12,33.55
07/01/2023,13,29.15
07/01/2023,14,33.5
07/01/2023,15,30.05
07/01/2023,16,37.04
07/01/2023,17,44.59
07/01/2023,18,44.95
07/01/2023,19,45.42
07/01/2023,20,42.8
07/01/2023,21,42.39
07/01/2023,22,41.4
07/01/2023,23,35.52
07/01/2023,24,31.0
07/01/2024,1,29.73
07/01/2024,2,28.95
07/01/2024,3,24.33
07/01/2024,4,22.31
07/01/2024,5,22.71
07/01/2024,6,25.3
07/01/2024,7,28.78
07/01/2024,8,27.35
07/01/2024,9,27.26
07/01/2024,10,27.19
07/01/2024,11,23.74
07/01/2024,12,26.25
07/01/2024,13,26.84
07/01/2024,14,27.2
07/01/2024,15,26.11
07/01/2024,16,23.17
07/01/2024,17,27.57
07/01/2024,18,31.13
07/01/2024,19,34.84
07/01/2024,20,35.85
07/01/2024,21,31.32
07/01/2024,22,30.31
07/01/2024,23,25.72
07/01/2024,24,24.91
07/01/2025,1,48.76
07/01/2025,2,45.09
07/01/2025,3,42.12
07/01/2025,4,37.42
07/01/2025,5,38.03
07/01/2025,6,42.38
07/01/2025,7,44.75
07/01/2025,8,50.11
07/01/2025,9,52.4
07/01/2025,10,54.19
07/01/2025,11,54.16
07/01/2025,12,57.31
07/01/2025,13,62.37
07/01/2025,14,69.82
07/01/2025,15,70.71
07/01/2025,16,73.75
07/01/2025,17,79.9
07/01/2025,18,87.24
07/01/2025,19,77.85
07/01/2025,20,78.04
07/01/2025,21,70.71
07/01/2025,22,67.94
07/01/2025,23,61.29
07/01/2025,24,45.91
07/02/2019,1,20.34
07/02/2019,2,17.49
07/02/2019,3,16.15
07/02/2019,4,15.61
07/02/2019,5,15.79
07/02/2019,6,16.93
07/02/2019,7,21.26
07/02/2019,8,20.78
07/02/2019,9,19.96
07/02/2019,10,21.49
07/02/2019,11,24.91
07/02/2019,12,25.5
07/02/2019,13,27.04
07/02/2019,14,30.57
07/02/2019,15,33.36
07/02/2019,16,36.26
07/02/2019,17,38.11
07/02/2019,18,39.25
07/02/2019,19,37.27
07/02/2019,20,36.23
07/02/2019,21,32.92
07/02/2019,22,30.18
07/02/2019,23,25.76
07/02/2019,24,24.79
07/02/2020,1,15.36
07/02/2020,2,13.96
07/02/2020,3,13.25
07/02/2020,4,13.23
07/02/2020,5,13.21
07/02/2020,6,13.88
07/02/2020,7,14.63
07/02/2020,8,15.74
07/02/2020,9,15.97
07/02/2020,10,17.6
07/02/2020,11,18.14
07/02/2020,12,19.32
07/02/2020,13,21.07
07/02/2020,14,24.82
07/02/2020,15,27.87
07/02/2020,16,27.39
07/02/2020,17,29.12
07/02/2020,18,33.55
07/02/2020,19,29.35
07/02/2020,20,27.56
07/02/2020,21,24.92
07/02/2020,22,24.44
07/02/2020,23,21.21
07/02/2020,24,20.06
07/02/2021,1,31.48
07/02/2021,2,28.8
07/02/2021,3,27.09
07/02/2021,4,26.43
07/02/2021,5,26.44
07/02/2021,6,28.2
07/02/2021,7,32.23
07/02/2021,8,36.67
07/02/2021,9,40.04
07/02/2021,10,42.28
07/02/2021,11,42.08
07/02/2021,12,39.9
07/02/2021,13,33.52
07/02/2021,14,37.4
07/02/2021,15,30.74
07/02/2021,16,28.43
07/02/2021,17,29.89
07/02/2021,18,30.98
07/02/2021,19,30.01
07/02/2021,20,28.17
07/02/2021,21,27.25
07/02/2021,22,27.29
07/02/2021,23,26.19
07/02/2021,24,27.07
07/02/2022,1,66.24
07/02/2022,2,57.37
07/02/2022,3,52.65
07/02/2022,4,50.5
07/02/2022,5,49.67
07/02/2022,6,48.37
07/02/2022,7,48.83
07/02/2022,8,51.34
07/02/2022,9,58.82
07/02/2022,10,64.08
07/02/2022,11,58.57
07/02/2022,12,65.09
07/02/2022,13,59.65
07/02/2022,14,63.19
07/02/2022,15,65.56
07/02/2022,16,73.74
07/02/2022,17,77.61
07/02/2022,18,82.09
07/02/2022,19,81.81
07/02/2022,20,78.82
07/02/2022,21,67.41
07/02/2022,22,60.46
07/02/2022,23,50.15
07/02/2022,24,49.26
07/02/2023,1,30.62
07/02/2023,2,30.22
07/02/2023,3,26.29
07/02/2023,4,26.32
07/02/2023,5,26.07
07/02/2023,6,25.43
07/02/2023,7,25.36
07/02/2023,8,25.01
07/02/2023,9,29.15
07/02/2023,10,30.23
07/02/2023,11,32.07
07/02/2023,12,28.76
07/02/2023,13,31.93
07/02/2023,14,30.67
07/02/2023,15,30.28
07/02/2023,16,30.29
07/02/2023,17,31.77
07/02/2023,18,30.33
07/02/2023,19,35.47
07/02/2023,20,35.33
07/02/2023,21,39.34
07/02/2023,22,33.99
07/02/2023,23,33.8
07/02/2023,24,32.16
07/02/2024,1,24.71
07/02/2024,2,25.4
07/02/2024,3,22.87
07/02/2024,4,21.79
07/02/2024,5,21.91
07/02/2024,6,25.35
07/02/2024,7,25.04
07/02/2024,8,28.54
07/02/2024,9,26.23
07/02/2024,10,25.53
07/02/2024,11,25.7
07/02/2024,12,27.26
07/02/2024,13,31.19
07/02/2024,14,26.17
07/02/2024,15,26.74
07/02/2024,16,29.75
07/02/2024,17,31.67
07/02/2024,18,38.25
07/02/2024,19,48.27
07/02/2024,20,42.05
07/02/2024,21,34.09
07/02/2024,22,31.77
07/02/2024,23,29.57
07/02/2024,24,27.92
07/02/2025,1,49.42
07/02/2025,2,48.07
07/02/2025,3,43.07
07/02/2025,4,39.18
07/02/2025,5,39.74
07/02/2025,6,43.05
07/02/2025,7,52.16
07/02/2025,8,44.94
07/02/2025,9,52.49
07/02/2025,10,53.84
07/02/2025,11,49.2
07/02/2025,12,54.05
07/02/2025,13,54.6
07/02/2025,14,56.16
07/02/2025,15,56.02
07/02/2025,16,58.37
07/02/2025,17,75.35
07/02/2025,18,78.04
07/02/2025,19,84.62
07/02/2025,20,79.92
07/02/2025,21,79.54
07/02/2025,22,69.19
07/02/2025,23,51.73
07/02/2025,24,43.23
