timestamp_utc,timestamp_et,gas_mw,gas_pct
2023-12-01 05:00:00+00:00,2023-12-01 00:00:00,39322.0,0.425
2023-12-01 06:00:00+00:00,2023-12-01 01:00:00,39055.0,0.425
2023-12-01 07:00:00+00:00,2023-12-01 02:00:00,39055.0,0.43
2023-12-01 08:00:00+00:00,2023-12-01 03:00:00,38897.0,0.429
2023-12-01 09:00:00+00:00,2023-12-01 04:00:00,39287.0,0.425
2023-12-01 10:00:00+00:00,2023-12-01 05:00:00,40738.0,0.43
2023-12-01 11:00:00+00:00,2023-12-01 06:00:00,43590.0,0.435
2023-12-01 12:00:00+00:00,2023-12-01 07:00:00,45848.0,0.44
2023-12-01 13:00:00+00:00,2023-12-01 08:00:00,46423.0,0.44
2023-12-01 14:00:00+00:00,2023-12-01 09:00:00,46434.0,0.442
2023-12-01 15:00:00+00:00,2023-12-01 10:00:00,47183.0,0.45
2023-12-01 16:00:00+00:00,2023-12-01 11:00:00,47064.0,0.452
2023-12-01 17:00:00+00:00,2023-12-01 12:00:00,47423.0,0.459
2023-12-01 18:00:00+00:00,2023-12-01 13:00:00,46858.0,0.46
2023-12-01 19:00:00+00:00,2023-12-01 14:00:00,47078.0,0.461
2023-12-01 20:00:00+00:00,2023-12-01 15:00:00,46909.0,0.466
2023-12-01 21:00:00+00:00,2023-12-01 16:00:00,47531.0,0.465
2023-12-01 22:00:00+00:00,2023-12-01 17:00:00,47316.0,0.456
2023-12-01 23:00:00+00:00,2023-12-01 18:00:00,47267.0,0.46
2023-12-02 00:00:00+00:00,2023-12-01 19:00:00,46762.0,0.46
2023-12-02 01:00:00+00:00,2023-12-01 20:00:00,44939.0,0.452
2023-12-02 02:00:00+00:00,2023-12-01 21:00:00,43183.0,0.445
2023-12-02 03:00:00+00:00,2023-12-01 22:00:00,41231.0,0.435
2023-12-02 04:00:00+00:00,2023-12-01 23:00:00,38567.0,0.425
2023-12-02 05:00:00+00:00,2023-12-02 00:00:00,36171.0,0.412
2023-12-02 06:00:00+00:00,2023-12-02 01:00:00,35034.0,0.406
2023-12-02 07:00:00+00:00,2023-12-02 02:00:00,34719.0,0.406
2023-12-02 08:00:00+00:00,2023-12-02 03:00:00,34028.0,0.4
2023-12-02 09:00:00+00:00,2023-12-02 04:00:00,34297.0,0.4
2023-12-02 10:00:00+00:00,2023-12-02 05:00:00,35009.0,0.405
2023-12-02 11:00:00+00:00,2023-12-02 06:00:00,35271.0,0.405
2023-12-02 12:00:00+00:00,2023-12-02 07:00:00,36978.0,0.418
2023-12-02 13:00:00+00:00,2023-12-02 08:00:00,38035.0,0.42
2023-12-02 14:00:00+00:00,2023-12-02 09:00:00,38401.0,0.42
2023-12-02 15:00:00+00:00,2023-12-02 10:00:00,39665.0,0.43
2023-12-02 16:00:00+00:00,2023-12-02 11:00:00,40150.0,0.43
2023-12-02 17:00:00+00:00,2023-12-02 12:00:00,40004.0,0.43
2023-12-02 18:00:00+00:00,2023-12-02 13:00:00,39515.0,0.432
2023-12-02 19:00:00+00:00,2023-12-02 14:00:00,39102.0,0.434
2023-12-02 20:00:00+00:00,2023-12-02 15:00:00,39811.0,0.44
2023-12-02 21:00:00+00:00,2023-12-02 16:00:00,40825.0,0.445
2023-12-02 22:00:00+00:00,2023-12-02 17:00:00,41795.0,0.44
2023-12-02 23:00:00+00:00,2023-12-02 18:00:00,42184.0,0.44
2023-12-03 00:00:00+00:00,2023-12-02 19:00:00,42205.0,0.445
2023-12-03 01:00:00+00:00,2023-12-02 20:00:00,41371.0,0.441
2023-12-03 02:00:00+00:00,2023-12-02 21:00:00,40637.0,0.445
2023-12-03 03:00:00+00:00,2023-12-02 22:00:00,38803.0,0.436
2023-12-03 04:00:00+00:00,2023-12-02 23:00:00,36340.0,0.42
2023-12-03 05:00:00+00:00,2023-12-03 00:00:00,34758.0,0.411
2023-12-03 06:00:00+00:00,2023-12-03 01:00:00,33880.0,0.41
2023-12-03 07:00:00+00:00,2023-12-03 02:00:00,33352.0,0.408
2023-12-03 08:00:00+00:00,2023-12-03 03:00:00,33171.0,0.406
2023-12-03 09:00:00+00:00,2023-12-03 04:00:00,33154.0,0.408
2023-12-03 10:00:00+00:00,2023-12-03 05:00:00,33505.0,0.41
2023-12-03 11:00:00+00:00,2023-12-03 06:00:00,33957.0,0.41
2023-12-03 12:00:00+00:00,2023-12-03 07:00:00,34024.0,0.41
2023-12-03 13:00:00+00:00,2023-12-03 08:00:00,35950.0,0.418
2023-12-03 14:00:00+00:00,2023-12-03 09:00:00,36784.0,0.412
2023-12-03 15:00:00+00:00,2023-12-03 10:00:00,36960.0,0.409
2023-12-03 16:00:00+00:00,2023-12-03 11:00:00,36452.0,0.399
2023-12-03 17:00:00+00:00,2023-12-03 12:00:00,36589.0,0.398
2023-12-03 18:00:00+00:00,2023-12-03 13:00:00,36573.0,0.395
2023-12-03 19:00:00+00:00,2023-12-03 14:00:00,36409.0,0.393
2023-12-03 20:00:00+00:00,2023-12-03 15:00:00,37231.0,0.403
2023-12-03 21:00:00+00:00,2023-12-03 16:00:00,38780.0,0.408
2023-12-03 22:00:00+00:00,2023-12-03 17:00:00,40234.0,0.41
2023-12-03 23:00:00+00:00,2023-12-03 18:00:00,41245.0,0.42
2023-12-04 00:00:00+00:00,2023-12-03 19:00:00,41129.0,0.42
2023-12-04 01:00:00+00:00,2023-12-03 20:00:00,41419.0,0.426
2023-12-04 02:00:00+00:00,2023-12-03 21:00:00,39732.0,0.423
2023-12-04 03:00:00+00:00,2023-12-03 22:00:00,38626.0,0.423
2023-12-04 04:00:00+00:00,2023-12-03 23:00:00,37349.0,0.419
2023-12-04 05:00:00+00:00,2023-12-04 00:00:00,36078.0,0.417
2023-12-04 06:00:00+00:00,2023-12-04 01:00:00,35842.0,0.412
2023-12-04 07:00:00+00:00,2023-12-04 02:00:00,35549.0,0.41
2023-12-04 08:00:00+00:00,2023-12-04 03:00:00,35194.0,0.41
2023-12-04 09:00:00+00:00,2023-12-04 04:00:00,35768.0,0.41
2023-12-04 10:00:00+00:00,2023-12-04 05:00:00,37463.0,0.42
2023-12-04 11:00:00+00:00,2023-12-04 06:00:00,41270.0,0.431
2023-12-04 12:00:00+00:00,2023-12-04 07:00:00,44273.0,0.44
2023-12-04 13:00:00+00:00,2023-12-04 08:00:00,45065.0,0.44
2023-12-04 14:00:00+00:00,2023-12-04 09:00:00,44641.0,0.44
2023-12-04 15:00:00+00:00,2023-12-04 10:00:00,43853.0,0.439
2023-12-04 16:00:00+00:00,2023-12-04 11:00:00,44398.0,0.44
2023-12-04 17:00:00+00:00,2023-12-04 12:00:00,43706.0,0.44
2023-12-04 18:00:00+00:00,2023-12-04 13:00:00,43697.0,0.44
2023-12-04 19:00:00+00:00,2023-12-04 14:00:00,43796.0,0.44
2023-12-04 20:00:00+00:00,2023-12-04 15:00:00,44322.0,0.447
2023-12-04 21:00:00+00:00,2023-12-04 16:00:00,46400.0,0.46
2023-12-04 22:00:00+00:00,2023-12-04 17:00:00,48330.0,0.46
2023-12-04 23:00:00+00:00,2023-12-04 18:00:00,48132.0,0.452
2023-12-05 00:00:00+00:00,2023-12-04 19:00:00,47740.0,0.45
2023-12-05 01:00:00+00:00,2023-12-04 20:00:00,47619.0,0.455
2023-12-05 02:00:00+00:00,2023-12-04 21:00:00,46647.0,0.456
2023-12-05 03:00:00+00:00,2023-12-04 22:00:00,43401.0,0.442
2023-12-05 04:00:00+00:00,2023-12-04 23:00:00,41831.0,0.437
