timestamp,utc_timestamp,load_mw
2022-01-01 00:00:00,2022-01-01 05:00:00,4670.679
2022-01-01 00:05:00,2022-01-01 05:05:00,4623.908
2022-01-01 00:10:00,2022-01-01 05:10:00,4642.4116
2022-01-01 00:15:00,2022-01-01 05:15:00,4606.241
2022-01-01 00:20:00,2022-01-01 05:20:00,4589.085
2022-01-01 00:25:00,2022-01-01 05:25:00,4574.2725
2022-01-01 00:30:00,2022-01-01 05:30:00,4573.3516
2022-01-01 00:35:00,2022-01-01 05:35:00,4510.881
2022-01-01 00:40:00,2022-01-01 05:40:00,4510.0913
2022-01-01 00:45:00,2022-01-01 05:45:00,4499.758
2022-01-01 00:50:00,2022-01-01 05:50:00,4513.1025
2022-01-01 00:55:00,2022-01-01 05:55:00,4497.5947
2022-01-01 01:00:00,2022-01-01 06:00:00,4533.3545
2022-01-01 01:05:00,2022-01-01 06:05:00,4437.272
2022-01-01 01:10:00,2022-01-01 06:10:00,4402.066
2022-01-01 01:15:00,2022-01-01 06:15:00,4411.3687
2022-01-01 01:20:00,2022-01-01 06:20:00,4357.5664
2022-01-01 01:25:00,2022-01-01 06:25:00,4374.423
2022-01-01 01:30:00,2022-01-01 06:30:00,4332.5957
2022-01-01 01:35:00,2022-01-01 06:35:00,4330.996
2022-01-01 01:40:00,2022-01-01 06:40:00,4325.8213
2022-01-01 01:45:00,2022-01-01 06:45:00,4314.4316
2022-01-01 01:50:00,2022-01-01 06:50:00,4297.085
2022-01-01 01:55:00,2022-01-01 06:55:00,4305.0767
2022-01-01 02:00:00,2022-01-01 07:00:00,4263.1147
2022-01-01 02:05:00,2022-01-01 07:05:00,4252.369
2022-01-01 02:10:00,2022-01-01 07:10:00,4254.9824
2022-01-01 02:15:00,2022-01-01 07:15:00,4251.515
2022-01-01 02:20:00,2022-01-01 07:20:00,4193.1797
2022-01-01 02:25:00,2022-01-01 07:25:00,4231.309
2022-01-01 02:30:00,2022-01-01 07:30:00,4211.29
2022-01-01 02:35:00,2022-01-01 07:35:00,4193.657
2022-01-01 02:40:00,2022-01-01 07:40:00,4182.447
2022-01-01 02:45:00,2022-01-01 07:45:00,4173.161
2022-01-01 02:50:00,2022-01-01 07:50:00,4150.704
2022-01-01 02:55:00,2022-01-01 07:55:00,4151.2812
2022-01-01 03:00:00,2022-01-01 08:00:00,4143.7563
2022-01-01 03:05:00,2022-01-01 08:05:00,4141.968
2022-01-01 03:10:00,2022-01-01 08:10:00,4123.0957
2022-01-01 03:15:00,2022-01-01 08:15:00,4120.036
2022-01-01 03:20:00,2022-01-01 08:20:00,4125.9785
2022-01-01 03:25:00,2022-01-01 08:25:00,4102.6846
2022-01-01 03:30:00,2022-01-01 08:30:00,4095.6602
2022-01-01 03:35:00,2022-01-01 08:35:00,4086.1348
2022-01-01 03:40:00,2022-01-01 08:40:00,4068.6516
2022-01-01 03:45:00,2022-01-01 08:45:00,4065.4072
2022-01-01 03:50:00,2022-01-01 08:50:00,4058.357
2022-01-01 03:55:00,2022-01-01 08:55:00,4048.894
2022-01-01 04:00:00,2022-01-01 09:00:00,4044.6692
2022-01-01 04:05:00,2022-01-01 09:05:00,4053.9775
2022-01-01 04:10:00,2022-01-01 09:10:00,4049.71
2022-01-01 04:15:00,2022-01-01 09:15:00,4009.382
2022-01-01 04:20:00,2022-01-01 09:20:00,4016.9192
2022-01-01 04:25:00,2022-01-01 09:25:00,4036.5059
2022-01-01 04:30:00,2022-01-01 09:30:00,4031.8467
2022-01-01 04:35:00,2022-01-01 09:35:00,4000.1145
2022-01-01 04:40:00,2022-01-01 09:40:00,4004.87
2022-01-01 04:45:00,2022-01-01 09:45:00,4014.567
2022-01-01 04:50:00,2022-01-01 09:50:00,4004.5586
2022-01-01 04:55:00,2022-01-01 09:55:00,4006.5312
2022-01-01 05:00:00,2022-01-01 10:00:00,3983.7612
2022-01-01 05:05:00,2022-01-01 10:05:00,4010.4792
2022-01-01 05:10:00,2022-01-01 10:10:00,4019.341
2022-01-01 05:15:00,2022-01-01 10:15:00,4027.74
2022-01-01 05:20:00,2022-01-01 10:20:00,4040.4373
2022-01-01 05:25:00,2022-01-01 10:25:00,4031.7021
2022-01-01 05:30:00,2022-01-01 10:30:00,4030.5808
2022-01-01 05:35:00,2022-01-01 10:35:00,4027.3115
2022-01-01 05:40:00,2022-01-01 10:40:00,4043.5723
2022-01-01 05:45:00,2022-01-01 10:45:00,4048.2104
2022-01-01 05:50:00,2022-01-01 10:50:00,4064.6523
2022-01-01 05:55:00,2022-01-01 10:55:00,4053.4058
2022-01-01 06:00:00,2022-01-01 11:00:00,4084.3865
2022-01-01 06:05:00,2022-01-01 11:05:00,4120.2393
2022-01-01 06:10:00,2022-01-01 11:10:00,4116.5327
2022-01-01 06:15:00,2022-01-01 11:15:00,4097.4795
2022-01-01 06:20:00,2022-01-01 11:20:00,4125.196
2022-01-01 06:25:00,2022-01-01 11:25:00,4151.8105
2022-01-01 06:30:00,2022-01-01 11:30:00,4136.4224
2022-01-01 06:35:00,2022-01-01 11:35:00,4143.9824
2022-01-01 06:40:00,2022-01-01 11:40:00,4174.6855
2022-01-01 06:45:00,2022-01-01 11:45:00,4190.603
2022-01-01 06:50:00,2022-01-01 11:50:00,4166.414
2022-01-01 06:55:00,2022-01-01 11:55:00,4121.665
2022-01-01 07:00:00,2022-01-01 12:00:00,4167.764
2022-01-01 07:05:00,2022-01-01 12:05:00,4194.215
2022-01-01 07:10:00,2022-01-01 12:10:00,4226.837
2022-01-01 07:15:00,2022-01-01 12:15:00,4220.581
2022-01-01 07:20:00,2022-01-01 12:20:00,4214.2896
2022-01-01 07:25:00,2022-01-01 12:25:00,4246.9785
2022-01-01 07:30:00,2022-01-01 12:30:00,4228.9473
2022-01-01 07:35:00,2022-01-01 12:35:00,4262.017
2022-01-01 07:40:00,2022-01-01 12:40:00,4257.6904
2022-01-01 07:45:00,2022-01-01 12:45:00,4241.0522
2022-01-01 07:50:00,2022-01-01 12:50:00,4255.567
2022-01-01 07:55:00,2022-01-01 12:55:00,4259.2666
2022-01-01 08:00:00,2022-01-01 13:00:00,4277.0073
2022-01-01 08:05:00,2022-01-01 13:05:00,4288.372
2022-01-01 08:10:00,2022-01-01 13:10:00,4286.023
2022-01-01 08:15:00,2022-01-01 13:15:00,4311.888
2022-01-01 08:20:00,2022-01-01 13:20:00,4345.958
2022-01-01 08:25:00,2022-01-01 13:25:00,4343.1646
2022-01-01 08:30:00,2022-01-01 13:30:00,4371.752
2022-01-01 08:35:00,2022-01-01 13:35:00,4357.0713
2022-01-01 08:40:00,2022-01-01 13:40:00,4368.192
2022-01-01 08:45:00,2022-01-01 13:45:00,4386.1074
2022-01-01 08:50:00,2022-01-01 13:50:00,4278.436
2022-01-01 08:55:00,2022-01-01 13:55:00,4285.5024
2022-01-01 09:00:00,2022-01-01 14:00:00,4307.068
2022-01-01 09:05:00,2022-01-01 14:05:00,4326.863
2022-01-01 09:10:00,2022-01-01 14:10:00,4327.764
2022-01-01 09:15:00,2022-01-01 14:15:00,4359.403
2022-01-01 09:20:00,2022-01-01 14:20:00,4352.979
2022-01-01 09:25:00,2022-01-01 14:25:00,4377.9077
2022-01-01 09:30:00,2022-01-01 14:30:00,4394.4683
