location_id,location_name,location_type
4000,.H.INTERNAL_HUB,HUB
6352,HC.AYER    115,HUB NODE
6368,HC.BARRE   13.8,HUB NODE
6369,HC.BLOMNGDL13.8,HUB NODE
6353,HC.CARPTRHL115,HUB NODE
6354,HC.CARPTRHL345,HUB NODE
6370,HC.E_MAIN_S13.8,HUB NODE
6371,HC.GREENDAL13.8,HUB NODE
6372,HC.LITTLRST13.2,HUB NODE
6373,HC.LUDLOW  13.8,HUB NODE
6355,HC.LUDLOW  345,HUB NODE
6356,HC.MILLBURY115,HUB NODE
6357,HC.MILLBURY345,HUB NODE
6374,HC.NASHUA  13.8,HUB NODE
6367,HC.NORTHFLD345,HUB NODE
6375,HC.N_OXFORD13.2,HUB NODE
6358,HC.NRTHBORO115,HUB NODE
6376,HC.PALMER  13.2,HUB NODE
6377,HC.PAXTON  115,HUB NODE
6359,HC.PRAT_J  115,HUB NODE
6360,HC.PRAT_J  230,HUB NODE
6361,HC.ROLF_AVE13.8,HUB NODE
6362,HC.SANDY_PD115,HUB NODE
6363,HC.SANDY_PD345,HUB NODE
6378,HC.STERLING13.8,HUB NODE
6379,HC.THORNDIK13.2,HUB NODE
6380,HC.VERNONHL13.8    ,HUB NODE
6364,HC.WACHUS  115,HUB NODE
6384,HC.W_BOYLST13.8,HUB NODE
6381,HC.WBSTR_ST13.8,HUB NODE
6385,HC.W_CHRLTN13.2,HUB NODE
6382,HC.WENDLDPT13.8,HUB NODE
6383,HC.WYMNGRDN115,HUB NODE
