pnode_name,type,n,min_p,max_p
CHESTER4,LOAD,408,15.17,76.82
102 PALA,LOAD,384,15.17,76.82
LINCOLN4,EXT,384,15.17,76.82
FACEROCK,GEN,360,15.17,76.82
64 BELLW,LOAD,336,15.17,76.82
18 WILL,LOAD,336,15.17,76.82
POSSUMP4,GEN,336,15.17,76.82
114 NORT,LOAD,312,15.17,76.82
BERRHYD,GEN,288,15.17,76.82
131 W CH,LOAD,288,15.17,76.82
16 WAUKE,LOAD,288,15.17,76.82
SAFEHARB,GEN,288,15.17,76.82
BATHCO,GEN,288,15.17,76.82
103 LISL,LOAD,288,15.17,76.82
56 NO AU,LOAD,288,15.17,76.82
970 UP N,GEN,288,15.17,76.82
EDGEMOOR,GEN,288,15.17,76.82
LINDEN,GEN,288,15.17,76.82
48 HIGHL,LOAD,288,15.17,76.82
BENNING,LOAD,264,15.17,76.82
120 LOMB,LOAD,264,15.17,76.82
CONOWING,GEN,264,15.17,76.82
EFLEMING,GEN,264,15.17,76.82
MARTINSC,GEN,240,15.17,76.82
MIAMIFOR,LOAD,240,15.17,76.82
75 CRYST,LOAD,240,15.17,76.82
WATERFRO,LOAD,240,15.17,76.82
KEARNY,GEN,240,15.17,76.82
POSSUMP4,LOAD,240,15.17,76.82
951 AURO,GEN,240,15.17,76.82
13 CRAWF,LOAD,240,15.17,76.82
BURLINGT,GEN,240,15.17,76.82
MIAMIFOR,GEN,240,15.17,76.82
CHEMICAL,LOAD,240,15.17,76.82
J310,LOAD,240,15.17,76.82
ROCKHILL,LOAD,240,15.17,76.82
BUCHANAN,GEN,240,15.17,76.82
COOKSTOW,GEN,216,15.17,76.82
AMOS,LOAD,216,15.17,76.82
EASTLAKE,LOAD,216,15.17,76.82
BIGSANDY,LOAD,216,15.17,76.82
111 ELEC,LOAD,216,15.17,76.82
CALLOWHI,LOAD,216,15.17,76.82
SAMMISFE,LOAD,216,15.17,76.82
121 FREE,LOAD,216,15.17,76.82
NRTHNECK,GEN,216,15.17,76.82
BERGEN,GEN,216,15.17,76.82
KAMMER2,LOAD,216,15.17,76.82
ROCKSPRI,GEN,216,15.17,76.82
73 CHI H,LOAD,216,15.17,76.82
