delivery_date,hour_ending,dam_price_usd_per_mwh
2024-07-01,1,19.94
2024-07-01,2,18.37
2024-07-01,3,17.79
2024-07-01,4,17.63
2024-07-01,5,17.88
2024-07-01,6,18.37
2024-07-01,7,19.43
2024-07-01,8,17.66
2024-07-01,9,12.71
2024-07-01,10,8.67
2024-07-01,11,8.45
2024-07-01,12,9.42
2024-07-01,13,7.33
2024-07-01,14,7.67
2024-07-01,15,7.07
2024-07-01,16,8.14
2024-07-01,17,6.28
2024-07-01,18,5.75
2024-07-01,19,5.09
2024-07-01,20,21.07
2024-07-01,21,36.51
2024-07-01,22,27.86
2024-07-01,23,21.37
2024-07-01,24,13.86
2024-07-02,1,7.91
2024-07-02,2,5.91
2024-07-02,3,6.62
2024-07-02,4,6.04
2024-07-02,5,8.46
2024-07-02,6,13.87
2024-07-02,7,13.91
2024-07-02,8,7.77
2024-07-02,9,-2.03
2024-07-02,10,-3.86
2024-07-02,11,-1.76
2024-07-02,12,-1.33
2024-07-02,13,1.43
2024-07-02,14,4.59
2024-07-02,15,8.53
2024-07-02,16,13.96
2024-07-02,17,12.83
2024-07-02,18,11.82
2024-07-02,19,12.4
2024-07-02,20,33.86
2024-07-02,21,46.44
2024-07-02,22,29.7
2024-07-02,23,22.04
2024-07-02,24,17.7
2024-07-03,1,13.85
2024-07-03,2,12.72
2024-07-03,3,12.74
2024-07-03,4,14.05
2024-07-03,5,14.79
2024-07-03,6,15.83
2024-07-03,7,16.27
2024-07-03,8,13.58
2024-07-03,9,9.62
2024-07-03,10,7.07
2024-07-03,11,9.07
2024-07-03,12,14.63
2024-07-03,13,17.76
2024-07-03,14,24.05
2024-07-03,15,23.31
2024-07-03,16,24.18
2024-07-03,17,21.51
2024-07-03,18,18.02
2024-07-03,19,18.41
2024-07-03,20,40.64
2024-07-03,21,46.72
2024-07-03,22,28.15
2024-07-03,23,25.87
2024-07-03,24,20.52
2024-07-04,1,18.2
2024-07-04,2,15.09
2024-07-04,3,13.31
2024-07-04,4,12.49
2024-07-04,5,12.7
2024-07-04,6,13.55
2024-07-04,7,12.97
2024-07-04,8,11.48
2024-07-04,9,8.34
2024-07-04,10,5.52
2024-07-04,11,10.81
2024-07-04,12,17.0
2024-07-04,13,20.39
2024-07-04,14,26.82
2024-07-04,15,28.38
2024-07-04,16,30.89
2024-07-04,17,36.94
2024-07-04,18,40.17
2024-07-04,19,43.69
2024-07-04,20,88.75
2024-07-04,21,87.11
2024-07-04,22,44.66
2024-07-04,23,32.33
2024-07-04,24,24.99
