date_local,hour_ending,utc_timestamp,cleared_demand_mw
12/31/2022,24,2023-01-01 05:00:00+00:00,10147.0
01/01/2023,1,2023-01-01 06:00:00+00:00,9825.0
01/01/2023,2,2023-01-01 07:00:00+00:00,9322.0
01/01/2023,3,2023-01-01 08:00:00+00:00,9366.0
01/01/2023,4,2023-01-01 09:00:00+00:00,9316.0
01/01/2023,5,2023-01-01 10:00:00+00:00,9668.0
01/01/2023,6,2023-01-01 11:00:00+00:00,9814.0
01/01/2023,7,2023-01-01 12:00:00+00:00,10244.0
01/01/2023,8,2023-01-01 13:00:00+00:00,10183.0
01/01/2023,9,2023-01-01 14:00:00+00:00,10539.0
01/01/2023,10,2023-01-01 15:00:00+00:00,10889.0
01/01/2023,11,2023-01-01 16:00:00+00:00,11039.0
01/01/2023,12,2023-01-01 17:00:00+00:00,11128.0
01/01/2023,13,2023-01-01 18:00:00+00:00,11162.0
01/01/2023,14,2023-01-01 19:00:00+00:00,11166.0
01/01/2023,15,2023-01-01 20:00:00+00:00,11412.0
01/01/2023,16,2023-01-01 21:00:00+00:00,12053.0
01/01/2023,17,2023-01-01 22:00:00+00:00,13304.0
01/01/2023,18,2023-01-01 23:00:00+00:00,13804.0
01/01/2023,19,2023-01-02 00:00:00+00:00,13718.0
01/01/2023,20,2023-01-02 01:00:00+00:00,13372.0
01/01/2023,21,2023-01-02 02:00:00+00:00,12895.0
01/01/2023,22,2023-01-02 03:00:00+00:00,12029.0
01/01/2023,23,2023-01-02 04:00:00+00:00,11167.0
01/01/2023,24,2023-01-02 05:00:00+00:00,10548.0
01/02/2023,1,2023-01-02 06:00:00+00:00,10210.0
01/02/2023,2,2023-01-02 07:00:00+00:00,9967.0
01/02/2023,3,2023-01-02 08:00:00+00:00,10058.0
01/02/2023,4,2023-01-02 09:00:00+00:00,10054.0
01/02/2023,5,2023-01-02 10:00:00+00:00,10292.0
01/02/2023,6,2023-01-02 11:00:00+00:00,10418.0
01/02/2023,7,2023-01-02 12:00:00+00:00,11090.0
01/02/2023,8,2023-01-02 13:00:00+00:00,11767.0
01/02/2023,9,2023-01-02 14:00:00+00:00,12291.0
01/02/2023,10,2023-01-02 15:00:00+00:00,12093.0
01/02/2023,11,2023-01-02 16:00:00+00:00,11818.0
01/02/2023,12,2023-01-02 17:00:00+00:00,11585.0
01/02/2023,13,2023-01-02 18:00:00+00:00,11617.0
01/02/2023,14,2023-01-02 19:00:00+00:00,11461.0
01/02/2023,15,2023-01-02 20:00:00+00:00,11656.0
01/02/2023,16,2023-01-02 21:00:00+00:00,12805.0
01/02/2023,17,2023-01-02 22:00:00+00:00,14046.0
01/02/2023,18,2023-01-02 23:00:00+00:00,14769.0
01/02/2023,19,2023-01-03 00:00:00+00:00,14749.0
01/02/2023,20,2023-01-03 01:00:00+00:00,14233.0
01/02/2023,21,2023-01-03 02:00:00+00:00,13633.0
01/02/2023,22,2023-01-03 03:00:00+00:00,12612.0
01/02/2023,23,2023-01-03 04:00:00+00:00,11699.0
01/02/2023,24,2023-01-03 05:00:00+00:00,10890.0
01/03/2023,1,2023-01-03 06:00:00+00:00,11088.0
01/03/2023,2,2023-01-03 07:00:00+00:00,10974.0
01/03/2023,3,2023-01-03 08:00:00+00:00,10891.0
01/03/2023,4,2023-01-03 09:00:00+00:00,11052.0
01/03/2023,5,2023-01-03 10:00:00+00:00,10830.0
01/03/2023,6,2023-01-03 11:00:00+00:00,11076.0
