timestamp_utc,timestamp_est,fuel_type,mw,fuel_percentage_of_total,is_renewable
2023-12-01 00:00:00+00:00,2023-11-30 19:00:00,Gas,45292.0,0.432,false
2023-12-01 01:00:00+00:00,2023-11-30 20:00:00,Gas,45027.0,0.435,false
2023-12-01 02:00:00+00:00,2023-11-30 21:00:00,Gas,44154.0,0.437,false
2023-12-01 03:00:00+00:00,2023-11-30 22:00:00,Gas,42689.0,0.435,false
2023-12-01 04:00:00+00:00,2023-11-30 23:00:00,Gas,40773.0,0.429,false
2023-12-01 05:00:00+00:00,2023-12-01 00:00:00,Gas,39322.0,0.425,false
2023-12-01 06:00:00+00:00,2023-12-01 01:00:00,Gas,39055.0,0.425,false
2023-12-01 07:00:00+00:00,2023-12-01 02:00:00,Gas,39055.0,0.43,false
2023-12-01 08:00:00+00:00,2023-12-01 03:00:00,Gas,38897.0,0.429,false
2023-12-01 09:00:00+00:00,2023-12-01 04:00:00,Gas,39287.0,0.425,false
2023-12-01 10:00:00+00:00,2023-12-01 05:00:00,Gas,40738.0,0.43,false
2023-12-01 11:00:00+00:00,2023-12-01 06:00:00,Gas,43590.0,0.435,false
2023-12-01 12:00:00+00:00,2023-12-01 07:00:00,Gas,45848.0,0.44,false
2023-12-01 13:00:00+00:00,2023-12-01 08:00:00,Gas,46423.0,0.44,false
2023-12-01 14:00:00+00:00,2023-12-01 09:00:00,Gas,46434.0,0.442,false
2023-12-01 15:00:00+00:00,2023-12-01 10:00:00,Gas,47183.0,0.45,false
2023-12-01 16:00:00+00:00,2023-12-01 11:00:00,Gas,47064.0,0.452,false
2023-12-01 17:00:00+00:00,2023-12-01 12:00:00,Gas,47423.0,0.459,false
2023-12-01 18:00:00+00:00,2023-12-01 13:00:00,Gas,46858.0,0.46,false
2023-12-01 19:00:00+00:00,2023-12-01 14:00:00,Gas,47078.0,0.461,false
2023-12-01 20:00:00+00:00,2023-12-01 15:00:00,Gas,46909.0,0.466,false
2023-12-01 21:00:00+00:00,2023-12-01 16:00:00,Gas,47531.0,0.465,false
2023-12-01 22:00:00+00:00,2023-12-01 17:00:00,Gas,47316.0,0.456,false
2023-12-01 23:00:00+00:00,2023-12-01 18:00:00,Gas,47267.0,0.46,false
2023-12-02 00:00:00+00:00,2023-12-01 19:00:00,Gas,46762.0,0.46,false
2023-12-02 01:00:00+00:00,2023-12-01 20:00:00,Gas,44939.0,0.452,false
2023-12-02 02:00:00+00:00,2023-12-01 21:00:00,Gas,43183.0,0.445,false
2023-12-02 03:00:00+00:00,2023-12-01 22:00:00,Gas,41231.0,0.435,false
2023-12-02 04:00:00+00:00,2023-12-01 23:00:00,Gas,38567.0,0.425,false
2023-12-02 05:00:00+00:00,2023-12-02 00:00:00,Gas,36171.0,0.412,false
2023-12-02 06:00:00+00:00,2023-12-02 01:00:00,Gas,35034.0,0.406,false
2023-12-02 07:00:00+00:00,2023-12-02 02:00:00,Gas,34719.0,0.406,false
2023-12-02 08:00:00+00:00,2023-12-02 03:00:00,Gas,34028.0,0.4,false
2023-12-02 09:00:00+00:00,2023-12-02 04:00:00,Gas,34297.0,0.4,false
2023-12-02 10:00:00+00:00,2023-12-02 05:00:00,Gas,35009.0,0.405,false
2023-12-02 11:00:00+00:00,2023-12-02 06:00:00,Gas,35271.0,0.405,false
2023-12-02 12:00:00+00:00,2023-12-02 07:00:00,Gas,36978.0,0.418,false
2023-12-02 13:00:00+00:00,2023-12-02 08:00:00,Gas,38035.0,0.42,false
2023-12-02 14:00:00+00:00,2023-12-02 09:00:00,Gas,38401.0,0.42,false
2023-12-02 15:00:00+00:00,2023-12-02 10:00:00,Gas,39665.0,0.43,false
2023-12-02 16:00:00+00:00,2023-12-02 11:00:00,Gas,40150.0,0.43,false
2023-12-02 17:00:00+00:00,2023-12-02 12:00:00,Gas,40004.0,0.43,false
2023-12-02 18:00:00+00:00,2023-12-02 13:00:00,Gas,39515.0,0.432,false
2023-12-02 19:00:00+00:00,2023-12-02 14:00:00,Gas,39102.0,0.434,false
2023-12-02 20:00:00+00:00,2023-12-02 15:00:00,Gas,39811.0,0.44,false
2023-12-02 21:00:00+00:00,2023-12-02 16:00:00,Gas,40825.0,0.445,false
2023-12-02 22:00:00+00:00,2023-12-02 17:00:00,Gas,41795.0,0.44,false
2023-12-02 23:00:00+00:00,2023-12-02 18:00:00,Gas,42184.0,0.44,false
2023-12-03 00:00:00+00:00,2023-12-02 19:00:00,Gas,42205.0,0.445,false
2023-12-03 01:00:00+00:00,2023-12-02 20:00:00,Gas,41371.0,0.441,false
2023-12-03 02:00:00+00:00,2023-12-02 21:00:00,Gas,40637.0,0.445,false
2023-12-03 03:00:00+00:00,2023-12-02 22:00:00,Gas,38803.0,0.436,false
2023-12-03 04:00:00+00:00,2023-12-02 23:00:00,Gas,36340.0,0.42,false
2023-12-03 05:00:00+00:00,2023-12-03 00:00:00,Gas,34758.0,0.411,false
2023-12-03 06:00:00+00:00,2023-12-03 01:00:00,Gas,33880.0,0.41,false
2023-12-03 07:00:00+00:00,2023-12-03 02:00:00,Gas,33352.0,0.408,false
2023-12-03 08:00:00+00:00,2023-12-03 03:00:00,Gas,33171.0,0.406,false
2023-12-03 09:00:00+00:00,2023-12-03 04:00:00,Gas,33154.0,0.408,false
2023-12-03 10:00:00+00:00,2023-12-03 05:00:00,Gas,33505.0,0.41,false
2023-12-03 11:00:00+00:00,2023-12-03 06:00:00,Gas,33957.0,0.41,false
2023-12-03 12:00:00+00:00,2023-12-03 07:00:00,Gas,34024.0,0.41,false
2023-12-03 13:00:00+00:00,2023-12-03 08:00:00,Gas,35950.0,0.418,false
2023-12-03 14:00:00+00:00,2023-12-03 09:00:00,Gas,36784.0,0.412,false
2023-12-03 15:00:00+00:00,2023-12-03 10:00:00,Gas,36960.0,0.409,false
2023-12-03 16:00:00+00:00,2023-12-03 11:00:00,Gas,36452.0,0.399,false
2023-12-03 17:00:00+00:00,2023-12-03 12:00:00,Gas,36589.0,0.398,false
2023-12-03 18:00:00+00:00,2023-12-03 13:00:00,Gas,36573.0,0.395,false
2023-12-03 19:00:00+00:00,2023-12-03 14:00:00,Gas,36409.0,0.393,false
2023-12-03 20:00:00+00:00,2023-12-03 15:00:00,Gas,37231.0,0.403,false
2023-12-03 21:00:00+00:00,2023-12-03 16:00:00,Gas,38780.0,0.408,false
2023-12-03 22:00:00+00:00,2023-12-03 17:00:00,Gas,40234.0,0.41,false
2023-12-03 23:00:00+00:00,2023-12-03 18:00:00,Gas,41245.0,0.42,false
2023-12-04 00:00:00+00:00,2023-12-03 19:00:00,Gas,41129.0,0.42,false
2023-12-04 01:00:00+00:00,2023-12-03 20:00:00,Gas,41419.0,0.426,false
2023-12-04 02:00:00+00:00,2023-12-03 21:00:00,Gas,39732.0,0.423,false
2023-12-04 03:00:00+00:00,2023-12-03 22:00:00,Gas,38626.0,0.423,false
2023-12-04 04:00:00+00:00,2023-12-03 23:00:00,Gas,37349.0,0.419,false
2023-12-04 05:00:00+00:00,2023-12-04 00:00:00,Gas,36078.0,0.417,false
2023-12-04 06:00:00+00:00,2023-12-04 01:00:00,Gas,35842.0,0.412,false
2023-12-04 07:00:00+00:00,2023-12-04 02:00:00,Gas,35549.0,0.41,false
2023-12-04 08:00:00+00:00,2023-12-04 03:00:00,Gas,35194.0,0.41,false
2023-12-04 09:00:00+00:00,2023-12-04 04:00:00,Gas,35768.0,0.41,false
2023-12-04 10:00:00+00:00,2023-12-04 05:00:00,Gas,37463.0,0.42,false
2023-12-04 11:00:00+00:00,2023-12-04 06:00:00,Gas,41270.0,0.431,false
2023-12-04 12:00:00+00:00,2023-12-04 07:00:00,Gas,44273.0,0.44,false
2023-12-04 13:00:00+00:00,2023-12-04 08:00:00,Gas,45065.0,0.44,false
2023-12-04 14:00:00+00:00,2023-12-04 09:00:00,Gas,44641.0,0.44,false
2023-12-04 15:00:00+00:00,2023-12-04 10:00:00,Gas,43853.0,0.439,false
2023-12-04 16:00:00+00:00,2023-12-04 11:00:00,Gas,44398.0,0.44,false
2023-12-04 17:00:00+00:00,2023-12-04 12:00:00,Gas,43706.0,0.44,false
2023-12-04 18:00:00+00:00,2023-12-04 13:00:00,Gas,43697.0,0.44,false
2023-12-04 19:00:00+00:00,2023-12-04 14:00:00,Gas,43796.0,0.44,false
2023-12-04 20:00:00+00:00,2023-12-04 15:00:00,Gas,44322.0,0.447,false
2023-12-04 21:00:00+00:00,2023-12-04 16:00:00,Gas,46400.0,0.46,false
2023-12-04 22:00:00+00:00,2023-12-04 17:00:00,Gas,48330.0,0.46,false
2023-12-04 23:00:00+00:00,2023-12-04 18:00:00,Gas,48132.0,0.452,false
