hour_utc,hour_est,avg_gas_generation_mw,min_gas_generation_mw,max_gas_generation_mw,avg_percentage_of_total
0,19,43847.00,41129.00,46762.00,0.4393
1,20,43189.00,41371.00,45027.00,0.4385
2,21,41926.50,39732.00,44154.00,0.4375
3,22,40337.25,38626.00,42689.00,0.4323
4,23,38257.25,36340.00,40773.00,0.4233
5,0,36582.25,34758.00,39322.00,0.4163
6,1,35952.75,33880.00,39055.00,0.4133
7,2,35668.75,33352.00,39055.00,0.4135
8,3,35322.50,33171.00,38897.00,0.4113
9,4,35626.50,33154.00,39287.00,0.4108
10,5,36678.75,33505.00,40738.00,0.4163
11,6,38522.00,33957.00,43590.00,0.4203
12,7,40280.75,34024.00,45848.00,0.4270
13,8,41368.25,35950.00,46423.00,0.4295
14,9,41565.00,36784.00,46434.00,0.4285
15,10,41915.25,36960.00,47183.00,0.4320
16,11,42016.00,36452.00,47064.00,0.4303
17,12,41930.50,36589.00,47423.00,0.4318
18,13,41660.75,36573.00,46858.00,0.4318
19,14,41596.25,36409.00,47078.00,0.4320
20,15,42068.25,37231.00,46909.00,0.4390
21,16,43384.00,38780.00,47531.00,0.4445
22,17,44418.75,40234.00,48330.00,0.4415
23,18,44707.00,41245.00,48132.00,0.4430
