year,month,avg_monthly_wind_mw,max_monthly_wind_mw,monthly_generation_gwh
2020,1,565.24,1774.00,419.27
2020,2,563.88,1737.00,391.80
2020,3,655.76,1736.00,487.01
2020,4,621.72,1719.00,447.22
2020,5,447.17,1547.00,332.40
2020,6,331.67,1541.00,238.64
2020,7,318.27,1287.00,236.79
2020,8,312.03,1234.00,232.10
2020,9,436.65,1511.00,314.39
2020,10,494.04,1661.00,367.49
2020,11,769.43,1644.00,554.63
2020,12,625.70,1713.00,464.42
2021,1,396.84,1461.00,294.92
2021,2,491.21,1541.00,329.93
2021,3,756.91,1717.00,562.38
2021,4,453.10,1697.00,326.20
2021,5,367.47,1496.00,273.27
2021,6,464.69,1361.00,334.00
2021,7,251.31,1361.00,186.97
2021,8,254.48,1080.00,189.06
2021,9,442.97,1677.00,318.68
2021,10,450.68,1660.00,335.31
2021,11,583.08,1717.00,420.35
2021,12,738.60,1911.00,549.40
2022,1,572.75,1846.00,426.12
2022,2,784.84,1908.00,527.41
2022,3,746.18,1880.00,554.41
2022,4,649.73,1792.00,467.64
2022,5,425.68,1558.00,316.70
2022,6,462.46,1660.00,332.93
2022,7,414.54,1553.00,308.42
2022,8,288.70,1454.00,214.79
2022,9,337.09,1361.00,242.71
2022,10,545.90,1655.50,406.15
2022,11,751.53,1772.00,541.79
2022,12,716.11,1780.00,532.61
2023,1,426.28,1487.33,317.08
2023,2,773.62,1779.33,519.81
2023,3,658.98,1653.00,489.62
2023,4,621.01,1747.00,446.76
2023,5,444.03,1673.00,330.36
2023,6,298.22,1370.00,214.20
2023,7,313.44,1646.00,233.20
2023,8,401.29,1459.00,298.43
2023,9,296.28,1478.00,213.32
2023,10,605.45,1964.00,449.95
2023,11,865.39,2207.00,622.21
2023,12,732.65,2160.00,544.78
2024,1,719.44,2086.00,535.15
2024,2,798.08,2120.00,555.39
2024,3,899.00,2232.00,667.96
2024,4,825.95,2256.00,594.68
2024,5,517.92,2050.00,385.25
2024,6,631.43,2142.00,454.63
2024,7,375.91,1479.00,279.67
2024,8,463.30,1774.00,344.66
2024,9,487.40,1952.50,350.93
2024,10,733.17,2173.00,544.14
2024,11,1018.17,2239.00,734.10
2024,12,901.79,2338.00,670.55
