zone,pnode_name,type
AEP,18THSTHT,LOAD
AEP,21JOHNST,LOAD
AEP,21JSTJNC,LOAD
AEP,21NWHTH,LOAD
AEP,21SHAWN,LOAD
AEP,21TREATY,LOAD
AEP,21WILBRG,LOAD
AEP,21WWVSTA,GEN
AEP,23RDSTRE,LOAD
AEP,29THST,LOAD
AEP,32NDSTRE,LOAD
AEP,3MIM,LOAD
AEP,ABERT,LOAD
AEP,ABINGDON,LOAD
AEP,ACADEMIA,LOAD
AEP,ADA,LOAD
AEP,ADAMSAEP,LOAD
AEP,ADAMSIM,LOAD
AEP,ADDISON,LOAD
AEP,ADENA,LOAD
AEP,ADKINS,GEN
AEP,ADOBESW,LOAD
AEP,AGAGAS1,LOAD
AEP,AGNERSW,LOAD
AEP,AKSTEEL,LOAD
AEP,ALADDIN,LOAD
AEP,ALBIONIM,LOAD
AEP,ALBIONRE,LOAD
AEP,ALLEDONI,LOAD
AEP,ALLENAEP,LOAD
AEP,ALLOY,GEN
AEP,ALLOY,LOAD
AEP,ALMENA,LOAD
AEP,ALPINES,LOAD
AEP,ALUMRIDG,LOAD
AEP,AMALLOY,LOAD
AEP,AMBLERR,LOAD
AEP,AMERIPLX,LOAD
AEP,AMHERST,LOAD
AEP,AMLIN,LOAD
AEP,AMOS,EHV
AEP,AMOS,GEN
AEP,AMOS,LOAD
AEP,AMPOR,GEN
AEP,AMPOR,LOAD
AEP,AMSTERDA,LOAD
AEP,ANCHORHO,LOAD
AEP,ANDREWSU,LOAD
AEP,ANGUIN,LOAD
AEP,ANTHONY,LOAD
