date,hour,day_of_week,month,avg_load_mw,data_points
2020-01-01,0,3,1,4920.525000000001,12
2020-01-01,1,3,1,4782.291666666666,12
2020-01-01,2,3,1,4639.833333333333,12
2020-01-01,3,3,1,4522.441666666667,12
2020-01-01,4,3,1,4460.575,12
2020-01-01,5,3,1,4490.233333333334,12
2020-01-01,6,3,1,4596.716666666667,12
2020-01-01,7,3,1,4702.108333333333,12
2020-01-01,8,3,1,4813.458333333333,12
2020-01-01,9,3,1,4978.158333333334,12
2020-01-01,10,3,1,5098.958333333334,12
2020-01-01,11,3,1,5218.791666666667,12
2020-01-01,12,3,1,5374.716666666666,12
2020-01-01,13,3,1,5470.483333333334,12
2020-01-01,14,3,1,5501.991666666666,12
2020-01-01,15,3,1,5556.358333333334,12
2020-01-01,16,3,1,5663.733333333334,12
2020-01-01,17,3,1,5853.8,12
2020-01-01,18,3,1,5866.033333333333,12
2020-01-01,19,3,1,5822.408333333333,12
2020-01-01,20,3,1,5736.925,12
2020-01-01,21,3,1,5618.599999999999,12
2020-01-01,22,3,1,5390.283333333334,12
2020-01-01,23,3,1,5092.291666666667,12
2020-01-02,0,4,1,4832.575000000001,12
2020-01-02,1,4,1,4658.208333333333,12
2020-01-02,2,4,1,4548.166666666667,12
2020-01-02,3,4,1,4498.775,12
2020-01-02,4,4,1,4541.3,12
2020-01-02,5,4,1,4742.675,12
2020-01-02,6,4,1,5206.883333333334,12
2020-01-02,7,4,1,5710.591666666667,12
2020-01-02,8,4,1,6004.749999999999,12
2020-01-02,9,4,1,6152.591666666667,12
2020-01-02,10,4,1,6204.333333333333,12
2020-01-02,11,4,1,6212.833333333335,12
2020-01-02,12,4,1,6216.825,12
2020-01-02,13,4,1,6235.791666666668,12
2020-01-02,14,4,1,6182.833333333332,12
2020-01-02,15,4,1,6203.833333333333,12
2020-01-02,16,4,1,6295.8,12
2020-01-02,17,4,1,6474.283333333334,12
2020-01-02,18,4,1,6371.850000000001,12
2020-01-02,19,4,1,6196.066666666666,12
2020-01-02,20,4,1,5994.816666666667,12
2020-01-02,21,4,1,5769.741666666666,12
2020-01-02,22,4,1,5455.05,12
2020-01-02,23,4,1,5084.016666666666,12
2020-01-03,0,5,1,4757.904166666666,12
2020-01-03,1,5,1,4543.275000000001,12
2020-01-03,2,5,1,4402.508333333334,12
2020-01-03,3,5,1,4332.258333333334,12
2020-01-03,4,5,1,4340.1833333333325,12
2020-01-03,5,5,1,4540.366666666666,12
2020-01-03,6,5,1,5000.2,12
2020-01-03,7,5,1,5492.441666666666,12
2020-01-03,8,5,1,5844.802777777778,12
2020-01-03,9,5,1,6081.091666666666,12
2020-01-03,10,5,1,6190.591666666667,12
2020-01-03,11,5,1,6230.616666666666,12
2020-01-03,12,5,1,6252.749999999999,12
2020-01-03,13,5,1,6232.241666666668,12
2020-01-03,14,5,1,6210.366666666666,12
2020-01-03,15,5,1,6207.650000000001,12
2020-01-03,16,5,1,6276.408333333333,12
2020-01-03,17,5,1,6376.083333333333,12
2020-01-03,18,5,1,6216.608333333333,12
2020-01-03,19,5,1,6031.341666666668,12
2020-01-03,20,5,1,5836.0,12
2020-01-03,21,5,1,5634.124999999999,12
2020-01-03,22,5,1,5364.108333333334,12
2020-01-03,23,5,1,5072.250000000001,12
2020-01-04,0,6,1,4765.133333333332,12
2020-01-04,1,6,1,4551.283333333334,12
2020-01-04,2,6,1,4408.041666666667,12
2020-01-04,3,6,1,4316.241666666666,12
2020-01-04,4,6,1,4290.791666666667,12
2020-01-04,5,6,1,4343.616666666667,12
2020-01-04,6,6,1,4496.433333333333,12
2020-01-04,7,6,1,4732.166666666667,12
2020-01-04,8,6,1,4951.891666666667,12
2020-01-04,9,6,1,5190.35,12
2020-01-04,10,6,1,5391.1083333333345,12
2020-01-04,11,6,1,5513.858333333334,12
2020-01-04,12,6,1,5555.466666666667,12
2020-01-04,13,6,1,5547.633333333334,12
2020-01-04,14,6,1,5523.691666666667,12
2020-01-04,15,6,1,5503.375000000001,12
2020-01-04,16,6,1,5556.308333333333,12
2020-01-04,17,6,1,5698.983333333334,12
2020-01-04,18,6,1,5693.575,12
2020-01-04,19,6,1,5628.916666666667,12
2020-01-04,20,6,1,5526.416666666667,12
2020-01-04,21,6,1,5418.391666666666,12
2020-01-04,22,6,1,5260.483333333334,12
2020-01-04,23,6,1,5050.283333333333,12
2020-01-05,0,0,1,4652.016666666666,12
2020-01-05,1,0,1,4430.558333333333,12
2020-01-05,2,0,1,4453.191666666667,12
2020-01-05,3,0,1,4400.966666666667,12
2020-01-05,4,0,1,4385.516666666667,12
2020-01-05,5,0,1,4439.941666666667,12
2020-01-05,6,0,1,4559.416666666666,12
2020-01-05,7,0,1,4714.075,12
2020-01-05,8,0,1,4916.391666666667,12
2020-01-05,9,0,1,5127.358333333333,12
2020-01-05,10,0,1,5269.516666666666,12
2020-01-05,11,0,1,5368.366666666667,12
2020-01-05,12,0,1,5454.075,12
2020-01-05,13,0,1,5472.616666666666,12
2020-01-05,14,0,1,5502.524999999999,12
2020-01-05,15,0,1,5532.741666666666,12
2020-01-05,16,0,1,5652.116666666666,12
2020-01-05,17,0,1,5905.55,12
2020-01-05,18,0,1,5944.566666666667,12
2020-01-05,19,0,1,5896.916666666667,12
2020-01-05,20,0,1,5806.000000000001,12
2020-01-05,21,0,1,5649.974999999999,12
2020-01-05,22,0,1,5390.897222222222,12
2020-01-05,23,0,1,5077.3916666666655,12
2020-01-06,0,1,1,4814.291666666667,12
2020-01-06,1,1,1,4673.908333333334,12
2020-01-06,2,1,1,4564.633333333333,12
2020-01-06,3,1,1,4512.916666666667,12
2020-01-06,4,1,1,4552.891666666666,12
2020-01-06,5,1,1,4783.316666666667,12
2020-01-06,6,1,1,5258.075,12
2020-01-06,7,1,1,5792.900000000001,12
2020-01-06,8,1,1,6123.591666666667,12
2020-01-06,9,1,1,6347.819444444444,12
2020-01-06,10,1,1,6436.8499999999985,12
2020-01-06,11,1,1,6401.629166666667,12
2020-01-06,12,1,1,6333.975000000001,12
2020-01-06,13,1,1,6348.708333333333,12
2020-01-06,14,1,1,6297.683333333333,12
2020-01-06,15,1,1,6328.150000000001,12
2020-01-06,16,1,1,6406.0694444444425,12
2020-01-06,17,1,1,6573.541666666667,12
2020-01-06,18,1,1,6481.508333333334,12
2020-01-06,19,1,1,6321.475000000001,12
2020-01-06,20,1,1,6124.875,12
2020-01-06,21,1,1,5896.3,12
2020-01-06,22,1,1,5564.633333333334,12
2020-01-06,23,1,1,5183.2138888888885,12
2020-01-07,0,2,1,4834.647222222223,12
2020-01-07,1,2,1,4626.041666666667,12
2020-01-07,2,2,1,4499.108333333333,12
2020-01-07,3,2,1,4445.666666666667,12
2020-01-07,4,2,1,4477.575,12
2020-01-07,5,2,1,4707.941666666667,12
2020-01-07,6,2,1,5207.666666666666,12
2020-01-07,7,2,1,5746.783333333333,12
2020-01-07,8,2,1,6067.833333333333,12
