hour_of_day,day_of_week,avg_load_mw,std_load_mw,min_load_mw,max_load_mw,count
0,0,4898.2338196802975,740.099915570839,4121.1846,7200.495,636
1,0,4680.443907355966,705.2319220103478,3961.523,6879.241,648
2,0,4536.877702083339,683.3614422602298,3838.8965,6672.676,624
3,0,4427.764610691817,650.4211709238996,3764.588,6530.6465,636
4,0,4367.999962735848,629.9430898899186,3731.8364,6432.2812,636
5,0,4377.759270125788,611.1200776463878,3735.332,6406.326,636
6,0,4451.728848584899,589.7298120582833,3768.3777,6425.353,636
7,0,4582.750919968553,591.836937461321,3872.2878,6525.113,636
8,0,4767.0983129978995,613.4364989388581,4021.885,6721.0312,636
9,0,4963.634803459122,652.1878969283679,4176.3306,6937.502,636
10,0,5139.455973401464,696.3289034585905,4342.627,7186.6597,636
11,0,5276.585675288255,732.2311755987716,4479.429,7379.712,636
12,0,5374.563501493705,775.3151608311241,4505.17,7478.338,636
13,0,5426.6495503930855,806.5485448711689,4494.3228,7484.205,636
14,0,5469.1605625262,841.3355388643572,4458.55,7546.3135,636
15,0,5511.584310246332,860.43132764615,4465.157,7554.4707,636
16,0,5583.1626401991625,871.0158112264768,4495.7695,7590.738,636
17,0,5669.595676415092,850.5062564950305,4551.369,7626.2783,636
18,0,5690.872763967508,806.6787312495793,4660.248,7592.995,636
19,0,5665.869958333332,773.4600149910593,4753.209,7544.092,636
20,0,5624.258689570228,780.9755474806944,4790.4316,7493.123,636
21,0,5534.534150183434,810.9359150928051,4665.5254,7461.4043,636
22,0,5344.821780987953,817.1221915023408,4464.412,7370.6113,636
23,0,5094.1923984538835,805.851710824965,4219.589,7113.6714,636
0,1,4859.932814262822,785.4390752863022,4024.1694,6795.413,624
1,1,4672.22625376602,753.3990989398659,3867.0347,6505.5,624
2,1,4540.863824572647,722.7973694673314,3777.1753,6298.5854,624
3,1,4466.839828605765,699.5951022363972,3719.7354,6164.788,624
4,1,4479.427435683758,686.8794590510481,3723.0361,6203.7705,624
5,1,4647.8173099358955,684.9258594217839,3772.1567,6422.625,624
6,1,5028.705344497867,690.6498727725963,4028.621,6934.204,624
7,1,5445.165178044869,713.5864424281767,4341.9453,7434.717,624
8,1,5741.318066720085,758.6094487938249,4529.2354,7872.787,624
9,1,5939.761591693377,819.402272024584,4620.41,8226.105,624
10,1,nan,nan,4735.8135,nan,624
11,1,nan,nan,4867.208,nan,624
12,1,6171.947574278843,988.0359523800046,4955.9604,8884.84,624
13,1,6222.537254193378,1054.9630952512505,4989.5806,9051.049,624
14,1,6254.120525373939,1103.6386699553134,5000.6533,9158.369,624
15,1,6317.173595539525,1142.129015950617,5000.31,9291.061,624
16,1,6399.266750774573,1147.6794822782813,5048.174,9385.832,624
17,1,6454.385879807699,1117.6033609992865,5150.079,9373.979,624
18,1,6335.291247061967,1042.3986863792597,5125.9375,9281.719,624
19,1,6191.229751415596,978.7933096968555,5030.998,8891.35,624
20,1,6039.219319684823,954.2805117190074,4972.1094,8625.746,624
21,1,5852.656415117516,954.3312524422422,4897.581,8468.912,624
22,1,5565.446997809828,937.5957946375323,4589.6973,8199.914,624
23,1,5229.490388782051,901.1825146188129,4287.9395,7795.84,624
0,2,4928.278422142096,854.3740600026518,4082.6702,7351.2993,624
1,2,4708.6417415331225,804.2169980253998,3903.8862,6955.172,624
2,2,4559.269886057703,756.1374939610407,3824.171,6635.503,624
3,2,4476.085178151705,720.4627048511489,3778.6675,6432.134,624
4,2,4478.920037019228,695.359875735356,3792.6523,6357.33,624
