hour,count,avg_price,min_price,max_price
0,4,23.9025,22.74,25.04
1,4,22.395,21.34,23.5
2,4,17.3025,9.7,21.86
3,4,22.3725,21.85,23.25
4,4,24.8175,23.25,26.16
5,4,26.61,24.63,27.79
6,4,38.365,29.12,45.64
7,4,31.464999999999996,28.41,35.82
8,4,27.39,27.09,27.91
9,4,26.965,26.64,27.24
10,4,24.7175,22.14,26.54
11,4,22.189999999999998,21.13,22.83
12,4,21.5325,21.24,22.07
13,4,21.2425,20.76,21.52
14,4,21.275,20.95,21.57
15,4,19.862499999999997,19.41,20.36
16,4,20.24,19.4,21.06
17,4,25.2575,21.8,27.63
18,4,27.25,27.16,27.31
19,4,26.665,26.32,27.1
20,4,15.432500000000001,2.46,25.57
21,4,2.2024999999999997,1.96,2.46
22,4,1.6800000000000002,1.42,1.87
23,4,1.4175,1.17,1.62
