date_local,hour_ending,day_ahead_cleared_demand,utc_timestamp
01/01/2023,1,9825.0,2023-01-01 06:00:00+00:00
01/01/2023,2,9322.0,2023-01-01 07:00:00+00:00
01/01/2023,3,9366.0,2023-01-01 08:00:00+00:00
01/01/2023,4,9316.0,2023-01-01 09:00:00+00:00
01/01/2023,5,9668.0,2023-01-01 10:00:00+00:00
01/01/2023,6,9814.0,2023-01-01 11:00:00+00:00
01/01/2023,7,10244.0,2023-01-01 12:00:00+00:00
01/01/2023,8,10183.0,2023-01-01 13:00:00+00:00
01/01/2023,9,10539.0,2023-01-01 14:00:00+00:00
01/01/2023,10,10889.0,2023-01-01 15:00:00+00:00
01/01/2023,11,11039.0,2023-01-01 16:00:00+00:00
01/01/2023,12,11128.0,2023-01-01 17:00:00+00:00
01/01/2023,13,11162.0,2023-01-01 18:00:00+00:00
01/01/2023,14,11166.0,2023-01-01 19:00:00+00:00
01/01/2023,15,11412.0,2023-01-01 20:00:00+00:00
01/01/2023,16,12053.0,2023-01-01 21:00:00+00:00
01/01/2023,17,13304.0,2023-01-01 22:00:00+00:00
01/01/2023,18,13804.0,2023-01-01 23:00:00+00:00
01/01/2023,19,13718.0,2023-01-02 00:00:00+00:00
01/01/2023,20,13372.0,2023-01-02 01:00:00+00:00
01/01/2023,21,12895.0,2023-01-02 02:00:00+00:00
01/01/2023,22,12029.0,2023-01-02 03:00:00+00:00
01/01/2023,23,11167.0,2023-01-02 04:00:00+00:00
01/01/2023,24,10548.0,2023-01-02 05:00:00+00:00
01/02/2023,1,10210.0,2023-01-02 06:00:00+00:00
01/02/2023,2,9967.0,2023-01-02 07:00:00+00:00
01/02/2023,3,10058.0,2023-01-02 08:00:00+00:00
01/02/2023,4,10054.0,2023-01-02 09:00:00+00:00
01/02/2023,5,10292.0,2023-01-02 10:00:00+00:00
01/02/2023,6,10418.0,2023-01-02 11:00:00+00:00
01/02/2023,7,11090.0,2023-01-02 12:00:00+00:00
01/02/2023,8,11767.0,2023-01-02 13:00:00+00:00
01/02/2023,9,12291.0,2023-01-02 14:00:00+00:00
01/02/2023,10,12093.0,2023-01-02 15:00:00+00:00
01/02/2023,11,11818.0,2023-01-02 16:00:00+00:00
01/02/2023,12,11585.0,2023-01-02 17:00:00+00:00
01/02/2023,13,11617.0,2023-01-02 18:00:00+00:00
01/02/2023,14,11461.0,2023-01-02 19:00:00+00:00
01/02/2023,15,11656.0,2023-01-02 20:00:00+00:00
01/02/2023,16,12805.0,2023-01-02 21:00:00+00:00
01/02/2023,17,14046.0,2023-01-02 22:00:00+00:00
01/02/2023,18,14769.0,2023-01-02 23:00:00+00:00
01/02/2023,19,14749.0,2023-01-03 00:00:00+00:00
01/02/2023,20,14233.0,2023-01-03 01:00:00+00:00
01/02/2023,21,13633.0,2023-01-03 02:00:00+00:00
01/02/2023,22,12612.0,2023-01-03 03:00:00+00:00
01/02/2023,23,11699.0,2023-01-03 04:00:00+00:00
01/02/2023,24,10890.0,2023-01-03 05:00:00+00:00
