zone_name,day_type,avg_day_ahead_price,hour_count
capitl,weekday,34.89191287878791,1584
capitl,weekend,29.498429487179504,624
centrl,weekday,30.064760101010084,1584
centrl,weekend,25.028830128205147,624
dunwod,weekday,33.73489267676767,1584
dunwod,weekend,28.670833333333324,624
genese,weekday,29.60412247474748,1584
genese,weekend,24.59421474358974,624
hud vl,weekday,33.03686868686869,1584
hud vl,weekend,28.260576923076925,624
longil,weekday,42.871761363636345,1584
longil,weekend,35.63221153846155,624
mhk vl,weekday,30.76839015151516,1584
mhk vl,weekend,25.766971153846164,624
millwd,weekday,33.584665404040386,1584
millwd,weekend,28.544391025641033,624
north,weekday,27.797436868686887,1584
north,weekend,23.60048076923078,624
n.y.c.,weekday,34.03052398989898,1584
n.y.c.,weekend,29.015993589743594,624
west,weekday,29.584400252525246,1584
west,weekend,24.535464743589735,624
